DATE,A229RX0
2013-07-01,40806.0
2013-08-01,40862.0
2013-09-01,41014.0
2013-10-01,40818.0
2013-11-01,40867.0
2013-12-01,40905.0
2014-01-01,41070.0
2014-02-01,41263.0
2014-03-01,41464.0
2014-04-01,41597.0
2014-05-01,41704.0
2014-06-01,41825.0
2014-07-01,41877.0
2014-08-01,42029.0
2014-09-01,42123.0
2014-10-01,42293.0
2014-11-01,42494.0
2014-12-01,42763.0
2015-01-01,42984.0
2015-02-01,43118.0
2015-03-01,42980.0
2015-04-01,43049.0
2015-05-01,43096.0
2015-06-01,43093.0
2015-07-01,43161.0
2015-08-01,43222.0
2015-09-01,43302.0
2015-10-01,43347.0
2015-11-01,43308.0
2015-12-01,43487.0
2016-01-01,43650.0
2016-02-01,43670.0
2016-03-01,43645.0
2016-04-01,43529.0
2016-05-01,43470.0
2016-06-01,43470.0
2016-07-01,43610.0
2016-08-01,43631.0
2016-09-01,43700.0
2016-10-01,43752.0
2016-11-01,43843.0
2016-12-01,43942.0
2017-01-01,44105.0
2017-02-01,44216.0
2017-03-01,44378.0
2017-04-01,44457.0
2017-05-01,44743.0
2017-06-01,44741.0
2017-07-01,44841.0
2017-08-01,44868.0
2017-09-01,44925.0
2017-10-01,45030.0
2017-11-01,45075.0
2017-12-01,45136.0
2018-01-01,45390.0
2018-02-01,45479.0
2018-03-01,45624.0
2018-04-01,45703.0
2018-05-01,45835.0
2018-06-01,45998.0
2018-07-01,46173.0
2018-08-01,46312.0
2018-09-01,46284.0
2018-10-01,46373.0
2018-11-01,46476.0
2018-12-01,47038.0
2019-01-01,47008.0
2019-02-01,47152.0
2019-03-01,47182.0
2019-04-01,47029.0
2019-05-01,46995.0
2019-06-01,47054.0
2019-07-01,47090.0
2019-08-01,47332.0
2019-09-01,47419.0
2019-10-01,47477.0
2019-11-01,47638.0
2019-12-01,47337.0
2020-01-01,47829.0
2020-02-01,48014.0
2020-03-01,47329.0
2020-04-01,54327.0
2020-05-01,51566.0
2020-06-01,51350.0
2020-07-01,51816.0
2020-08-01,49794.0
2020-09-01,50029.0
2020-10-01,49879.0
2020-11-01,49290.0
2020-12-01,49407.0
2021-01-01,54539.0
2021-02-01,50017.0
2021-03-01,61509.0
2021-04-01,52144.0
2021-05-01,50635.0
2021-06-01,50373.0
2021-07-01,50654.0
2021-08-01,50501.0
2021-09-01,49801.0
2021-10-01,49735.0
2021-11-01,49578.0
2021-12-01,49321.0
2022-01-01,48300.0
2022-02-01,48330.0
2022-03-01,48123.0
2022-04-01,48148.0
2022-05-01,48072.0
2022-06-01,47873.0
2022-07-01,48289.0
2022-08-01,48422.0
2022-09-01,48469.0
2022-10-01,48563.0
2022-11-01,48562.0
2022-12-01,48650.0
2023-01-01,49642.0
2023-02-01,49787.0
2023-03-01,49991.0
2023-04-01,50073.0
2023-05-01,50215.0
2023-06-01,50166.0
2023-07-01,50161.0
2023-08-01,50163.0
2023-09-01,50106.0
2023-10-01,50093.0
2023-11-01,50188.0
2023-12-01,50255.0
2024-01-01,50381.0
2024-02-01,50324.0
2024-03-01,50380.0
2024-04-01,50329.0
