Search Term,plant based near me
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-12-03,0
2016-12-10,5
2016-12-17,0
2016-12-24,5
2016-12-31,3
2017-01-07,11
2017-01-14,0
2017-01-21,0
2017-01-28,8
2017-02-04,9
2017-02-11,3
2017-02-18,5
2017-02-25,0
2017-03-04,10
2017-03-11,7
2017-03-18,3
2017-03-25,13
2017-04-01,3
2017-04-08,0
2017-04-15,12
2017-04-22,7
2017-04-29,6
2017-05-06,3
2017-05-13,0
2017-05-20,13
2017-05-27,7
2017-06-03,5
2017-06-10,4
2017-06-17,15
2017-06-24,21
2017-07-01,12
2017-07-08,23
2017-07-15,10
2017-07-22,27
2017-07-29,29
2017-08-05,22
2017-08-12,23
2017-08-19,20
2017-08-26,7
2017-09-02,37
2017-09-09,19
2017-09-16,4
2017-09-23,0
2017-09-30,18
2017-10-07,17
2017-10-14,22
2017-10-21,0
2017-10-28,4
2017-11-04,20
2017-11-11,14
2017-11-18,0
2017-11-25,14
2017-12-02,11
2017-12-09,6
2017-12-16,6
2017-12-23,13
2017-12-30,17
2018-01-06,22
2018-01-13,4
2018-01-20,9
2018-01-27,19
2018-02-03,13
2018-02-10,15
2018-02-17,23
2018-02-24,8
2018-03-03,13
2018-03-10,27
2018-03-17,14
2018-03-24,21
2018-03-31,20
2018-04-07,8
2018-04-14,15
2018-04-21,0
2018-04-28,11
2018-05-05,20
2018-05-12,22
2018-05-19,22
2018-05-26,16
2018-06-02,19
2018-06-09,18
2018-06-16,23
2018-06-23,16
2018-06-30,12
2018-07-07,24
2018-07-14,11
2018-07-21,13
2018-07-28,13
2018-08-04,21
2018-08-11,18
2018-08-18,17
2018-08-25,20
2018-09-01,13
2018-09-08,12
2018-09-15,6
2018-09-22,16
2018-09-29,25
2018-10-06,25
2018-10-13,25
2018-10-20,16
2018-10-27,27
2018-11-03,14
2018-11-10,18
2018-11-17,8
2018-11-24,15
2018-12-01,12
2018-12-08,16
2018-12-15,11
2018-12-22,12
2018-12-29,25
2019-01-05,25
2019-01-12,25
2019-01-19,25
2019-01-26,23
2019-02-02,30
2019-02-09,21
2019-02-16,22
2019-02-23,30
2019-03-02,21
2019-03-09,30
2019-03-16,25
2019-03-23,17
2019-03-30,18
2019-04-06,20
2019-04-13,22
2019-04-20,28
2019-04-27,31
2019-05-04,25
2019-05-11,32
2019-05-18,21
2019-05-25,40
2019-06-01,34
2019-06-08,38
2019-06-15,24
2019-06-22,36
2019-06-29,31
2019-07-06,40
2019-07-13,46
2019-07-20,51
2019-07-27,48
2019-08-03,52
2019-08-10,32
2019-08-17,46
2019-08-24,51
2019-08-31,31
2019-09-07,42
2019-09-14,41
2019-09-21,37
2019-09-28,30
2019-10-05,47
2019-10-12,49
2019-10-19,65
2019-10-26,90
2019-11-02,96
2019-11-09,83
2019-11-16,84
2019-11-23,75
2019-11-30,58
2019-12-07,50
2019-12-14,47
2019-12-21,77
2019-12-28,100
2020-01-04,90
2020-01-11,90
2020-01-18,91
2020-01-25,86
2020-02-01,73
2020-02-08,75
2020-02-15,76
2020-02-22,62
2020-02-29,64
