Search Term,vegan recipes
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-12-06,36
2008-12-13,42
2008-12-20,47
2008-12-27,44
2009-01-03,49
2009-01-10,44
2009-01-17,40
2009-01-24,38
2009-01-31,29
2009-02-07,29
2009-02-14,36
2009-02-21,42
2009-02-28,39
2009-03-07,33
2009-03-14,34
2009-03-21,37
2009-03-28,43
2009-04-04,49
2009-04-11,37
2009-04-18,36
2009-04-25,28
2009-05-02,32
2009-05-09,39
2009-05-16,30
2009-05-23,38
2009-05-30,34
2009-06-06,38
2009-06-13,38
2009-06-20,38
2009-06-27,40
2009-07-04,37
2009-07-11,35
2009-07-18,37
2009-07-25,43
2009-08-01,44
2009-08-08,38
2009-08-15,44
2009-08-22,44
2009-08-29,38
2009-09-05,31
2009-09-12,33
2009-09-19,41
2009-09-26,36
2009-10-03,41
2009-10-10,41
2009-10-17,47
2009-10-24,48
2009-10-31,55
2009-11-07,52
2009-11-14,53
2009-11-21,80
2009-11-28,46
2009-12-05,43
2009-12-12,46
2009-12-19,58
2009-12-26,59
2010-01-02,55
2010-01-09,55
2010-01-16,47
2010-01-23,59
2010-01-30,52
2010-02-06,49
2010-02-13,46
2010-02-20,48
2010-02-27,47
2010-03-06,57
2010-03-13,56
2010-03-20,56
2010-03-27,58
2010-04-03,45
2010-04-10,42
2010-04-17,44
2010-04-24,47
2010-05-01,42
2010-05-08,47
2010-05-15,41
2010-05-22,39
2010-05-29,38
2010-06-05,48
2010-06-12,43
2010-06-19,37
2010-06-26,44
2010-07-03,36
2010-07-10,41
2010-07-17,39
2010-07-24,40
2010-07-31,43
2010-08-07,44
2010-08-14,37
2010-08-21,37
2010-08-28,35
2010-09-04,46
2010-09-11,46
2010-09-18,43
2010-09-25,42
2010-10-02,44
2010-10-09,47
2010-10-16,44
2010-10-23,39
2010-10-30,43
2010-11-06,50
2010-11-13,50
2010-11-20,60
2010-11-27,38
2010-12-04,47
2010-12-11,45
2010-12-18,54
2010-12-25,55
2011-01-01,65
2011-01-08,60
2011-01-15,61
2011-01-22,51
2011-01-29,83
2011-02-05,66
2011-02-12,62
2011-02-19,53
2011-02-26,57
2011-03-05,61
2011-03-12,53
2011-03-19,64
2011-03-26,58
2011-04-02,65
2011-04-09,57
2011-04-16,56
2011-04-23,48
2011-04-30,46
2011-05-07,45
2011-05-14,46
2011-05-21,51
2011-05-28,59
2011-06-04,48
2011-06-11,49
2011-06-18,43
2011-06-25,55
2011-07-02,56
2011-07-09,52
2011-07-16,48
2011-07-23,53
2011-07-30,50
2011-08-06,55
2011-08-13,56
2011-08-20,63
2011-08-27,59
2011-09-03,70
2011-09-10,65
2011-09-17,70
2011-09-24,69
2011-10-01,66
2011-10-08,68
2011-10-15,66
2011-10-22,72
2011-10-29,71
2011-11-05,71
2011-11-12,82
2011-11-19,96
2011-11-26,63
2011-12-03,61
2011-12-10,68
2011-12-17,86
2011-12-24,74
2011-12-31,86
2012-01-07,89
2012-01-14,79
2012-01-21,80
2012-01-28,80
2012-02-04,69
2012-02-11,66
2012-02-18,71
2012-02-25,74
2012-03-03,76
2012-03-10,78
2012-03-17,71
2012-03-24,69
2012-03-31,80
2012-04-07,70
2012-04-14,65
2012-04-21,65
2012-04-28,64
2012-05-05,66
2012-05-12,66
2012-05-19,66
2012-05-26,71
2012-06-02,71
2012-06-09,72
2012-06-16,69
2012-06-23,69
2012-06-30,74
2012-07-07,64
2012-07-14,69
2012-07-21,67
2012-07-28,70
2012-08-04,67
2012-08-11,68
2012-08-18,62
2012-08-25,70
2012-09-01,69
2012-09-08,65
2012-09-15,65
2012-09-22,62
2012-09-29,64
2012-10-06,68
2012-10-13,68
2012-10-20,58
2012-10-27,58
2012-11-03,65
2012-11-10,71
2012-11-17,92
2012-11-24,57
2012-12-01,62
2012-12-08,59
2012-12-15,71
2012-12-22,83
2012-12-29,100
