,Search Term,vegan recipes
0,2004-01-03,28.88941536667152
1,2004-01-10,17.678597463187053
2,2004-01-17,21.99045050298877
3,2004-01-24,25.008747630849975
4,2004-01-31,15.522670943286194
5,2004-02-07,22.421635806968943
6,2004-02-14,20.265709287068084
7,2004-02-21,14.660300335325848
8,2004-02-28,27.16467415075084
9,2004-03-06,7.761335471643097
10,2004-03-13,26.733488846770666
11,2004-03-20,29.320600670651697
12,2004-03-27,18.97215337512757
13,2004-04-03,24.577562326869806
14,2004-04-10,15.522670943286194
15,2004-04-17,15.522670943286194
16,2004-04-24,13.797929727365505
17,2004-05-01,15.953856247266362
18,2004-05-08,18.540968071147397
19,2004-05-15,18.540968071147397
20,2004-05-22,4.31185303980172
21,2004-05-29,25.87111823881032
22,2004-06-05,17.24741215920688
23,2004-06-12,17.24741215920688
24,2004-06-19,13.366744423385333
25,2004-06-26,13.797929727365505
26,2004-07-03,18.109782767167225
27,2004-07-10,18.540968071147397
28,2004-07-17,24.146377022889634
29,2004-07-24,21.99045050298877
30,2004-07-31,11.210817903484472
31,2004-08-07,15.09148563930602
32,2004-08-14,19.834523983087912
33,2004-08-21,23.715191718909463
34,2004-08-28,15.953856247266362
35,2004-09-04,13.797929727365505
36,2004-09-11,12.93555911940516
37,2004-09-18,11.642003207464645
38,2004-09-25,25.87111823881032
39,2004-10-02,18.540968071147397
40,2004-10-09,18.540968071147397
41,2004-10-16,16.385041551246537
42,2004-10-23,12.504373815424987
43,2004-10-30,14.229115031345676
44,2004-11-06,26.733488846770666
45,2004-11-13,22.421635806968943
46,2004-11-20,40.100233270156
47,2004-11-27,21.5592651990086
48,2004-12-04,19.40333867910774
49,2004-12-11,28.458230062691353
50,2004-12-18,41.824974486076684
51,2004-12-25,16.81622685522671
52,2005-01-01,18.109782767167225
53,2005-01-08,22.421635806968943
54,2005-01-15,24.577562326869806
55,2005-01-22,16.385041551246537
56,2005-01-29,19.40333867910774
57,2005-02-05,18.109782767167225
58,2005-02-12,18.97215337512757
59,2005-02-19,13.366744423385333
60,2005-02-26,25.43993293483015
61,2005-03-05,14.660300335325848
62,2005-03-12,21.128079895028428
63,2005-03-19,18.540968071147397
64,2005-03-26,22.421635806968943
65,2005-04-02,28.027044758711185
66,2005-04-09,18.540968071147397
67,2005-04-16,20.696894591048256
68,2005-04-23,17.24741215920688
69,2005-04-30,21.128079895028428
70,2005-05-07,16.385041551246537
71,2005-05-14,14.660300335325848
72,2005-05-21,3.8806677358215484
73,2005-05-28,23.28400641492929
74,2005-06-04,7.761335471643097
75,2005-06-11,15.522670943286194
76,2005-06-18,15.522670943286194
77,2005-06-25,28.027044758711185
78,2005-07-02,14.229115031345676
79,2005-07-09,17.678597463187053
80,2005-07-16,15.09148563930602
81,2005-07-23,12.073188511444817
82,2005-07-30,18.109782767167225
83,2005-08-06,18.109782767167225
84,2005-08-13,21.5592651990086
85,2005-08-20,21.128079895028428
86,2005-08-27,15.522670943286194
87,2005-09-03,17.678597463187053
88,2005-09-10,13.797929727365505
89,2005-09-17,18.540968071147397
90,2005-09-24,15.09148563930602
91,2005-10-01,18.540968071147397
92,2005-10-08,20.696894591048256
93,2005-10-15,15.953856247266362
94,2005-10-22,28.458230062691353
95,2005-10-29,14.660300335325848
96,2005-11-05,23.715191718909463
97,2005-11-12,26.733488846770666
98,2005-11-19,35.357194926374106
99,2005-11-26,17.678597463187053
100,2005-12-03,23.28400641492929
101,2005-12-10,18.109782767167225
102,2005-12-17,22.421635806968943
103,2005-12-24,22.421635806968943
104,2005-12-31,16.385041551246537
105,2006-01-07,19.40333867910774
106,2006-01-14,19.834523983087912
107,2006-01-21,11.642003207464645
108,2006-01-28,12.93555911940516
109,2006-02-04,11.642003207464645
110,2006-02-11,20.696894591048256
111,2006-02-18,19.40333867910774
112,2006-02-25,15.953856247266362
113,2006-03-04,17.678597463187053
114,2006-03-11,19.834523983087912
115,2006-03-18,17.678597463187053
116,2006-03-25,21.128079895028428
117,2006-04-01,13.366744423385333
118,2006-04-08,19.40333867910774
119,2006-04-15,18.97215337512757
120,2006-04-22,15.09148563930602
121,2006-04-29,14.229115031345676
122,2006-05-06,13.366744423385333
123,2006-05-13,24.146377022889634
124,2006-05-20,21.99045050298877
125,2006-05-27,20.696894591048256
126,2006-06-03,15.522670943286194
127,2006-06-10,16.81622685522671
128,2006-06-17,18.109782767167225
129,2006-06-24,18.97215337512757
130,2006-07-01,18.540968071147397
131,2006-07-08,17.678597463187053
132,2006-07-15,18.109782767167225
133,2006-07-22,19.834523983087912
134,2006-07-29,19.834523983087912
135,2006-08-05,11.210817903484472
136,2006-08-12,17.24741215920688
137,2006-08-19,15.09148563930602
138,2006-08-26,18.109782767167225
139,2006-09-02,19.834523983087912
140,2006-09-09,15.953856247266362
141,2006-09-16,18.540968071147397
142,2006-09-23,21.5592651990086
143,2006-09-30,16.385041551246537
144,2006-10-07,22.852821110949115
145,2006-10-14,21.128079895028428
146,2006-10-21,18.109782767167225
147,2006-10-28,15.953856247266362
148,2006-11-04,22.852821110949115
149,2006-11-11,21.5592651990086
150,2006-11-18,34.06363901443359
151,2006-11-25,20.696894591048256
152,2006-12-02,17.678597463187053
153,2006-12-09,17.678597463187053
154,2006-12-16,25.87111823881032
155,2006-12-23,22.421635806968943
156,2006-12-30,25.008747630849975
157,2007-01-06,17.24741215920688
158,2007-01-13,23.715191718909463
159,2007-01-20,15.09148563930602
160,2007-01-27,20.696894591048256
161,2007-02-03,17.678597463187053
162,2007-02-10,24.146377022889634
