Search Term,sustainability
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-12-01,88
2012-12-08,79
2012-12-15,56
2012-12-22,30
2012-12-29,44
2013-01-05,67
2013-01-12,72
2013-01-19,79
2013-01-26,83
2013-02-02,82
2013-02-09,84
2013-02-16,85
2013-02-23,89
2013-03-02,79
2013-03-09,77
2013-03-16,78
2013-03-23,83
2013-03-30,80
2013-04-06,88
2013-04-13,86
2013-04-20,95
2013-04-27,86
2013-05-04,83
2013-05-11,75
2013-05-18,70
2013-05-25,62
2013-06-01,66
2013-06-08,59
2013-06-15,55
2013-06-22,56
2013-06-29,48
2013-07-06,54
2013-07-13,55
2013-07-20,56
2013-07-27,54
2013-08-03,54
2013-08-10,55
2013-08-17,58
2013-08-24,72
2013-08-31,71
2013-09-07,79
2013-09-14,82
2013-09-21,82
2013-09-28,83
2013-10-05,83
2013-10-12,79
2013-10-19,85
2013-10-26,88
2013-11-02,85
2013-11-09,85
2013-11-16,86
2013-11-23,60
2013-11-30,88
2013-12-07,84
2013-12-14,63
2013-12-21,29
2013-12-28,42
2014-01-04,69
2014-01-11,77
2014-01-18,74
2014-01-25,82
2014-02-01,80
2014-02-08,80
2014-02-15,84
2014-02-22,100
2014-03-01,81
2014-03-08,77
2014-03-15,73
2014-03-22,82
2014-03-29,83
2014-04-05,87
2014-04-12,84
2014-04-19,89
2014-04-26,88
2014-05-03,81
2014-05-10,77
2014-05-17,70
2014-05-24,64
2014-05-31,65
2014-06-07,64
2014-06-14,57
2014-06-21,57
2014-06-28,50
2014-07-05,58
2014-07-12,56
2014-07-19,58
2014-07-26,52
2014-08-02,55
2014-08-09,47
2014-08-16,62
2014-08-23,74
2014-08-30,72
2014-09-06,84
2014-09-13,84
2014-09-20,83
2014-09-27,83
2014-10-04,84
2014-10-11,81
2014-10-18,85
2014-10-25,87
2014-11-01,88
2014-11-08,84
2014-11-15,85
2014-11-22,57
2014-11-29,86
2014-12-06,85
2014-12-13,66
2014-12-20,28
2014-12-27,31
2015-01-03,62
2015-01-10,73
2015-01-17,74
2015-01-24,81
2015-01-31,79
2015-02-07,77
2015-02-14,77
2015-02-21,84
2015-02-28,82
2015-03-07,79
2015-03-14,79
2015-03-21,83
2015-03-28,80
2015-04-04,84
2015-04-11,88
2015-04-18,97
2015-04-25,95
2015-05-02,83
2015-05-09,76
2015-05-16,73
2015-05-23,64
2015-05-30,67
2015-06-06,60
2015-06-13,58
2015-06-20,56
2015-06-27,51
2015-07-04,56
2015-07-11,57
2015-07-18,53
2015-07-25,53
2015-08-01,52
2015-08-08,59
2015-08-15,59
2015-08-22,73
2015-08-29,78
2015-09-05,77
2015-09-12,87
2015-09-19,92
2015-09-26,91
2015-10-03,89
2015-10-10,85
2015-10-17,87
2015-10-24,84
2015-10-31,82
2015-11-07,85
2015-11-14,92
2015-11-21,62
2015-11-28,85
2015-12-05,87
2015-12-12,71
2015-12-19,33
2015-12-26,31
2016-01-02,62
2016-01-09,69
2016-01-16,72
2016-01-23,79
2016-01-30,77
2016-02-06,81
2016-02-13,73
2016-02-20,86
2016-02-27,79
2016-03-05,83
2016-03-12,77
2016-03-19,75
2016-03-26,80
2016-04-02,85
2016-04-09,88
2016-04-16,97
2016-04-23,91
2016-04-30,89
2016-05-07,77
2016-05-14,73
2016-05-21,71
2016-05-28,64
2016-06-04,67
2016-06-11,60
2016-06-18,53
2016-06-25,52
2016-07-02,46
2016-07-09,50
2016-07-16,49
2016-07-23,50
2016-07-30,46
2016-08-06,47
2016-08-13,50
2016-08-20,60
2016-08-27,70
2016-09-03,69
2016-09-10,72
2016-09-17,87
2016-09-24,81
2016-10-01,94
2016-10-08,73
2016-10-15,78
2016-10-22,79
2016-10-29,83
2016-11-05,82
2016-11-12,96
2016-11-19,60
2016-11-26,92
2016-12-03,96
2016-12-10,79
2016-12-17,49
2016-12-24,29
2016-12-31,57
