Search Term,sustainability
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-12-03,78
2016-12-10,64
2016-12-17,40
2016-12-24,24
2016-12-31,46
2017-01-07,66
2017-01-14,61
2017-01-21,74
2017-01-28,71
2017-02-04,71
2017-02-11,74
2017-02-18,73
2017-02-25,72
2017-03-04,78
2017-03-11,73
2017-03-18,71
2017-03-25,76
2017-04-01,79
2017-04-08,75
2017-04-15,81
2017-04-22,85
2017-04-29,82
2017-05-06,77
2017-05-13,67
2017-05-20,61
2017-05-27,56
2017-06-03,57
2017-06-10,49
2017-06-17,51
2017-06-24,49
2017-07-01,45
2017-07-08,52
2017-07-15,49
2017-07-22,51
2017-07-29,50
2017-08-05,49
2017-08-12,50
2017-08-19,56
2017-08-26,64
2017-09-02,63
2017-09-09,71
2017-09-16,74
2017-09-23,74
2017-09-30,78
2017-10-07,68
2017-10-14,71
2017-10-21,72
2017-10-28,72
2017-11-04,77
2017-11-11,76
2017-11-18,48
2017-11-25,68
2017-12-02,75
2017-12-09,67
2017-12-16,45
2017-12-23,27
2017-12-30,41
2018-01-06,60
2018-01-13,55
2018-01-20,70
2018-01-27,73
2018-02-03,74
2018-02-10,80
2018-02-17,65
2018-02-24,68
2018-03-03,72
2018-03-10,60
2018-03-17,69
2018-03-24,65
2018-03-31,70
2018-04-07,78
2018-04-14,76
2018-04-21,81
2018-04-28,72
2018-05-05,67
2018-05-12,67
2018-05-19,58
2018-05-26,56
2018-06-02,57
2018-06-09,54
2018-06-16,46
2018-06-23,47
2018-06-30,41
2018-07-07,48
2018-07-14,47
2018-07-21,45
2018-07-28,47
2018-08-04,48
2018-08-11,53
2018-08-18,57
2018-08-25,67
2018-09-01,68
2018-09-08,73
2018-09-15,70
2018-09-22,58
2018-09-29,67
2018-10-06,75
2018-10-13,69
2018-10-20,70
2018-10-27,69
2018-11-03,68
2018-11-10,70
2018-11-17,49
2018-11-24,77
2018-12-01,80
2018-12-08,76
2018-12-15,56
2018-12-22,28
2018-12-29,43
2019-01-05,69
2019-01-12,66
2019-01-19,70
2019-01-26,73
2019-02-02,76
2019-02-09,76
2019-02-16,76
2019-02-23,75
2019-03-02,83
2019-03-09,73
2019-03-16,76
2019-03-23,77
2019-03-30,81
2019-04-06,84
2019-04-13,77
2019-04-20,88
2019-04-27,86
2019-05-04,80
2019-05-11,74
2019-05-18,72
2019-05-25,67
2019-06-01,70
2019-06-08,63
2019-06-15,62
2019-06-22,65
2019-06-29,50
2019-07-06,59
2019-07-13,64
2019-07-20,59
2019-07-27,64
2019-08-03,63
2019-08-10,71
2019-08-17,72
2019-08-24,75
2019-08-31,74
2019-09-07,82
2019-09-14,88
2019-09-21,94
2019-09-28,85
2019-10-05,81
2019-10-12,74
2019-10-19,83
2019-10-26,77
2019-11-02,86
2019-11-09,81
2019-11-16,85
2019-11-23,64
2019-11-30,89
2019-12-07,83
2019-12-14,70
2019-12-21,39
2019-12-28,51
2020-01-04,72
2020-01-11,81
2020-01-18,83
2020-01-25,94
2020-02-01,89
2020-02-08,92
2020-02-15,93
2020-02-22,100
2020-02-29,94
