Search Term,health
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-12-01,65
2012-12-08,57
2012-12-15,53
2012-12-22,41
2012-12-29,63
2013-01-05,71
2013-01-12,73
2013-01-19,72
2013-01-26,71
2013-02-02,71
2013-02-09,74
2013-02-16,71
2013-02-23,68
2013-03-02,67
2013-03-09,69
2013-03-16,68
2013-03-23,66
2013-03-30,71
2013-04-06,70
2013-04-13,68
2013-04-20,73
2013-04-27,68
2013-05-04,65
2013-05-11,62
2013-05-18,63
2013-05-25,63
2013-06-01,68
2013-06-08,63
2013-06-15,64
2013-06-22,64
2013-06-29,57
2013-07-06,65
2013-07-13,64
2013-07-20,65
2013-07-27,68
2013-08-03,69
2013-08-10,67
2013-08-17,68
2013-08-24,68
2013-08-31,65
2013-09-07,72
2013-09-14,70
2013-09-21,82
2013-09-28,100
2013-10-05,80
2013-10-12,71
2013-10-19,76
2013-10-26,74
2013-11-02,76
2013-11-09,72
2013-11-16,78
2013-11-23,54
2013-11-30,71
2013-12-07,66
2013-12-14,62
2013-12-21,52
2013-12-28,63
2014-01-04,74
2014-01-11,79
2014-01-18,70
2014-01-25,74
2014-02-01,71
2014-02-08,70
2014-02-15,67
2014-02-22,75
2014-03-01,70
2014-03-08,73
2014-03-15,75
2014-03-22,79
2014-03-29,81
2014-04-05,72
2014-04-12,65
2014-04-19,67
2014-04-26,64
2014-05-03,66
2014-05-10,67
2014-05-17,64
2014-05-24,60
2014-05-31,63
2014-06-07,66
2014-06-14,64
2014-06-21,62
2014-06-28,57
2014-07-05,63
2014-07-12,66
2014-07-19,64
2014-07-26,65
2014-08-02,65
2014-08-09,64
2014-08-16,65
2014-08-23,68
2014-08-30,62
2014-09-06,70
2014-09-13,64
2014-09-20,71
2014-09-27,71
2014-10-04,70
2014-10-11,75
2014-10-18,71
2014-10-25,72
2014-11-01,71
2014-11-08,76
2014-11-15,68
2014-11-22,53
2014-11-29,65
2014-12-06,66
2014-12-13,64
2014-12-20,44
2014-12-27,59
2015-01-03,76
2015-01-10,78
2015-01-17,76
2015-01-24,75
2015-01-31,75
2015-02-07,75
2015-02-14,69
2015-02-21,70
2015-02-28,69
2015-03-07,70
2015-03-14,68
2015-03-21,70
2015-03-28,69
2015-04-04,69
2015-04-11,70
2015-04-18,68
2015-04-25,69
2015-05-02,68
2015-05-09,68
2015-05-16,68
2015-05-23,61
2015-05-30,64
2015-06-06,66
2015-06-13,62
2015-06-20,66
2015-06-27,61
2015-07-04,65
2015-07-11,67
2015-07-18,65
2015-07-25,67
2015-08-01,65
2015-08-08,68
2015-08-15,65
2015-08-22,69
2015-08-29,72
2015-09-05,63
2015-09-12,70
2015-09-19,69
2015-09-26,66
2015-10-03,69
2015-10-10,69
2015-10-17,71
2015-10-24,73
2015-10-31,76
2015-11-07,67
2015-11-14,69
2015-11-21,56
2015-11-28,71
2015-12-05,70
2015-12-12,64
2015-12-19,48
2015-12-26,57
2016-01-02,75
2016-01-09,73
2016-01-16,74
2016-01-23,81
2016-01-30,80
2016-02-06,72
2016-02-13,70
2016-02-20,76
2016-02-27,71
2016-03-05,67
2016-03-12,69
2016-03-19,68
2016-03-26,70
2016-04-02,72
2016-04-09,75
2016-04-16,69
2016-04-23,71
2016-04-30,70
2016-05-07,69
2016-05-14,66
2016-05-21,66
2016-05-28,61
2016-06-04,61
2016-06-11,61
2016-06-18,63
2016-06-25,64
2016-07-02,58
2016-07-09,64
2016-07-16,64
2016-07-23,63
2016-07-30,66
2016-08-06,64
2016-08-13,67
2016-08-20,72
2016-08-27,67
2016-09-03,63
2016-09-10,72
2016-09-17,69
2016-09-24,68
2016-10-01,68
2016-10-08,67
2016-10-15,71
2016-10-22,73
2016-10-29,70
2016-11-05,62
2016-11-12,64
2016-11-19,49
2016-11-26,61
2016-12-03,61
2016-12-10,59
2016-12-17,48
2016-12-24,49
2016-12-31,69
