,Search Term,health
0,2004-01-03,44.66666666666666
1,2004-01-10,48.1025641025641
2,2004-01-17,46.63003663003663
3,2004-01-24,46.13919413919413
4,2004-01-31,44.17582417582417
5,2004-02-07,46.13919413919413
6,2004-02-14,46.63003663003663
7,2004-02-21,45.64835164835165
8,2004-02-28,43.684981684981686
9,2004-03-06,43.684981684981686
10,2004-03-13,44.17582417582417
11,2004-03-20,41.721611721611715
12,2004-03-27,46.63003663003663
13,2004-04-03,47.12087912087911
14,2004-04-10,39.75824175824175
15,2004-04-17,46.63003663003663
16,2004-04-24,44.17582417582417
17,2004-05-01,41.721611721611715
18,2004-05-08,44.66666666666666
19,2004-05-15,41.23076923076923
20,2004-05-22,41.721611721611715
21,2004-05-29,38.776556776556774
22,2004-06-05,45.15750915750915
23,2004-06-12,41.23076923076923
24,2004-06-19,43.19413919413919
25,2004-06-26,40.73992673992674
26,2004-07-03,41.721611721611715
27,2004-07-10,41.23076923076923
28,2004-07-17,42.703296703296694
29,2004-07-24,43.19413919413919
30,2004-07-31,42.703296703296694
31,2004-08-07,42.21245421245421
32,2004-08-14,41.23076923076923
33,2004-08-21,43.684981684981686
34,2004-08-28,43.19413919413919
35,2004-09-04,43.684981684981686
36,2004-09-11,45.15750915750915
37,2004-09-18,48.1025641025641
38,2004-09-25,46.63003663003663
39,2004-10-02,48.1025641025641
40,2004-10-09,49.08424908424907
41,2004-10-16,47.12087912087911
42,2004-10-23,47.611721611721606
43,2004-10-30,44.17582417582417
44,2004-11-06,40.73992673992674
45,2004-11-13,45.15750915750915
46,2004-11-20,37.3040293040293
47,2004-11-27,44.66666666666666
48,2004-12-04,41.23076923076923
49,2004-12-11,38.28571428571428
50,2004-12-18,27.978021978021978
51,2004-12-25,32.395604395604394
52,2005-01-01,44.66666666666666
53,2005-01-08,47.12087912087911
54,2005-01-15,43.684981684981686
55,2005-01-22,46.13919413919413
56,2005-01-29,46.63003663003663
57,2005-02-05,44.17582417582417
58,2005-02-12,44.66666666666666
59,2005-02-19,45.15750915750915
60,2005-02-26,45.64835164835165
61,2005-03-05,44.17582417582417
62,2005-03-12,42.21245421245421
63,2005-03-19,43.19413919413919
64,2005-03-26,44.17582417582417
65,2005-04-02,41.721611721611715
66,2005-04-09,45.64835164835165
67,2005-04-16,45.15750915750915
68,2005-04-23,43.19413919413919
69,2005-04-30,42.21245421245421
70,2005-05-07,41.721611721611715
71,2005-05-14,41.23076923076923
72,2005-05-21,40.24908424908424
73,2005-05-28,40.73992673992674
74,2005-06-04,42.21245421245421
75,2005-06-11,41.23076923076923
76,2005-06-18,41.721611721611715
77,2005-06-25,41.23076923076923
78,2005-07-02,37.3040293040293
79,2005-07-09,39.26739926739927
80,2005-07-16,41.721611721611715
81,2005-07-23,42.703296703296694
82,2005-07-30,41.721611721611715
83,2005-08-06,39.26739926739927
84,2005-08-13,40.73992673992674
85,2005-08-20,39.75824175824175
86,2005-08-27,39.75824175824175
87,2005-09-03,38.776556776556774
88,2005-09-10,43.19413919413919
89,2005-09-17,42.703296703296694
90,2005-09-24,46.13919413919413
91,2005-10-01,43.19413919413919
92,2005-10-08,41.23076923076923
93,2005-10-15,43.684981684981686
94,2005-10-22,41.721611721611715
95,2005-10-29,41.721611721611715
96,2005-11-05,41.721611721611715
97,2005-11-12,44.17582417582417
98,2005-11-19,33.86813186813186
99,2005-11-26,42.21245421245421
100,2005-12-03,38.776556776556774
101,2005-12-10,37.3040293040293
102,2005-12-17,31.9047619047619
103,2005-12-24,34.35897435897436
104,2005-12-31,42.21245421245421
105,2006-01-07,43.19413919413919
106,2006-01-14,42.703296703296694
107,2006-01-21,43.19413919413919
108,2006-01-28,46.13919413919413
109,2006-02-04,41.23076923076923
110,2006-02-11,42.703296703296694
111,2006-02-18,41.721611721611715
112,2006-02-25,41.721611721611715
113,2006-03-04,43.684981684981686
114,2006-03-11,40.24908424908424
115,2006-03-18,42.21245421245421
116,2006-03-25,42.21245421245421
117,2006-04-01,43.19413919413919
118,2006-04-08,41.23076923076923
119,2006-04-15,43.19413919413919
120,2006-04-22,42.21245421245421
121,2006-04-29,41.23076923076923
122,2006-05-06,40.73992673992674
123,2006-05-13,38.28571428571428
124,2006-05-20,36.81318681318682
125,2006-05-27,36.32234432234432
126,2006-06-03,38.28571428571428
127,2006-06-10,38.776556776556774
128,2006-06-17,38.776556776556774
129,2006-06-24,37.794871794871796
130,2006-07-01,34.84981684981685
131,2006-07-08,37.794871794871796
132,2006-07-15,39.26739926739927
133,2006-07-22,38.28571428571428
134,2006-07-29,38.28571428571428
135,2006-08-05,36.81318681318682
136,2006-08-12,37.794871794871796
137,2006-08-19,37.794871794871796
138,2006-08-26,38.28571428571428
139,2006-09-02,37.794871794871796
140,2006-09-09,40.24908424908424
141,2006-09-16,40.73992673992674
142,2006-09-23,41.23076923076923
143,2006-09-30,41.23076923076923
144,2006-10-07,40.73992673992674
145,2006-10-14,39.26739926739927
146,2006-10-21,40.73992673992674
147,2006-10-28,42.21245421245421
148,2006-11-04,41.23076923076923
149,2006-11-11,40.73992673992674
150,2006-11-18,31.9047619047619
151,2006-11-25,40.24908424908424
152,2006-12-02,38.28571428571428
153,2006-12-09,36.32234432234432
154,2006-12-16,32.395604395604394
155,2006-12-23,29.94139194139194
156,2006-12-30,41.721611721611715
157,2007-01-06,43.19413919413919
158,2007-01-13,40.73992673992674
159,2007-01-20,43.684981684981686
160,2007-01-27,43.19413919413919
161,2007-02-03,40.73992673992674
162,2007-02-10,38.776556776556774
163,2007-02-17,40.24908424908424
