Search Term,health
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,84
2020-02-01,82
2020-02-08,82
2020-02-15,85
2020-02-22,86
2020-02-29,84
2020-03-07,89
2020-03-14,93
2020-03-21,93
2020-03-28,92
2020-04-04,86
2020-04-11,80
2020-04-18,79
2020-04-25,80
2020-05-02,80
2020-05-09,81
2020-05-16,77
2020-05-23,74
2020-05-30,71
2020-06-06,77
2020-06-13,71
2020-06-20,75
2020-06-27,75
2020-07-04,79
2020-07-11,85
2020-07-18,85
2020-07-25,82
2020-08-01,84
2020-08-08,80
2020-08-15,79
2020-08-22,79
2020-08-29,82
2020-09-05,78
2020-09-12,81
2020-09-19,80
2020-09-26,82
2020-10-03,95
2020-10-10,82
2020-10-17,84
2020-10-24,79
2020-10-31,66
2020-11-07,81
2020-11-14,85
2020-11-21,59
2020-11-28,71
2020-12-05,66
2020-12-12,69
2020-12-19,53
2020-12-26,59
2021-01-02,82
2021-01-09,88
2021-01-16,89
2021-01-23,97
2021-01-30,92
2021-02-06,91
2021-02-13,77
2021-02-20,76
2021-02-27,76
2021-03-06,77
2021-03-13,71
2021-03-20,71
2021-03-27,71
2021-04-03,71
2021-04-10,73
2021-04-17,67
2021-04-24,62
2021-05-01,67
2021-05-08,70
2021-05-15,63
2021-05-22,62
2021-05-29,59
2021-06-05,63
2021-06-12,62
2021-06-19,59
2021-06-26,60
2021-07-03,60
2021-07-10,64
2021-07-17,66
2021-07-24,71
2021-07-31,70
2021-08-07,73
2021-08-14,76
2021-08-21,73
2021-08-28,77
2021-09-04,78
2021-09-11,76
2021-09-18,67
2021-09-25,76
2021-10-02,68
2021-10-09,70
2021-10-16,74
2021-10-23,74
2021-10-30,74
2021-11-06,74
2021-11-13,73
2021-11-20,54
2021-11-27,68
2021-12-04,70
2021-12-11,69
2021-12-18,56
2021-12-25,62
2022-01-01,82
2022-01-08,82
2022-01-15,76
2022-01-22,76
2022-01-29,76
2022-02-05,77
2022-02-12,77
2022-02-19,76
2022-02-26,76
2022-03-05,76
2022-03-12,73
2022-03-19,74
2022-03-26,80
2022-04-02,80
2022-04-09,75
2022-04-16,77
2022-04-23,80
2022-04-30,78
2022-05-07,76
2022-05-14,69
2022-05-21,69
2022-05-28,70
2022-06-04,70
2022-06-11,65
2022-06-18,69
2022-06-25,68
2022-07-02,66
2022-07-09,72
2022-07-16,74
2022-07-23,74
2022-07-30,73
2022-08-06,71
2022-08-13,73
2022-08-20,76
2022-08-27,74
2022-09-03,73
2022-09-10,78
2022-09-17,78
2022-09-24,82
2022-10-01,81
2022-10-08,80
2022-10-15,78
2022-10-22,81
2022-10-29,82
2022-11-05,76
2022-11-12,79
2022-11-19,58
2022-11-26,76
2022-12-03,77
2022-12-10,74
2022-12-17,59
2022-12-24,59
2022-12-31,74
2023-01-07,79
2023-01-14,76
2023-01-21,79
2023-01-28,77
2023-02-04,80
2023-02-11,77
2023-02-18,77
2023-02-25,81
2023-03-04,86
2023-03-11,83
2023-03-18,94
2023-03-25,92
2023-04-01,87
2023-04-08,87
2023-04-15,89
2023-04-22,91
2023-04-29,91
2023-05-06,91
2023-05-13,92
2023-05-20,91
2023-05-27,84
2023-06-03,90
2023-06-10,86
2023-06-17,86
2023-06-24,88
2023-07-01,77
2023-07-08,86
2023-07-15,86
2023-07-22,87
2023-07-29,89
2023-08-05,86
2023-08-12,86
2023-08-19,84
2023-08-26,90
2023-09-02,89
2023-09-09,94
2023-09-16,89
2023-09-23,91
2023-09-30,93
2023-10-07,92
2023-10-14,100
2023-10-21,91
2023-10-28,90
2023-11-04,100
2023-11-11,95
2023-11-18,69
2023-11-25,90
2023-12-02,92
2023-12-09,86
2023-12-16,73
2023-12-23,65
2023-12-30,89
2024-01-06,88
2024-01-13,87
2024-01-20,96
2024-01-27,92
2024-02-03,96
2024-02-10,89
2024-02-17,89
2024-02-24,91
2024-03-02,90
2024-03-09,89
2024-03-16,91
2024-03-23,85
2024-03-30,86
2024-04-06,82
2024-04-13,91
2024-04-20,88
2024-04-27,83
2024-05-04,81
2024-05-11,76
2024-05-18,77
2024-05-25,76
