,Search Term,sustainability
0,2004-01-03,40.1851851851852
1,2004-01-10,46.436213991769556
2,2004-01-17,54.473251028806594
3,2004-01-24,50.90123456790124
4,2004-01-31,53.580246913580254
5,2004-02-07,58.938271604938286
6,2004-02-14,52.687242798353914
7,2004-02-21,55.36625514403293
8,2004-02-28,58.04526748971194
9,2004-03-06,42.8641975308642
10,2004-03-13,50.90123456790124
11,2004-03-20,48.22222222222223
12,2004-03-27,54.473251028806594
13,2004-04-03,62.51028806584363
14,2004-04-10,50.00823045267491
15,2004-04-17,52.687242798353914
16,2004-04-24,65.18930041152264
17,2004-05-01,58.938271604938286
18,2004-05-08,52.687242798353914
19,2004-05-15,43.75720164609054
20,2004-05-22,50.90123456790124
21,2004-05-29,43.75720164609054
22,2004-06-05,43.75720164609054
23,2004-06-12,41.97119341563787
24,2004-06-19,42.8641975308642
25,2004-06-26,54.473251028806594
26,2004-07-03,41.97119341563787
27,2004-07-10,39.29218106995885
28,2004-07-17,51.79423868312758
29,2004-07-24,41.97119341563787
30,2004-07-31,38.39917695473252
31,2004-08-07,37.50617283950618
32,2004-08-14,39.29218106995885
33,2004-08-21,48.22222222222223
34,2004-08-28,48.22222222222223
35,2004-09-04,48.22222222222223
36,2004-09-11,59.831275720164626
37,2004-09-18,66.08230452674898
38,2004-09-25,58.04526748971194
39,2004-10-02,56.259259259259274
40,2004-10-09,52.687242798353914
41,2004-10-16,59.831275720164626
42,2004-10-23,54.473251028806594
43,2004-10-30,56.259259259259274
44,2004-11-06,60.724279835390945
45,2004-11-13,60.724279835390945
46,2004-11-20,50.90123456790124
47,2004-11-27,61.6172839506173
48,2004-12-04,59.831275720164626
49,2004-12-11,57.152263374485614
50,2004-12-18,25.89711934156379
51,2004-12-25,29.469135802469143
52,2005-01-01,43.75720164609054
53,2005-01-08,47.329218106995896
54,2005-01-15,48.22222222222223
55,2005-01-22,57.152263374485614
56,2005-01-29,50.90123456790124
57,2005-02-05,50.00823045267491
58,2005-02-12,50.90123456790124
59,2005-02-19,51.79423868312758
60,2005-02-26,61.6172839506173
61,2005-03-05,47.329218106995896
62,2005-03-12,44.65020576131688
63,2005-03-19,44.65020576131688
64,2005-03-26,56.259259259259274
65,2005-04-02,51.79423868312758
66,2005-04-09,50.90123456790124
67,2005-04-16,57.152263374485614
68,2005-04-23,65.18930041152264
69,2005-04-30,46.436213991769556
70,2005-05-07,50.00823045267491
71,2005-05-14,51.79423868312758
72,2005-05-21,44.65020576131688
73,2005-05-28,46.436213991769556
74,2005-06-04,43.75720164609054
75,2005-06-11,39.29218106995885
76,2005-06-18,35.7201646090535
77,2005-06-25,41.97119341563787
78,2005-07-02,39.29218106995885
79,2005-07-09,40.1851851851852
80,2005-07-16,39.29218106995885
81,2005-07-23,40.1851851851852
82,2005-07-30,41.97119341563787
83,2005-08-06,42.8641975308642
84,2005-08-13,37.50617283950618
85,2005-08-20,41.07818930041153
86,2005-08-27,41.07818930041153
87,2005-09-03,43.75720164609054
88,2005-09-10,54.473251028806594
89,2005-09-17,58.04526748971194
90,2005-09-24,58.04526748971194
91,2005-10-01,53.580246913580254
92,2005-10-08,47.329218106995896
93,2005-10-15,51.79423868312758
94,2005-10-22,55.36625514403293
95,2005-10-29,51.79423868312758
96,2005-11-05,50.90123456790124
97,2005-11-12,52.687242798353914
98,2005-11-19,44.65020576131688
99,2005-11-26,53.580246913580254
100,2005-12-03,58.04526748971194
101,2005-12-10,44.65020576131688
102,2005-12-17,36.613168724279845
103,2005-12-24,27.683127572016463
104,2005-12-31,33.934156378600825
105,2006-01-07,36.613168724279845
106,2006-01-14,41.97119341563787
107,2006-01-21,49.11522633744857
108,2006-01-28,46.436213991769556
109,2006-02-04,56.259259259259274
110,2006-02-11,50.00823045267491
111,2006-02-18,48.22222222222223
112,2006-02-25,53.580246913580254
113,2006-03-04,50.90123456790124
114,2006-03-11,46.436213991769556
115,2006-03-18,49.11522633744857
116,2006-03-25,50.90123456790124
117,2006-04-01,55.36625514403293
118,2006-04-08,53.580246913580254
119,2006-04-15,59.831275720164626
120,2006-04-22,55.36625514403293
121,2006-04-29,59.831275720164626
122,2006-05-06,50.90123456790124
123,2006-05-13,49.11522633744857
124,2006-05-20,44.65020576131688
125,2006-05-27,43.75720164609054
126,2006-06-03,50.00823045267491
127,2006-06-10,43.75720164609054
128,2006-06-17,41.07818930041153
129,2006-06-24,38.39917695473252
130,2006-07-01,38.39917695473252
131,2006-07-08,41.07818930041153
132,2006-07-15,42.8641975308642
133,2006-07-22,39.29218106995885
134,2006-07-29,42.8641975308642
135,2006-08-05,39.29218106995885
136,2006-08-12,42.8641975308642
137,2006-08-19,38.39917695473252
138,2006-08-26,42.8641975308642
139,2006-09-02,49.11522633744857
140,2006-09-09,53.580246913580254
141,2006-09-16,44.65020576131688
142,2006-09-23,56.259259259259274
143,2006-09-30,55.36625514403293
144,2006-10-07,46.436213991769556
145,2006-10-14,50.90123456790124
146,2006-10-21,52.687242798353914
147,2006-10-28,51.79423868312758
148,2006-11-04,56.259259259259274
149,2006-11-11,56.259259259259274
150,2006-11-18,46.436213991769556
151,2006-11-25,56.259259259259274
152,2006-12-02,56.259259259259274
153,2006-12-09,45.543209876543216
154,2006-12-16,33.934156378600825
155,2006-12-23,31.255144032921816
156,2006-12-30,35.7201646090535
157,2007-01-06,46.436213991769556
158,2007-01-13,46.436213991769556
159,2007-01-20,59.831275720164626
160,2007-01-27,58.04526748971194
161,2007-02-03,58.04526748971194
162,2007-02-10,59.831275720164626
163,2007-02-17,61.6172839506173
