Search Term,animal welfare
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-12-06,92
2008-12-13,78
2008-12-20,58
2008-12-27,86
2009-01-03,80
2009-01-10,78
2009-01-17,78
2009-01-24,96
2009-01-31,100
2009-02-07,85
2009-02-14,100
2009-02-21,87
2009-02-28,82
2009-03-07,90
2009-03-14,83
2009-03-21,89
2009-03-28,81
2009-04-04,76
2009-04-11,91
2009-04-18,93
2009-04-25,75
2009-05-02,85
2009-05-09,98
2009-05-16,87
2009-05-23,76
2009-05-30,83
2009-06-06,83
2009-06-13,90
2009-06-20,71
2009-06-27,81
2009-07-04,65
2009-07-11,66
2009-07-18,80
2009-07-25,72
2009-08-01,72
2009-08-08,73
2009-08-15,100
2009-08-22,81
2009-08-29,86
2009-09-05,82
2009-09-12,74
2009-09-19,74
2009-09-26,77
2009-10-03,80
2009-10-10,95
2009-10-17,86
2009-10-24,76
2009-10-31,64
2009-11-07,91
2009-11-14,84
2009-11-21,89
2009-11-28,91
2009-12-05,85
2009-12-12,82
2009-12-19,61
2009-12-26,61
2010-01-02,73
2010-01-09,78
2010-01-16,73
2010-01-23,80
2010-01-30,80
2010-02-06,77
2010-02-13,73
2010-02-20,82
2010-02-27,94
2010-03-06,84
2010-03-13,60
2010-03-20,74
2010-03-27,84
2010-04-03,69
2010-04-10,80
2010-04-17,82
2010-04-24,92
2010-05-01,86
2010-05-08,86
2010-05-15,86
2010-05-22,78
2010-05-29,76
2010-06-05,65
2010-06-12,63
2010-06-19,59
2010-06-26,72
2010-07-03,72
2010-07-10,69
2010-07-17,70
2010-07-24,53
2010-07-31,74
2010-08-07,68
2010-08-14,59
2010-08-21,73
2010-08-28,68
2010-09-04,60
2010-09-11,77
2010-09-18,76
2010-09-25,73
2010-10-02,65
2010-10-09,74
2010-10-16,72
2010-10-23,64
2010-10-30,75
2010-11-06,75
2010-11-13,81
2010-11-20,69
2010-11-27,61
2010-12-04,71
2010-12-11,67
2010-12-18,44
2010-12-25,55
2011-01-01,78
2011-01-08,79
2011-01-15,62
2011-01-22,80
2011-01-29,70
2011-02-05,79
2011-02-12,78
2011-02-19,79
2011-02-26,74
2011-03-05,85
2011-03-12,70
2011-03-19,88
2011-03-26,76
2011-04-02,73
2011-04-09,70
2011-04-16,79
2011-04-23,66
2011-04-30,70
2011-05-07,77
2011-05-14,68
2011-05-21,65
2011-05-28,68
2011-06-04,68
2011-06-11,62
2011-06-18,58
2011-06-25,77
2011-07-02,66
2011-07-09,68
2011-07-16,61
2011-07-23,58
2011-07-30,64
2011-08-06,60
2011-08-13,75
2011-08-20,62
2011-08-27,66
2011-09-03,54
2011-09-10,75
2011-09-17,70
2011-09-24,73
2011-10-01,63
2011-10-08,64
2011-10-15,77
2011-10-22,63
2011-10-29,60
2011-11-05,76
2011-11-12,66
2011-11-19,66
2011-11-26,74
2011-12-03,75
2011-12-10,66
2011-12-17,51
2011-12-24,50
2011-12-31,66
2012-01-07,70
2012-01-14,62
2012-01-21,74
2012-01-28,73
2012-02-04,67
2012-02-11,67
2012-02-18,74
2012-02-25,65
2012-03-03,62
2012-03-10,59
2012-03-17,62
2012-03-24,63
2012-03-31,61
2012-04-07,69
2012-04-14,76
2012-04-21,61
2012-04-28,77
2012-05-05,79
2012-05-12,71
2012-05-19,66
2012-05-26,52
2012-06-02,59
2012-06-09,55
2012-06-16,59
2012-06-23,61
2012-06-30,62
2012-07-07,64
2012-07-14,70
2012-07-21,56
2012-07-28,54
2012-08-04,62
2012-08-11,63
2012-08-18,60
2012-08-25,58
2012-09-01,65
2012-09-08,65
2012-09-15,63
2012-09-22,61
2012-09-29,58
2012-10-06,64
2012-10-13,61
2012-10-20,61
2012-10-27,56
2012-11-03,66
2012-11-10,61
2012-11-17,52
2012-11-24,65
2012-12-01,66
2012-12-08,58
2012-12-15,60
2012-12-22,53
2012-12-29,57
