Search Term,climate
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-12-01,28
2012-12-08,27
2012-12-15,24
2012-12-22,17
2012-12-29,18
2013-01-05,26
2013-01-12,27
2013-01-19,27
2013-01-26,27
2013-02-02,28
2013-02-09,29
2013-02-16,27
2013-02-23,26
2013-03-02,27
2013-03-09,24
2013-03-16,27
2013-03-23,24
2013-03-30,24
2013-04-06,26
2013-04-13,26
2013-04-20,28
2013-04-27,30
2013-05-04,29
2013-05-11,27
2013-05-18,28
2013-05-25,23
2013-06-01,19
2013-06-08,15
2013-06-15,15
2013-06-22,19
2013-06-29,15
2013-07-06,14
2013-07-13,15
2013-07-20,14
2013-07-27,13
2013-08-03,14
2013-08-10,14
2013-08-17,15
2013-08-24,19
2013-08-31,22
2013-09-07,25
2013-09-14,31
2013-09-21,29
2013-09-28,28
2013-10-05,28
2013-10-12,27
2013-10-19,27
2013-10-26,28
2013-11-02,29
2013-11-09,31
2013-11-16,32
2013-11-23,29
2013-11-30,34
2013-12-07,37
2013-12-14,27
2013-12-21,16
2013-12-28,21
2014-01-04,35
2014-01-11,29
2014-01-18,31
2014-01-25,36
2014-02-01,38
2014-02-08,36
2014-02-15,31
2014-02-22,34
2014-03-01,35
2014-03-08,31
2014-03-15,30
2014-03-22,32
2014-03-29,33
2014-04-05,31
2014-04-12,30
2014-04-19,29
2014-04-26,33
2014-05-03,37
2014-05-10,42
2014-05-17,33
2014-05-24,27
2014-05-31,25
2014-06-07,19
2014-06-14,16
2014-06-21,16
2014-06-28,17
2014-07-05,16
2014-07-12,16
2014-07-19,15
2014-07-26,16
2014-08-02,15
2014-08-09,14
2014-08-16,18
2014-08-23,20
2014-08-30,25
2014-09-06,32
2014-09-13,39
2014-09-20,52
2014-09-27,36
2014-10-04,31
2014-10-11,31
2014-10-18,31
2014-10-25,32
2014-11-01,32
2014-11-08,41
2014-11-15,40
2014-11-22,29
2014-11-29,37
2014-12-06,38
2014-12-13,32
2014-12-20,19
2014-12-27,26
2015-01-03,38
2015-01-10,38
2015-01-17,35
2015-01-24,36
2015-01-31,36
2015-02-07,33
2015-02-14,36
2015-02-21,44
2015-02-28,44
2015-03-07,39
2015-03-14,37
2015-03-21,34
2015-03-28,31
2015-04-04,35
2015-04-11,37
2015-04-18,37
2015-04-25,37
2015-05-02,36
2015-05-09,39
2015-05-16,38
2015-05-23,33
2015-05-30,28
2015-06-06,25
2015-06-13,27
2015-06-20,21
2015-06-27,19
2015-07-04,17
2015-07-11,15
2015-07-18,17
2015-07-25,17
2015-08-01,20
2015-08-08,17
2015-08-15,21
2015-08-22,22
2015-08-29,30
2015-09-05,32
2015-09-12,36
2015-09-19,37
2015-09-26,37
2015-10-03,35
2015-10-10,38
2015-10-17,42
2015-10-24,38
2015-10-31,39
2015-11-07,39
2015-11-14,42
2015-11-21,32
2015-11-28,52
2015-12-05,43
2015-12-12,43
2015-12-19,28
2015-12-26,27
2016-01-02,41
2016-01-09,38
2016-01-16,42
2016-01-23,38
2016-01-30,36
2016-02-06,34
2016-02-13,32
2016-02-20,34
2016-02-27,37
2016-03-05,43
2016-03-12,31
2016-03-19,31
2016-03-26,34
2016-04-02,35
2016-04-09,38
2016-04-16,39
2016-04-23,40
2016-04-30,41
2016-05-07,36
2016-05-14,39
2016-05-21,33
2016-05-28,29
2016-06-04,24
2016-06-11,21
2016-06-18,20
2016-06-25,20
2016-07-02,18
2016-07-09,16
2016-07-16,18
2016-07-23,22
2016-07-30,20
2016-08-06,19
2016-08-13,23
2016-08-20,24
2016-08-27,28
2016-09-03,28
2016-09-10,31
2016-09-17,33
2016-09-24,38
2016-10-01,37
2016-10-08,32
2016-10-15,35
2016-10-22,38
2016-10-29,38
2016-11-05,46
2016-11-12,49
2016-11-19,37
2016-11-26,49
2016-12-03,74
2016-12-10,91
2016-12-17,77
2016-12-24,63
2016-12-31,100
