,Search Term,animal welfare
225,2008-04-26,62.999999999999986
226,2008-05-03,69.0
227,2008-05-10,51.0
228,2008-05-17,57.99999999999999
229,2008-05-24,61.0
230,2008-05-31,60.0
231,2008-06-07,54.0
232,2008-06-14,52.99999999999999
233,2008-06-21,47.0
234,2008-06-28,54.0
235,2008-07-05,56.99999999999999
236,2008-07-12,62.999999999999986
237,2008-07-19,54.0
238,2008-07-26,54.0
239,2008-08-02,56.99999999999999
240,2008-08-09,49.0
241,2008-08-16,50.0
242,2008-08-23,48.0
243,2008-08-30,50.0
244,2008-09-06,54.99999999999999
245,2008-09-13,54.0
246,2008-09-20,51.0
247,2008-09-27,52.0
248,2008-10-04,60.0
249,2008-10-11,41.99999999999999
250,2008-10-18,55.99999999999999
251,2008-10-25,49.0
252,2008-11-01,54.99999999999999
253,2008-11-08,59.0
254,2008-11-15,68.0
255,2008-11-22,54.0
256,2008-11-29,67.0
257,2008-12-06,57.71974522292993
258,2008-12-13,48.93630573248407
259,2008-12-20,36.38853503184713
260,2008-12-27,53.95541401273884
261,2009-01-03,50.19108280254776
262,2009-01-10,48.93630573248407
263,2009-01-17,48.93630573248407
264,2009-01-24,60.22929936305732
265,2009-01-31,62.738853503184714
266,2009-02-07,53.328025477706994
267,2009-02-14,62.738853503184714
268,2009-02-21,54.582802547770704
269,2009-02-28,51.445859872611464
270,2009-03-07,56.464968152866234
271,2009-03-14,52.073248407643305
272,2009-03-21,55.837579617834386
273,2009-03-28,50.818471337579616
274,2009-04-04,47.681528662420384
275,2009-04-11,57.09235668789808
276,2009-04-18,58.34713375796178
277,2009-04-25,47.054140127388536
278,2009-05-02,53.328025477706994
279,2009-05-09,61.48407643312102
280,2009-05-16,54.582802547770704
281,2009-05-23,47.681528662420384
282,2009-05-30,52.073248407643305
283,2009-06-06,52.073248407643305
284,2009-06-13,56.464968152866234
285,2009-06-20,44.544585987261144
286,2009-06-27,50.818471337579616
287,2009-07-04,40.780254777070056
288,2009-07-11,41.40764331210191
289,2009-07-18,50.19108280254776
290,2009-07-25,45.17197452229299
291,2009-08-01,45.17197452229299
292,2009-08-08,45.79936305732484
293,2009-08-15,62.738853503184714
294,2009-08-22,50.818471337579616
295,2009-08-29,53.95541401273884
296,2009-09-05,51.445859872611464
297,2009-09-12,46.42675159235668
298,2009-09-19,46.42675159235668
299,2009-09-26,48.308917197452224
300,2009-10-03,50.19108280254776
301,2009-10-10,59.601910828025474
302,2009-10-17,53.95541401273884
303,2009-10-24,47.681528662420384
304,2009-10-31,40.152866242038215
305,2009-11-07,57.09235668789808
306,2009-11-14,52.70063694267516
307,2009-11-21,55.837579617834386
308,2009-11-28,57.09235668789808
309,2009-12-05,53.328025477706994
310,2009-12-12,51.445859872611464
311,2009-12-19,38.27070063694267
312,2009-12-26,38.27070063694267
313,2010-01-02,45.79936305732484
314,2010-01-09,48.93630573248407
315,2010-01-16,45.79936305732484
316,2010-01-23,50.19108280254776
317,2010-01-30,50.19108280254776
318,2010-02-06,48.308917197452224
319,2010-02-13,45.79936305732484
320,2010-02-20,51.445859872611464
321,2010-02-27,58.974522292993626
322,2010-03-06,52.70063694267516
323,2010-03-13,37.64331210191082
324,2010-03-20,46.42675159235668
325,2010-03-27,52.70063694267516
326,2010-04-03,43.289808917197455
327,2010-04-10,50.19108280254776
328,2010-04-17,51.445859872611464
329,2010-04-24,57.71974522292993
330,2010-05-01,53.95541401273884
331,2010-05-08,53.95541401273884
332,2010-05-15,53.95541401273884
333,2010-05-22,48.93630573248407
334,2010-05-29,47.681528662420384
335,2010-06-05,40.780254777070056
336,2010-06-12,39.52547770700637
337,2010-06-19,37.015923566878975
338,2010-06-26,45.17197452229299
339,2010-07-03,45.17197452229299
340,2010-07-10,43.289808917197455
341,2010-07-17,43.917197452229296
342,2010-07-24,33.251592356687894
343,2010-07-31,46.42675159235668
344,2010-08-07,42.6624203821656
345,2010-08-14,37.015923566878975
346,2010-08-21,45.79936305732484
347,2010-08-28,42.6624203821656
348,2010-09-04,37.64331210191082
349,2010-09-11,48.308917197452224
350,2010-09-18,47.681528662420384
351,2010-09-25,45.79936305732484
352,2010-10-02,40.780254777070056
353,2010-10-09,46.42675159235668
354,2010-10-16,45.17197452229299
355,2010-10-23,40.152866242038215
356,2010-10-30,47.054140127388536
357,2010-11-06,47.054140127388536
358,2010-11-13,50.818471337579616
359,2010-11-20,43.289808917197455
360,2010-11-27,38.27070063694267
361,2010-12-04,44.544585987261144
362,2010-12-11,42.03503184713375
363,2010-12-18,27.60509554140127
364,2010-12-25,34.50636942675159
365,2011-01-01,48.93630573248407
366,2011-01-08,49.56369426751592
367,2011-01-15,38.89808917197451
368,2011-01-22,50.19108280254776
369,2011-01-29,43.917197452229296
370,2011-02-05,49.56369426751592
371,2011-02-12,48.93630573248407
372,2011-02-19,49.56369426751592
373,2011-02-26,46.42675159235668
374,2011-03-05,53.328025477706994
375,2011-03-12,43.917197452229296
376,2011-03-19,55.21019108280254
377,2011-03-26,47.681528662420384
378,2011-04-02,45.79936305732484
379,2011-04-09,43.917197452229296
380,2011-04-16,49.56369426751592
381,2011-04-23,41.40764331210191
382,2011-04-30,43.917197452229296
383,2011-05-07,48.308917197452224
384,2011-05-14,42.6624203821656
385,2011-05-21,40.780254777070056
386,2011-05-28,42.6624203821656
387,2011-06-04,42.6624203821656
388,2011-06-11,38.89808917197451
389,2011-06-18,36.38853503184713
390,2011-06-25,48.308917197452224
391,2011-07-02,41.40764331210191
392,2011-07-09,42.6624203821656
393,2011-07-16,38.27070063694267
394,2011-07-23,36.38853503184713
