Search Term,sustainability
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-12-06,80
2008-12-13,61
2008-12-20,35
2008-12-27,41
2009-01-03,63
2009-01-10,68
2009-01-17,69
2009-01-24,80
2009-01-31,79
2009-02-07,77
2009-02-14,79
2009-02-21,79
2009-02-28,81
2009-03-07,79
2009-03-14,75
2009-03-21,83
2009-03-28,82
2009-04-04,82
2009-04-11,87
2009-04-18,97
2009-04-25,92
2009-05-02,85
2009-05-09,79
2009-05-16,73
2009-05-23,69
2009-05-30,75
2009-06-06,72
2009-06-13,68
2009-06-20,62
2009-06-27,59
2009-07-04,62
2009-07-11,62
2009-07-18,62
2009-07-25,58
2009-08-01,65
2009-08-08,67
2009-08-15,67
2009-08-22,74
2009-08-29,80
2009-09-05,77
2009-09-12,85
2009-09-19,91
2009-09-26,83
2009-10-03,86
2009-10-10,92
2009-10-17,93
2009-10-24,88
2009-10-31,92
2009-11-07,94
2009-11-14,92
2009-11-21,75
2009-11-28,89
2009-12-05,82
2009-12-12,68
2009-12-19,41
2009-12-26,40
2010-01-02,63
2010-01-09,70
2010-01-16,69
2010-01-23,79
2010-01-30,83
2010-02-06,81
2010-02-13,78
2010-02-20,88
2010-02-27,88
2010-03-06,87
2010-03-13,81
2010-03-20,89
2010-03-27,80
2010-04-03,90
2010-04-10,91
2010-04-17,99
2010-04-24,100
2010-05-01,89
2010-05-08,86
2010-05-15,80
2010-05-22,73
2010-05-29,70
2010-06-05,75
2010-06-12,67
2010-06-19,67
2010-06-26,64
2010-07-03,56
2010-07-10,59
2010-07-17,64
2010-07-24,56
2010-07-31,58
2010-08-07,58
2010-08-14,64
2010-08-21,65
2010-08-28,64
2010-09-04,68
2010-09-11,80
2010-09-18,79
2010-09-25,77
2010-10-02,75
2010-10-09,79
2010-10-16,86
2010-10-23,79
2010-10-30,80
2010-11-06,85
2010-11-13,82
2010-11-20,69
2010-11-27,76
2010-12-04,77
2010-12-11,64
2010-12-18,33
2010-12-25,32
2011-01-01,53
2011-01-08,59
2011-01-15,59
2011-01-22,65
2011-01-29,65
2011-02-05,67
2011-02-12,68
2011-02-19,68
2011-02-26,66
2011-03-05,67
2011-03-12,57
2011-03-19,62
2011-03-26,72
2011-04-02,74
2011-04-09,73
2011-04-16,72
2011-04-23,70
2011-04-30,68
2011-05-07,60
2011-05-14,58
2011-05-21,55
2011-05-28,52
2011-06-04,53
2011-06-11,53
2011-06-18,51
2011-06-25,48
2011-07-02,46
2011-07-09,48
2011-07-16,46
2011-07-23,46
2011-07-30,45
2011-08-06,46
2011-08-13,45
2011-08-20,50
2011-08-27,55
2011-09-03,54
2011-09-10,67
2011-09-17,65
2011-09-24,65
2011-10-01,65
2011-10-08,64
2011-10-15,71
2011-10-22,64
2011-10-29,65
2011-11-05,65
2011-11-12,63
2011-11-19,45
2011-11-26,66
2011-12-03,67
2011-12-10,55
2011-12-17,36
2011-12-24,26
2011-12-31,46
2012-01-07,54
2012-01-14,55
2012-01-21,61
2012-01-28,64
2012-02-04,61
2012-02-11,62
2012-02-18,63
2012-02-25,65
2012-03-03,59
2012-03-10,55
2012-03-17,57
2012-03-24,57
2012-03-31,60
2012-04-07,62
2012-04-14,71
2012-04-21,68
2012-04-28,64
2012-05-05,59
2012-05-12,53
2012-05-19,50
2012-05-26,43
2012-06-02,48
2012-06-09,46
2012-06-16,46
2012-06-23,43
2012-06-30,37
2012-07-07,44
2012-07-14,45
2012-07-21,42
2012-07-28,42
2012-08-04,38
2012-08-11,42
2012-08-18,45
2012-08-25,50
2012-09-01,50
2012-09-08,61
2012-09-15,60
2012-09-22,57
2012-09-29,62
2012-10-06,56
2012-10-13,58
2012-10-20,58
2012-10-27,54
2012-11-03,58
2012-11-10,61
2012-11-17,44
2012-11-24,61
2012-12-01,61
2012-12-08,54
2012-12-15,39
2012-12-22,21
2012-12-29,30
