,Date,Month,Year,Zhao
0,2017-01-07,1,2017,0.0005133333333333333
1,2017-01-14,1,2017,0.0005256110968771923
2,2017-01-21,1,2017,0.0005351415179647384
3,2017-01-28,1,2017,0.0005362059546056999
4,2017-02-04,2,2017,0.0005161054301302
5,2017-02-11,2,2017,0.0005089266713889385
6,2017-02-18,2,2017,0.0005189769336266615
7,2017-02-25,2,2017,0.0005298193347600154
8,2017-03-04,3,2017,0.0005412558400650923
9,2017-03-11,3,2017,0.0005518259434530923
10,2017-03-18,3,2017,0.0005620494860742616
11,2017-03-25,3,2017,0.0005813331173136769
12,2017-04-01,4,2017,0.0006021267633228
13,2017-04-08,4,2017,0.0005799468742463769
14,2017-04-15,4,2017,0.0005622475207981153
15,2017-04-22,4,2017,0.0005714313811188231
16,2017-04-29,4,2017,0.0005722482743548999
17,2017-05-06,5,2017,0.0005521477498794
18,2017-05-13,5,2017,0.0005443154765492846
19,2017-05-20,5,2017,0.0005528408714130154
20,2017-05-27,5,2017,0.0006103006465516636
21,2017-06-03,6,2017,0.0007044612068965
22,2017-06-10,6,2017,0.0006290378257248692
23,2017-06-17,6,2017,0.0006169298589341
24,2017-06-24,6,2017,0.0006525028776449333
25,2017-07-01,7,2017,0.0006846701116770692
26,2017-07-08,7,2017,0.0007083228840124615
27,2017-07-15,7,2017,0.0007148049848857199
28,2017-07-22,7,2017,0.0006983928571428
29,2017-07-29,7,2017,0.0007544749407136
30,2017-08-05,8,2017,0.0007932055175427153
31,2017-08-12,8,2017,0.0008088007520495846
32,2017-08-19,8,2017,0.0008318222887026077
33,2017-08-26,8,2017,0.0008604135519652462
34,2017-09-02,9,2017,0.0008730382656136538
35,2017-09-09,9,2017,0.0008792763594163693
36,2017-09-16,9,2017,0.0008869997136483461
37,2017-09-23,9,2017,0.0008949706112852
38,2017-09-30,9,2017,0.0008802417786954
39,2017-10-07,10,2017,0.0008690528167952462
40,2017-10-14,10,2017,0.0008791030790329692
41,2017-10-21,10,2017,0.0008884602197370769
42,2017-10-28,10,2017,0.0008960845566071461
43,2017-11-04,11,2017,0.0008884107110561538
44,2017-11-11,11,2017,0.0008603392889437462
45,2017-11-18,11,2017,0.00085849921630088
46,2017-11-25,11,2017,0.00088134210913007
47,2017-12-02,12,2017,0.00093424172217866
48,2017-12-09,12,2017,0.0009171305593651501
49,2017-12-16,12,2017,0.0008720150862068
50,2017-12-23,12,2017,0.0008478366967084091
51,2017-12-30,12,2017,0.00086400317887927
52,2018-01-06,1,2018,0.0009339628232758
53,2018-01-13,1,2018,0.0009828076753525899
54,2018-01-20,1,2018,0.001020178065468946
55,2018-01-27,1,2018,0.001048942609114977
56,2018-02-03,2,2018,0.001054438072703123
57,2018-02-10,2,2018,0.0010506259042681154
58,2018-02-17,2,2018,0.0010704293766577845
59,2018-02-24,2,2018,0.0010941687891849
60,2018-03-03,3,2018,0.0010998870418374384
61,2018-03-10,3,2018,0.0011075361330479692
62,2018-03-17,3,2018,0.0011267702556064538
63,2018-03-24,3,2018,0.001142736805220631
64,2018-03-31,3,2018,0.0011505344224740385
65,2018-04-07,4,2018,0.0011589081970023
66,2018-04-14,4,2018,0.0011680501812303668
67,2018-04-21,4,2018,0.0011966913657462924
68,2018-04-28,4,2018,0.0012331322303773613
69,2018-05-05,5,2018,0.0012132371669278615
70,2018-05-12,5,2018,0.0011839527821316
71,2018-05-19,5,2018,0.0012028403439232462
72,2018-05-26,5,2018,0.0012205280937744125
73,2018-06-02,6,2018,0.0012310169719827
74,2018-06-09,6,2018,0.001046817272167457
75,2018-06-16,6,2018,0.0009870320035567691
76,2018-06-23,6,2018,0.0009724764513503615
77,2018-06-30,6,2018,0.0009761896024234231
78,2018-07-07,7,2018,0.0010042610245357768
79,2018-07-14,7,2018,0.00100038520208234
80,2018-07-21,7,2018,0.0010103228910097667
81,2018-07-28,7,2018,0.0012704865301723799
