Date,Month,Year,Zhao,StewartMilk,StewartPBMilk
2013-01-19,1,2013,,0.4413844760698502,0.0287162353578394
2013-01-26,1,2013,,0.4451887509408544,0.0284848204072735
2013-02-02,2,2013,,0.4434601249417456,0.0282148362982801
2013-02-09,2,2013,,0.4376400847699464,0.0282162981912354
2013-02-16,2,2013,,0.4321696134775127,0.0285796880867891
2013-02-23,2,2013,,0.4506553200036909,0.0289430779823428
2013-03-02,3,2013,,0.448625001952733,0.0290301526111639
2013-03-09,3,2013,,0.4458654628175489,0.0290711746955296
2013-03-16,3,2013,,0.4431059236823648,0.0289298021702561
2013-03-23,3,2013,,0.4342673046940858,0.0285452368321303
2013-03-30,3,2013,,0.4186598218084075,0.0281606714940046
2013-04-06,4,2013,,0.4378190289414779,0.0292197331378616
2013-04-13,4,2013,,0.4338753340829961,0.0302787947817187
2013-04-20,4,2013,,0.429693631360298,0.0306209466654697
2013-04-27,4,2013,,0.4240838814523024,0.0300072188690793
2013-05-04,5,2013,,0.4178522242595888,0.029393491072689
2013-05-11,5,2013,,0.4107913573539175,0.029293099802707
2013-05-18,5,2013,,0.4052374066790664,0.029192708532725
2013-05-25,5,2013,,0.4024750281456332,0.029075756035803
2013-06-01,6,2013,,0.4038661120329577,0.0289367219029609
2013-06-08,6,2013,,0.4037227319898283,0.0287976877701188
2013-06-15,6,2013,,0.3997431921205641,0.0290351348187112
2013-06-22,6,2013,,0.3946520744569438,0.0292725818673037
2013-06-29,6,2013,,0.387577739675126,0.0293346463020646
2013-07-06,7,2013,,0.3852777690994662,0.0292651737764518
2013-07-13,7,2013,,0.386317222258504,0.029195701250839
2013-07-20,7,2013,,0.3918092403971387,0.028843873406751
2013-07-27,7,2013,,0.397251278221561,0.0284920455626631
2013-08-03,8,2013,,0.4026266756270336,0.028982038993833
2013-08-10,8,2013,,0.407362665266353,0.0301033983814463
2013-08-17,8,2013,,0.4112461112174681,0.0309928014355749
2013-08-24,8,2013,,0.4073779421502896,0.0304904664887955
2013-08-31,8,2013,,0.393174286392053,0.0299881315420161
2013-09-07,9,2013,,0.4082367507471083,0.029945943442921
2013-09-14,9,2013,,0.4057454869835822,0.0302488654795892
2013-09-21,9,2013,,0.3962089165529909,0.0305026812752007
2013-09-28,9,2013,,0.3917044926876649,0.0304618596244719
2013-10-05,10,2013,,0.391410814323095,0.0304210379737431
2013-10-12,10,2013,,0.3953142802218616,0.030172030464428
2013-10-19,10,2013,,0.3907146476945975,0.0298397486116782
2013-10-26,10,2013,,0.3861150151673334,0.029490644119864
2013-11-02,11,2013,,0.3958393887951909,0.0290406037936628
2013-11-09,11,2013,,0.4003613468036429,0.0285905634674615
2013-11-16,11,2013,,0.4040463971151801,0.0276946007188278
2013-11-23,11,2013,,0.4071037666540312,0.0266202690012213
2013-11-30,11,2013,,0.3719935443601752,0.0257193038956269
2013-12-07,12,2013,,0.3917439319735059,0.0258585384621061
2013-12-14,12,2013,,0.394970784127008,0.0259977730285852
2013-12-21,12,2013,,0.3785271539789779,0.0253465178613987
2013-12-28,12,2013,,0.3671682435508667,0.0243790668007459
2014-01-04,1,2014,,0.3935217682591218,0.0262012920709662
2014-01-11,1,2014,,0.4099647399334115,0.0317430857823505
2014-01-18,1,2014,,0.405100487306001,0.0359245935603494
2014-01-25,1,2014,,0.4070280911902009,0.0367053865048851
2014-02-01,2,2014,,0.4140495874581087,0.0374861794494208
2014-02-08,2,2014,,0.4130842941936465,0.0369785870965289
2014-02-15,2,2014,,0.4121190009291843,0.035955640624666
2014-02-22,2,2014,,0.413091516875978,0.0354436313082928
2014-03-01,3,2014,,0.4189085558509117,0.036208964880644
2014-03-08,3,2014,,0.412984302628204,0.0369742984529951
2014-03-15,3,2014,,0.4001235348152641,0.0369884274336581
2014-03-22,3,2014,,0.3983888389051296,0.0367020745776458
2014-03-29,3,2014,,0.3966541429949951,0.0361772056936437
2014-04-05,4,2014,,0.3982788914618488,0.0350560467396674
2014-04-12,4,2014,,0.3897001297753176,0.0339348877856911
2014-04-19,4,2014,,0.3813983657843306,0.0341524537263884
2014-04-26,4,2014,,0.3779794353510506,0.0345931404828647
2014-05-03,5,2014,,0.377231426297228,0.0349617283967865
2014-05-10,5,2014,,0.3752078722201648,0.0351500692043223
2014-05-17,5,2014,,0.3709297754952367,0.0353384100118582
2014-05-24,5,2014,,0.3738499820924135,0.0352882347914044
2014-05-31,5,2014,,0.3766118969090684,0.035198306899619
2014-06-07,6,2014,,0.3789780822744183,0.0352629053882186
