Search Term,sustainability
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,41
2004-01-31,45
2004-02-29,42
2004-03-31,47
2004-04-30,41
2004-05-31,37
2004-06-30,36
2004-07-31,34
2004-08-31,45
2004-09-30,44
2004-10-31,50
2004-11-30,39
2004-12-31,38
2005-01-31,45
2005-02-28,42
2005-03-31,47
2005-04-30,41
2005-05-31,36
2005-06-30,31
2005-07-31,34
2005-08-31,42
2005-09-30,41
2005-10-31,43
2005-11-30,36
2005-12-31,35
2006-01-31,42
2006-02-28,42
2006-03-31,45
2006-04-30,42
2006-05-31,35
2006-06-30,34
2006-07-31,35
2006-08-31,42
2006-09-30,43
2006-10-31,43
2006-11-30,36
2006-12-31,43
2007-01-31,50
2007-02-28,48
2007-03-31,49
2007-04-30,48
2007-05-31,45
2007-06-30,41
2007-07-31,39
2007-08-31,53
2007-09-30,55
2007-10-31,57
2007-11-30,49
2007-12-31,53
2008-01-31,57
2008-02-29,57
2008-03-31,64
2008-04-30,56
2008-05-31,50
2008-06-30,50
2008-07-31,55
2008-08-31,60
2008-09-30,71
2008-10-31,63
2008-11-30,49
2008-12-31,54
2009-01-31,66
2009-02-28,68
2009-03-31,76
2009-04-30,61
2009-05-31,56
2009-06-30,50
2009-07-31,53
2009-08-31,76
2009-09-30,76
2009-10-31,81
2009-11-30,52
2009-12-31,57
2010-01-31,68
2010-02-28,74
2010-03-31,81
2010-04-30,69
2010-05-31,60
2010-06-30,51
2010-07-31,54
2010-08-31,63
2010-09-30,66
2010-10-31,68
2010-11-30,49
2010-12-31,50
2011-01-31,58
2011-02-28,57
2011-03-31,60
2011-04-30,50
2011-05-31,46
2011-06-30,38
2011-07-31,43
2011-08-31,53
2011-09-30,57
2011-10-31,52
2011-11-30,43
2011-12-31,48
2012-01-31,52
2012-02-29,51
2012-03-31,56
2012-04-30,48
2012-05-31,40
2012-06-30,36
2012-07-31,37
2012-08-31,50
2012-09-30,49
2012-10-31,46
2012-11-30,38
2012-12-31,41
2013-01-31,48
2013-02-28,44
2013-03-31,52
2013-04-30,46
2013-05-31,34
2013-06-30,31
2013-07-31,37
2013-08-31,46
2013-09-30,50
2013-10-31,47
2013-11-30,37
2013-12-31,42
2014-01-31,49
2014-02-28,46
2014-03-31,54
2014-04-30,45
2014-05-31,36
2014-06-30,34
2014-07-31,36
2014-08-31,47
2014-09-30,49
2014-10-31,46
2014-11-30,38
2014-12-31,37
2015-01-31,46
2015-02-28,50
2015-03-31,53
2015-04-30,42
2015-05-31,34
2015-06-30,33
2015-07-31,36
2015-08-31,52
2015-09-30,51
2015-10-31,45
2015-11-30,38
2015-12-31,40
2016-01-31,47
2016-02-29,47
2016-03-31,51
2016-04-30,45
2016-05-31,36
2016-06-30,28
2016-07-31,32
2016-08-31,46
2016-09-30,46
2016-10-31,48
2016-11-30,38
2016-12-31,46
2017-01-31,57
2017-02-28,58
2017-03-31,57
2017-04-30,52
2017-05-31,37
2017-06-30,36
2017-07-31,39
2017-08-31,52
2017-09-30,54
2017-10-31,51
2017-11-30,39
2017-12-31,46
2018-01-31,55
2018-02-28,51
2018-03-31,58
2018-04-30,49
2018-05-31,36
2018-06-30,33
2018-07-31,41
2018-08-31,51
2018-09-30,52
2018-10-31,50
2018-11-30,46
2018-12-31,50
2019-01-31,59
2019-02-28,59
2019-03-31,66
2019-04-30,60
2019-05-31,45
2019-06-30,43
2019-07-31,47
2019-08-31,68
2019-09-30,65
2019-10-31,59
2019-11-30,54
2019-12-31,63
2020-01-31,70
2020-02-29,53
2020-03-31,61
2020-04-30,58
2020-05-31,50
2020-06-30,54
2020-07-31,56
2020-08-31,73
2020-09-30,63
2020-10-31,56
2020-11-30,50
2020-12-31,51
2021-01-31,60
2021-02-28,58
2021-03-31,77
2021-04-30,63
2021-05-31,54
2021-06-30,51
2021-07-31,54
2021-08-31,70
2021-09-30,70
2021-10-31,70
2021-11-30,58
2021-12-31,69
2022-01-31,80
2022-02-28,80
2022-03-31,97
2022-04-30,79
2022-05-31,63
2022-06-30,58
2022-07-31,68
2022-08-31,82
2022-09-30,77
2022-10-31,79
2022-11-30,67
2022-12-31,74
2023-01-31,85
2023-02-28,88
2023-03-31,96
2023-04-30,80
2023-05-31,64
2023-06-30,59
2023-07-31,72
2023-08-31,83
2023-09-30,87
2023-10-31,88
2023-11-30,72
2023-12-31,81
2024-01-31,94
2024-02-29,91
2024-03-31,100
2024-04-30,81
