Search Term,food
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-12-06,81
2008-12-13,81
2008-12-20,84
2008-12-27,78
2009-01-03,78
2009-01-10,77
2009-01-17,81
2009-01-24,88
2009-01-31,80
2009-02-07,81
2009-02-14,82
2009-02-21,82
2009-02-28,79
2009-03-07,81
2009-03-14,75
2009-03-21,79
2009-03-28,81
2009-04-04,80
2009-04-11,75
2009-04-18,77
2009-04-25,76
2009-05-02,79
2009-05-09,78
2009-05-16,75
2009-05-23,70
2009-05-30,72
2009-06-06,70
2009-06-13,74
2009-06-20,69
2009-06-27,73
2009-07-04,69
2009-07-11,76
2009-07-18,71
2009-07-25,74
2009-08-01,75
2009-08-08,74
2009-08-15,72
2009-08-22,71
2009-08-29,74
2009-09-05,79
2009-09-12,74
2009-09-19,76
2009-09-26,80
2009-10-03,81
2009-10-10,79
2009-10-17,80
2009-10-24,83
2009-10-31,80
2009-11-07,83
2009-11-14,85
2009-11-21,91
2009-11-28,77
2009-12-05,78
2009-12-12,81
2009-12-19,78
2009-12-26,78
2010-01-02,80
2010-01-09,79
2010-01-16,75
2010-01-23,82
2010-01-30,80
2010-02-06,79
2010-02-13,76
2010-02-20,78
2010-02-27,77
2010-03-06,83
2010-03-13,77
2010-03-20,80
2010-03-27,81
2010-04-03,74
2010-04-10,78
2010-04-17,78
2010-04-24,78
2010-05-01,77
2010-05-08,79
2010-05-15,78
2010-05-22,73
2010-05-29,72
2010-06-05,71
2010-06-12,72
2010-06-19,69
2010-06-26,70
2010-07-03,73
2010-07-10,69
2010-07-17,72
2010-07-24,70
2010-07-31,74
2010-08-07,73
2010-08-14,78
2010-08-21,72
2010-08-28,71
2010-09-04,74
2010-09-11,75
2010-09-18,77
2010-09-25,74
2010-10-02,74
2010-10-09,77
2010-10-16,81
2010-10-23,74
2010-10-30,79
2010-11-06,80
2010-11-13,85
2010-11-20,84
2010-11-27,77
2010-12-04,78
2010-12-11,75
2010-12-18,80
2010-12-25,79
2011-01-01,84
2011-01-08,88
2011-01-15,87
2011-01-22,88
2011-01-29,95
2011-02-05,87
2011-02-12,85
2011-02-19,89
2011-02-26,88
2011-03-05,88
2011-03-12,80
2011-03-19,84
2011-03-26,88
2011-04-02,84
2011-04-09,88
2011-04-16,90
2011-04-23,90
2011-04-30,88
2011-05-07,90
2011-05-14,89
2011-05-21,84
2011-05-28,92
2011-06-04,87
2011-06-11,88
2011-06-18,87
2011-06-25,87
2011-07-02,85
2011-07-09,89
2011-07-16,81
2011-07-23,86
2011-07-30,87
2011-08-06,85
2011-08-13,88
2011-08-20,85
2011-08-27,85
2011-09-03,89
2011-09-10,86
2011-09-17,87
2011-09-24,89
2011-10-01,88
2011-10-08,89
2011-10-15,89
2011-10-22,88
2011-10-29,92
2011-11-05,90
2011-11-12,90
2011-11-19,97
2011-11-26,84
2011-12-03,87
2011-12-10,88
2011-12-17,90
2011-12-24,88
2011-12-31,90
2012-01-07,87
2012-01-14,90
2012-01-21,88
2012-01-28,94
2012-02-04,87
2012-02-11,84
2012-02-18,85
2012-02-25,97
2012-03-03,91
2012-03-10,91
2012-03-17,91
2012-03-24,90
2012-03-31,92
2012-04-07,90
2012-04-14,90
2012-04-21,89
2012-04-28,89
2012-05-05,95
2012-05-12,93
2012-05-19,97
2012-05-26,94
2012-06-02,95
2012-06-09,92
2012-06-16,89
2012-06-23,90
2012-06-30,96
2012-07-07,91
2012-07-14,99
2012-07-21,93
2012-07-28,92
2012-08-04,90
2012-08-11,91
2012-08-18,93
2012-08-25,91
2012-09-01,93
2012-09-08,94
2012-09-15,92
2012-09-22,92
2012-09-29,95
2012-10-06,100
2012-10-13,90
2012-10-20,92
2012-10-27,86
2012-11-03,89
2012-11-10,97
2012-11-17,98
2012-11-24,86
2012-12-01,88
2012-12-08,86
2012-12-15,86
2012-12-22,91
2012-12-29,94
