ds,vegan,vegetarian,plant_based_plus_plant_based,vegan_informative,vegetarian_informative,plant based_informative,vegan_behavior,vegetarian_behavior,plant based_behavior,behavior_bare,informative_bare,food
2007-04-30,16.0,16.2,0.14,12.5414624,10.306889559999998,0.14,3.4585376000000005,5.893110440000001,0.0,981.6322950819672,374.85,374.85
2007-05-31,14.0,15.899999999999999,0.14,10.3385436,10.081874847999998,0.14,3.6614564000000005,5.818125152000001,0.0,1016.0547540983607,324.87,324.87
2007-06-30,13.0,17.7,0.14,9.2545772,11.379168559999998,0.14,3.7454228,6.320831440000001,0.0,1046.5919672131147,333.2,333.2
2007-07-31,14.0,16.2,0.14,10.2279604,10.196567039999998,0.14,3.7720396000000003,6.0034329600000005,0.0,1048.1611475409836,291.55,291.55
2007-08-31,14.0,16.8,0.14,10.4370532,11.18491692,0.14,3.5629468,5.615083080000001,0.0,1016.0549180327868,333.2,333.2
2007-09-30,15.0,18.0,0.14,11.057558,11.787948952,0.14,3.9424420000000007,6.212051048,0.0,1040.3754098360655,358.19,358.19
2007-10-31,20.0,21.3,0.14,15.2269492,13.96502732,0.14,4.773050800000001,7.334972680000001,0.0,1222.8213114754099,383.18,383.18
2007-11-30,17.0,18.9,0.14,12.462795999999999,11.854107719999998,0.14,4.537204000000001,7.04589228,0.0,1285.6596721311475,358.19,358.19
2007-12-31,17.0,21.0,0.14,12.684373999999998,13.608248472,0.14,4.315626000000001,7.391751528000001,0.0,1069.457213114754,366.52,366.52
2008-01-31,17.0,19.5,0.14,13.010224,12.700946983999998,0.14,3.989776000000001,6.799053016000001,0.0,1019.4196721311476,358.19,358.19
2008-02-29,17.0,19.2,0.14,12.9381597,12.455294647999999,0.14,4.0618403,6.744705352,0.0,1016.6609836065575,358.19,358.19
2008-03-31,16.0,17.7,0.1654270016,12.275706,11.941990399999998,0.1654270016,3.7242940000000004,5.758009600000001,0.0,899.3759016393442,366.52,366.52
2008-04-30,17.0,17.4,0.14,13.1948952,11.282704759999998,0.14,3.8051048000000005,6.117295240000001,0.0,953.708524590164,374.85,374.85
