Search Term,vegetarian restaurant
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,98
2004-01-31,100
2004-02-29,71
2004-03-31,66
2004-04-30,79
2004-05-31,76
2004-06-30,99
2004-07-31,75
2004-08-31,84
2004-09-30,84
2004-10-31,79
2004-11-30,75
2004-12-31,69
2005-01-31,70
2005-02-28,74
2005-03-31,70
2005-04-30,80
2005-05-31,87
2005-06-30,86
2005-07-31,98
2005-08-31,69
2005-09-30,78
2005-10-31,78
2005-11-30,60
2005-12-31,74
2006-01-31,67
2006-02-28,77
2006-03-31,74
2006-04-30,76
2006-05-31,86
2006-06-30,89
2006-07-31,84
2006-08-31,76
2006-09-30,66
2006-10-31,72
2006-11-30,71
2006-12-31,73
2007-01-31,85
2007-02-28,70
2007-03-31,67
2007-04-30,81
2007-05-31,69
2007-06-30,88
2007-07-31,82
2007-08-31,71
2007-09-30,68
2007-10-31,75
2007-11-30,73
2007-12-31,79
2008-01-31,78
2008-02-29,80
2008-03-31,72
2008-04-30,75
2008-05-31,78
2008-06-30,79
2008-07-31,84
2008-08-31,70
2008-09-30,61
2008-10-31,67
2008-11-30,65
2008-12-31,65
2009-01-31,68
2009-02-28,72
2009-03-31,64
2009-04-30,71
2009-05-31,60
2009-06-30,75
2009-07-31,74
2009-08-31,65
2009-09-30,65
2009-10-31,58
2009-11-30,55
2009-12-31,65
2010-01-31,70
2010-02-28,65
2010-03-31,63
2010-04-30,69
2010-05-31,71
2010-06-30,73
2010-07-31,71
2010-08-31,61
2010-09-30,62
2010-10-31,51
2010-11-30,55
2010-12-31,61
2011-01-31,68
2011-02-28,70
2011-03-31,70
2011-04-30,65
2011-05-31,68
2011-06-30,68
2011-07-31,73
2011-08-31,59
2011-09-30,57
2011-10-31,54
2011-11-30,61
2011-12-31,65
2012-01-31,57
2012-02-29,59
2012-03-31,62
2012-04-30,65
2012-05-31,69
2012-06-30,70
2012-07-31,66
2012-08-31,59
2012-09-30,57
2012-10-31,52
2012-11-30,54
2012-12-31,64
2013-01-31,61
2013-02-28,67
2013-03-31,58
2013-04-30,61
2013-05-31,63
2013-06-30,65
2013-07-31,67
2013-08-31,58
2013-09-30,53
2013-10-31,54
2013-11-30,57
2013-12-31,61
2014-01-31,59
2014-02-28,63
2014-03-31,57
2014-04-30,63
2014-05-31,66
2014-06-30,65
2014-07-31,69
2014-08-31,50
2014-09-30,49
2014-10-31,52
2014-11-30,50
2014-12-31,56
2015-01-31,49
2015-02-28,60
2015-03-31,48
2015-04-30,60
2015-05-31,53
2015-06-30,66
2015-07-31,67
2015-08-31,56
2015-09-30,56
2015-10-31,50
2015-11-30,58
2015-12-31,63
2016-01-31,58
2016-02-29,63
2016-03-31,65
2016-04-30,69
2016-05-31,69
2016-06-30,75
2016-07-31,63
2016-08-31,60
2016-09-30,59
2016-10-31,53
2016-11-30,62
2016-12-31,61
2017-01-31,63
2017-02-28,65
2017-03-31,69
2017-04-30,68
2017-05-31,71
2017-06-30,92
2017-07-31,89
2017-08-31,76
2017-09-30,69
2017-10-31,67
2017-11-30,72
2017-12-31,76
2018-01-31,72
2018-02-28,75
2018-03-31,71
2018-04-30,70
2018-05-31,84
2018-06-30,76
2018-07-31,75
2018-08-31,62
2018-09-30,64
2018-10-31,60
2018-11-30,66
2018-12-31,65
2019-01-31,64
2019-02-28,67
2019-03-31,66
2019-04-30,70
2019-05-31,71
2019-06-30,72
2019-07-31,69
2019-08-31,64
2019-09-30,60
2019-10-31,60
2019-11-30,59
2019-12-31,59
2020-01-31,64
2020-02-29,33
2020-03-31,15
2020-04-30,24
2020-05-31,30
2020-06-30,31
2020-07-31,36
2020-08-31,35
2020-09-30,33
2020-10-31,30
2020-11-30,31
2020-12-31,33
2021-01-31,35
2021-02-28,41
2021-03-31,46
2021-04-30,56
2021-05-31,58
2021-06-30,64
2021-07-31,53
2021-08-31,52
2021-09-30,49
2021-10-31,53
2021-11-30,53
2021-12-31,49
2022-01-31,57
2022-02-28,63
2022-03-31,63
2022-04-30,61
2022-05-31,61
2022-06-30,65
2022-07-31,63
2022-08-31,55
2022-09-30,51
2022-10-31,51
2022-11-30,56
2022-12-31,56
2023-01-31,58
2023-02-28,59
2023-03-31,59
2023-04-30,63
2023-05-31,62
2023-06-30,71
2023-07-31,61
2023-08-31,57
2023-09-30,54
2023-10-31,49
2023-11-30,59
2023-12-31,57
2024-01-31,55
2024-02-29,57
2024-03-31,53
2024-04-30,57
