Search Term,vegan restaurant
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,15
2004-01-31,0
2004-02-29,18
2004-03-31,11
2004-04-30,15
2004-05-31,15
2004-06-30,21
2004-07-31,12
2004-08-31,12
2004-09-30,14
2004-10-31,9
2004-11-30,14
2004-12-31,10
2005-01-31,15
2005-02-28,12
2005-03-31,11
2005-04-30,13
2005-05-31,19
2005-06-30,17
2005-07-31,15
2005-08-31,13
2005-09-30,15
2005-10-31,11
2005-11-30,18
2005-12-31,13
2006-01-31,11
2006-02-28,16
2006-03-31,11
2006-04-30,18
2006-05-31,16
2006-06-30,17
2006-07-31,16
2006-08-31,14
2006-09-30,14
2006-10-31,15
2006-11-30,17
2006-12-31,18
2007-01-31,15
2007-02-28,19
2007-03-31,15
2007-04-30,17
2007-05-31,18
2007-06-30,16
2007-07-31,17
2007-08-31,16
2007-09-30,15
2007-10-31,16
2007-11-30,17
2007-12-31,20
2008-01-31,20
2008-02-29,17
2008-03-31,20
2008-04-30,21
2008-05-31,20
2008-06-30,24
2008-07-31,22
2008-08-31,12
2008-09-30,17
2008-10-31,18
2008-11-30,17
2008-12-31,17
2009-01-31,16
2009-02-28,15
2009-03-31,21
2009-04-30,19
2009-05-31,18
2009-06-30,19
2009-07-31,22
2009-08-31,14
2009-09-30,17
2009-10-31,17
2009-11-30,18
2009-12-31,21
2010-01-31,20
2010-02-28,21
2010-03-31,19
2010-04-30,24
2010-05-31,22
2010-06-30,21
2010-07-31,20
2010-08-31,20
2010-09-30,17
2010-10-31,20
2010-11-30,20
2010-12-31,24
2011-01-31,25
2011-02-28,29
2011-03-31,28
2011-04-30,28
2011-05-31,29
2011-06-30,29
2011-07-31,27
2011-08-31,25
2011-09-30,27
2011-10-31,25
2011-11-30,24
2011-12-31,29
2012-01-31,28
2012-02-29,29
2012-03-31,30
2012-04-30,29
2012-05-31,30
2012-06-30,30
2012-07-31,31
2012-08-31,26
2012-09-30,24
2012-10-31,24
2012-11-30,26
2012-12-31,34
2013-01-31,33
2013-02-28,35
2013-03-31,33
2013-04-30,33
2013-05-31,36
2013-06-30,34
2013-07-31,35
2013-08-31,29
2013-09-30,28
2013-10-31,29
2013-11-30,29
2013-12-31,35
2014-01-31,37
2014-02-28,37
2014-03-31,36
2014-04-30,34
2014-05-31,32
2014-06-30,37
2014-07-31,36
2014-08-31,27
2014-09-30,29
2014-10-31,28
2014-11-30,28
2014-12-31,31
2015-01-31,29
2015-02-28,31
2015-03-31,31
2015-04-30,33
2015-05-31,34
2015-06-30,38
2015-07-31,41
2015-08-31,35
2015-09-30,34
2015-10-31,35
2015-11-30,37
2015-12-31,45
2016-01-31,46
2016-02-29,47
2016-03-31,49
2016-04-30,53
2016-05-31,52
2016-06-30,55
2016-07-31,47
2016-08-31,43
2016-09-30,42
2016-10-31,41
2016-11-30,48
2016-12-31,47
2017-01-31,50
2017-02-28,52
2017-03-31,54
2017-04-30,56
2017-05-31,59
2017-06-30,88
2017-07-31,88
2017-08-31,71
2017-09-30,70
2017-10-31,65
2017-11-30,73
2017-12-31,81
2018-01-31,82
2018-02-28,82
2018-03-31,81
2018-04-30,79
2018-05-31,78
2018-06-30,85
2018-07-31,84
2018-08-31,73
2018-09-30,65
2018-10-31,67
2018-11-30,72
2018-12-31,99
2019-01-31,99
2019-02-28,100
2019-03-31,87
2019-04-30,82
2019-05-31,85
2019-06-30,96
2019-07-31,87
2019-08-31,83
2019-09-30,73
2019-10-31,84
2019-11-30,84
2019-12-31,90
2020-01-31,92
2020-02-29,50
2020-03-31,26
2020-04-30,41
2020-05-31,70
2020-06-30,64
2020-07-31,62
2020-08-31,64
2020-09-30,62
2020-10-31,52
2020-11-30,51
2020-12-31,61
2021-01-31,64
2021-02-28,65
2021-03-31,76
2021-04-30,86
2021-05-31,87
2021-06-30,86
2021-07-31,78
2021-08-31,75
2021-09-30,73
2021-10-31,75
2021-11-30,73
2021-12-31,73
2022-01-31,85
2022-02-28,99
2022-03-31,86
2022-04-30,81
2022-05-31,77
2022-06-30,86
2022-07-31,73
2022-08-31,75
2022-09-30,71
2022-10-31,68
2022-11-30,76
2022-12-31,80
2023-01-31,74
2023-02-28,75
2023-03-31,75
2023-04-30,74
2023-05-31,78
2023-06-30,82
2023-07-31,69
2023-08-31,68
2023-09-30,63
2023-10-31,61
2023-11-30,63
2023-12-31,80
2024-01-31,71
2024-02-29,64
2024-03-31,67
2024-04-30,70
