Year,Month,All Fresh Retail Beef,Choice Retail Beef,Retail Chicken,Retail Pork,Time,Beef
1995,12,75.91,75.02,110.7,102.1,1995-12-01,150.93
1996,1,83.7,82.74,141.57,109.0,1996-01-01,166.44
1996,2,76.17,75.02,116.91,95.4,1996-02-01,151.19
1996,3,76.67,75.37,123.39,93.03,1996-03-01,152.04000000000002
1996,4,77.97,77.3,124.54,97.89,1996-04-01,155.26999999999998
1996,5,82.67,82.27,121.89,91.77,1996-05-01,164.94
1996,6,80.48,80.17,118.83,79.94,1996-06-01,160.65
1996,7,81.71,81.65,121.72,90.77,1996-07-01,163.36
1996,8,85.89,85.82,120.54,97.29,1996-08-01,171.70999999999998
1996,9,72.26,72.18,116.72,99.59,1996-09-01,144.44
1996,10,79.14,79.22,131.01,109.22,1996-10-01,158.36
1996,11,70.68,71.04,99.06,96.55,1996-11-01,141.72000000000003
1996,12,72.65,72.58,123.74,96.97,1996-12-01,145.23000000000002
1997,1,83.1,82.4,135.79,103.8,1997-01-01,165.5
1997,2,68.3,67.58,114.68,94.32,1997-02-01,135.88
1997,3,75.6,74.59,119.85,98.96,1997-03-01,150.19
1997,4,77.62,77.07,137.69,99.45,1997-04-01,154.69
1997,5,83.3,82.85,127.94,86.35,1997-05-01,166.14999999999998
1997,6,82.1,81.52,121.0,86.85,1997-06-01,163.62
1997,7,80.5,80.18,123.87,88.99,1997-07-01,160.68
1997,8,81.14,80.58,112.36,88.58,1997-08-01,161.72
1997,9,77.02,76.73,122.86,98.03,1997-09-01,153.75
1997,10,81.04,80.34,136.93,110.34,1997-10-01,161.38
1997,11,69.1,68.49,107.39,95.32,1997-11-01,137.58999999999997
1997,12,71.66,71.15,124.88,110.32,1997-12-01,142.81
1998,1,79.66,78.68,127.92,118.26,1998-01-01,158.34
1998,2,72.64,71.5,113.23,98.29,1998-02-01,144.14
1998,3,76.09,74.6,128.17,102.94,1998-03-01,150.69
1998,4,76.57,75.68,129.75,102.26,1998-04-01,152.25
1998,5,74.94,74.11,113.28,89.58,1998-05-01,149.05
1998,6,84.89,84.43,116.85,89.33,1998-06-01,169.32
1998,7,80.11,79.63,123.39,99.51,1998-07-01,159.74
1998,8,81.19,80.41,120.47,97.29,1998-08-01,161.6
1998,9,79.64,78.94,140.04,105.47,1998-09-01,158.57999999999998
1998,10,80.77,79.92,145.4,118.3,1998-10-01,160.69
1998,11,69.82,69.44,128.86,113.58,1998-11-01,139.26
1998,12,74.14,73.95,133.66,124.43,1998-12-01,148.09
1999,1,78.49,77.55,136.29,107.2,1999-01-01,156.04
1999,2,70.5,69.4,123.99,101.22,1999-02-01,139.9
1999,3,80.82,79.43,154.56,115.78,1999-03-01,160.25
1999,4,80.77,80.02,135.89,109.11,1999-04-01,160.79
1999,5,78.78,78.19,138.53,89.9,1999-05-01,156.97
1999,6,85.21,84.66,144.26,99.31,1999-06-01,169.87
1999,7,81.3,81.02,133.07,93.79,1999-07-01,162.32
1999,8,86.9,86.79,134.51,97.07,1999-08-01,173.69
1999,9,76.47,76.14,135.05,105.54,1999-09-01,152.61
1999,10,82.9,82.08,117.86,108.47,1999-10-01,164.98000000000002
1999,11,74.11,74.46,122.62,106.65,1999-11-01,148.57
1999,12,74.69,75.04,128.68,107.76,1999-12-01,149.73000000000002
2000,1,80.22,79.82,130.88,108.36,2000-01-01,160.04
2000,2,77.57,76.59,126.32,104.55,2000-02-01,154.16
2000,3,83.61,82.93,149.56,112.51,2000-03-01,166.54000000000002
2000,4,75.13,75.05,129.85,91.2,2000-04-01,150.18
2000,5,84.47,84.53,147.24,101.55,2000-05-01,169.0
2000,6,87.51,87.33,137.2,97.01,2000-06-01,174.84
2000,7,79.28,78.87,125.38,90.92,2000-07-01,158.15
2000,8,89.78,89.22,144.21,106.27,2000-08-01,179.0
2000,9,82.06,81.79,127.11,100.0,2000-09-01,163.85000000000002
2000,10,83.86,83.49,126.73,112.23,2000-10-01,167.35
2000,11,78.09,77.71,129.57,110.28,2000-11-01,155.8
2000,12,70.57,70.13,129.95,99.2,2000-12-01,140.7
2001,1,83.3,82.7,124.33,113.01,2001-01-01,166.0
2001,2,66.76,66.88,110.67,93.0,2001-02-01,133.64
2001,3,77.15,77.04,132.22,99.04,2001-03-01,154.19
