Search Term,vegan restaurant near me
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,80
2020-02-01,82
2020-02-08,95
2020-02-15,99
2020-02-22,72
2020-02-29,83
2020-03-07,63
2020-03-14,26
2020-03-21,19
2020-03-28,16
2020-04-04,22
2020-04-11,21
2020-04-18,25
2020-04-25,26
2020-05-02,36
2020-05-09,36
2020-05-16,50
2020-05-23,39
2020-05-30,44
2020-06-06,52
2020-06-13,48
2020-06-20,60
2020-06-27,58
2020-07-04,70
2020-07-11,63
2020-07-18,71
2020-07-25,69
2020-08-01,58
2020-08-08,67
2020-08-15,58
2020-08-22,56
2020-08-29,66
2020-09-05,61
2020-09-12,57
2020-09-19,56
2020-09-26,62
2020-10-03,67
2020-10-10,61
2020-10-17,58
2020-10-24,65
2020-10-31,52
2020-11-07,59
2020-11-14,57
2020-11-21,46
2020-11-28,45
2020-12-05,51
2020-12-12,47
2020-12-19,63
2020-12-26,74
2021-01-02,60
2021-01-09,65
2021-01-16,66
2021-01-23,57
2021-01-30,62
2021-02-06,58
2021-02-13,61
2021-02-20,63
2021-02-27,60
2021-03-06,61
2021-03-13,84
2021-03-20,76
2021-03-27,87
2021-04-03,79
2021-04-10,73
2021-04-17,81
2021-04-24,77
2021-05-01,79
2021-05-08,81
2021-05-15,89
2021-05-22,82
2021-05-29,92
2021-06-05,89
2021-06-12,100
2021-06-19,85
2021-06-26,90
2021-07-03,100
2021-07-10,87
2021-07-17,82
2021-07-24,79
2021-07-31,73
2021-08-07,80
2021-08-14,85
2021-08-21,84
2021-08-28,75
2021-09-04,82
2021-09-11,73
2021-09-18,87
2021-09-25,69
2021-10-02,68
2021-10-09,58
2021-10-16,81
2021-10-23,61
2021-10-30,72
2021-11-06,63
2021-11-13,61
2021-11-20,70
2021-11-27,58
2021-12-04,70
2021-12-11,71
2021-12-18,77
2021-12-25,78
2022-01-01,65
2022-01-08,64
2022-01-15,63
2022-01-22,62
2022-01-29,72
2022-02-05,74
2022-02-12,78
2022-02-19,80
2022-02-26,72
2022-03-05,76
2022-03-12,88
2022-03-19,84
2022-03-26,78
2022-04-02,83
2022-04-09,77
2022-04-16,69
2022-04-23,67
2022-04-30,73
2022-05-07,72
2022-05-14,60
2022-05-21,78
2022-05-28,67
2022-06-04,62
2022-06-11,68
2022-06-18,74
2022-06-25,72
2022-07-02,81
2022-07-09,67
2022-07-16,66
2022-07-23,64
2022-07-30,73
2022-08-06,62
2022-08-13,66
2022-08-20,70
2022-08-27,65
2022-09-03,55
2022-09-10,52
2022-09-17,58
2022-09-24,58
2022-10-01,65
2022-10-08,67
2022-10-15,47
2022-10-22,57
2022-10-29,48
2022-11-05,57
2022-11-12,48
2022-11-19,47
2022-11-26,45
2022-12-03,54
2022-12-10,53
2022-12-17,57
2022-12-24,68
2022-12-31,66
2023-01-07,67
2023-01-14,64
2023-01-21,64
2023-01-28,60
2023-02-04,59
2023-02-11,60
2023-02-18,58
2023-02-25,51
2023-03-04,72
2023-03-11,59
2023-03-18,60
2023-03-25,64
2023-04-01,65
2023-04-08,59
2023-04-15,58
2023-04-22,56
2023-04-29,59
2023-05-06,62
2023-05-13,63
2023-05-20,57
2023-05-27,70
2023-06-03,59
2023-06-10,57
2023-06-17,65
2023-06-24,62
2023-07-01,67
2023-07-08,58
2023-07-15,63
2023-07-22,65
2023-07-29,49
2023-08-05,56
2023-08-12,59
2023-08-19,55
2023-08-26,52
2023-09-02,59
2023-09-09,42
2023-09-16,47
2023-09-23,40
2023-09-30,44
2023-10-07,48
2023-10-14,46
2023-10-21,43
2023-10-28,50
2023-11-04,45
2023-11-11,38
2023-11-18,42
2023-11-25,28
2023-12-02,44
2023-12-09,37
2023-12-16,39
2023-12-23,43
2023-12-30,55
2024-01-06,42
2024-01-13,48
2024-01-20,42
2024-01-27,41
2024-02-03,39
2024-02-10,48
2024-02-17,46
2024-02-24,35
2024-03-02,37
2024-03-09,36
2024-03-16,42
2024-03-23,44
2024-03-30,38
2024-04-06,45
2024-04-13,39
2024-04-20,24
2024-04-27,29
2024-05-04,40
2024-05-11,26
2024-05-18,45
2024-05-25,36
