Search Term,vegan restaurants near me
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,29
2016-12-03,33
2016-12-10,32
2016-12-17,40
2016-12-24,36
2016-12-31,38
2017-01-07,35
2017-01-14,30
2017-01-21,33
2017-01-28,32
2017-02-04,34
2017-02-11,41
2017-02-18,46
2017-02-25,42
2017-03-04,37
2017-03-11,44
2017-03-18,45
2017-03-25,42
2017-04-01,41
2017-04-08,43
2017-04-15,35
2017-04-22,30
2017-04-29,33
2017-05-06,29
2017-05-13,37
2017-05-20,39
2017-05-27,54
2017-06-03,49
2017-06-10,51
2017-06-17,57
2017-06-24,75
2017-07-01,78
2017-07-08,86
2017-07-15,96
2017-07-22,88
2017-07-29,97
2017-08-05,96
2017-08-12,100
2017-08-19,96
2017-08-26,94
2017-09-02,87
2017-09-09,86
2017-09-16,84
2017-09-23,71
2017-09-30,82
2017-10-07,76
2017-10-14,82
2017-10-21,77
2017-10-28,67
2017-11-04,66
2017-11-11,64
2017-11-18,67
2017-11-25,64
2017-12-02,52
2017-12-09,50
2017-12-16,57
2017-12-23,69
2017-12-30,67
2018-01-06,71
2018-01-13,68
2018-01-20,78
2018-01-27,73
2018-02-03,68
2018-02-10,88
2018-02-17,83
2018-02-24,81
2018-03-03,78
2018-03-10,78
2018-03-17,75
2018-03-24,89
2018-03-31,81
2018-04-07,68
2018-04-14,69
2018-04-21,72
2018-04-28,59
2018-05-05,57
2018-05-12,55
2018-05-19,56
2018-05-26,51
2018-06-02,66
2018-06-09,71
2018-06-16,85
2018-06-23,88
2018-06-30,96
2018-07-07,92
2018-07-14,92
2018-07-21,90
2018-07-28,90
2018-08-04,90
2018-08-11,85
2018-08-18,72
2018-08-25,73
2018-09-01,69
2018-09-08,55
2018-09-15,59
2018-09-22,53
2018-09-29,56
2018-10-06,60
2018-10-13,60
2018-10-20,54
2018-10-27,55
2018-11-03,56
2018-11-10,52
2018-11-17,58
2018-11-24,50
2018-12-01,48
2018-12-08,53
2018-12-15,60
2018-12-22,75
2018-12-29,76
2019-01-05,62
2019-01-12,59
2019-01-19,67
2019-01-26,61
2019-02-02,62
2019-02-09,66
2019-02-16,71
2019-02-23,62
2019-03-02,65
2019-03-09,70
2019-03-16,75
2019-03-23,73
2019-03-30,79
2019-04-06,75
2019-04-13,82
2019-04-20,73
2019-04-27,74
2019-05-04,83
2019-05-11,79
2019-05-18,75
2019-05-25,82
2019-06-01,78
2019-06-08,82
2019-06-15,89
2019-06-22,89
2019-06-29,95
2019-07-06,85
2019-07-13,88
2019-07-20,89
2019-07-27,80
2019-08-03,82
2019-08-10,81
2019-08-17,76
2019-08-24,73
2019-08-31,73
2019-09-07,60
2019-09-14,66
2019-09-21,65
2019-09-28,71
2019-10-05,65
2019-10-12,66
2019-10-19,71
2019-10-26,69
2019-11-02,75
2019-11-09,77
2019-11-16,77
2019-11-23,85
2019-11-30,67
2019-12-07,72
2019-12-14,66
2019-12-21,90
2019-12-28,92
2020-01-04,87
2020-01-11,75
2020-01-18,93
2020-01-25,78
2020-02-01,78
2020-02-08,90
2020-02-15,82
2020-02-22,71
