Search Term,plant based diet plan
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,100
2020-02-01,92
2020-02-08,92
2020-02-15,98
2020-02-22,82
2020-02-29,93
2020-03-07,50
2020-03-14,36
2020-03-21,46
2020-03-28,38
2020-04-04,29
2020-04-11,39
2020-04-18,20
2020-04-25,74
2020-05-02,51
2020-05-09,48
2020-05-16,44
2020-05-23,60
2020-05-30,28
2020-06-06,50
2020-06-13,55
2020-06-20,54
2020-06-27,50
2020-07-04,71
2020-07-11,50
2020-07-18,55
2020-07-25,50
2020-08-01,37
2020-08-08,46
2020-08-15,45
2020-08-22,58
2020-08-29,34
2020-09-05,38
2020-09-12,43
2020-09-19,43
2020-09-26,48
2020-10-03,45
2020-10-10,61
2020-10-17,48
2020-10-24,45
2020-10-31,29
2020-11-07,32
2020-11-14,0
2020-11-21,35
2020-11-28,44
2020-12-05,31
2020-12-12,35
2020-12-19,43
2020-12-26,40
2021-01-02,43
2021-01-09,44
2021-01-16,54
2021-01-23,44
2021-01-30,37
2021-02-06,56
2021-02-13,32
2021-02-20,66
2021-02-27,44
2021-03-06,29
2021-03-13,29
2021-03-20,0
2021-03-27,46
2021-04-03,38
2021-04-10,22
2021-04-17,46
2021-04-24,30
2021-05-01,45
2021-05-08,0
2021-05-15,34
2021-05-22,55
2021-05-29,45
2021-06-05,41
2021-06-12,31
2021-06-19,76
2021-06-26,41
2021-07-03,49
2021-07-10,34
2021-07-17,40
2021-07-24,43
2021-07-31,33
2021-08-07,0
2021-08-14,0
2021-08-21,32
2021-08-28,29
2021-09-04,31
2021-09-11,28
2021-09-18,34
2021-09-25,36
2021-10-02,29
2021-10-09,0
2021-10-16,33
2021-10-23,0
2021-10-30,0
2021-11-06,45
2021-11-13,0
2021-11-20,0
2021-11-27,27
2021-12-04,29
2021-12-11,29
2021-12-18,0
2021-12-25,33
2022-01-01,40
2022-01-08,0
2022-01-15,50
2022-01-22,30
2022-01-29,0
2022-02-05,33
2022-02-12,29
2022-02-19,0
2022-02-26,20
2022-03-05,29
2022-03-12,33
2022-03-19,23
2022-03-26,27
2022-04-02,23
2022-04-09,0
2022-04-16,31
2022-04-23,24
2022-04-30,31
2022-05-07,28
2022-05-14,0
2022-05-21,24
2022-05-28,35
2022-06-04,24
2022-06-11,29
2022-06-18,30
2022-06-25,27
2022-07-02,47
2022-07-09,27
2022-07-16,0
2022-07-23,39
2022-07-30,31
2022-08-06,22
2022-08-13,37
2022-08-20,21
2022-08-27,22
2022-09-03,0
2022-09-10,27
2022-09-17,0
2022-09-24,22
2022-10-01,30
2022-10-08,31
2022-10-15,0
2022-10-22,0
2022-10-29,0
2022-11-05,0
2022-11-12,22
2022-11-19,22
2022-11-26,21
2022-12-03,35
2022-12-10,0
2022-12-17,0
2022-12-24,23
2022-12-31,31
2023-01-07,23
2023-01-14,25
2023-01-21,40
2023-01-28,0
2023-02-04,31
2023-02-11,27
2023-02-18,23
2023-02-25,28
2023-03-04,0
2023-03-11,31
2023-03-18,0
2023-03-25,0
2023-04-01,0
2023-04-08,56
2023-04-15,39
2023-04-22,34
2023-04-29,27
2023-05-06,35
2023-05-13,35
2023-05-20,0
2023-05-27,0
2023-06-03,31
2023-06-10,0
2023-06-17,25
2023-06-24,32
2023-07-01,0
2023-07-08,23
2023-07-15,27
2023-07-22,41
2023-07-29,0
2023-08-05,32
2023-08-12,44
2023-08-19,0
2023-08-26,31
2023-09-02,23
2023-09-09,0
2023-09-16,0
2023-09-23,0
2023-09-30,23
2023-10-07,0
2023-10-14,22
2023-10-21,0
2023-10-28,0
2023-11-04,0
2023-11-11,0
2023-11-18,0
2023-11-25,0
2023-12-02,0
2023-12-09,0
2023-12-16,0
2023-12-23,49
2023-12-30,92
2024-01-06,57
2024-01-13,24
2024-01-20,47
2024-01-27,23
2024-02-03,38
2024-02-10,39
2024-02-17,34
2024-02-24,0
2024-03-02,27
2024-03-09,0
2024-03-16,34
2024-03-23,0
2024-03-30,0
2024-04-06,0
2024-04-13,0
2024-04-20,0
2024-04-27,25
2024-05-04,0
2024-05-11,0
2024-05-18,0
2024-05-25,26
