Search Term,vegan restaurants
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,34
2008-12-06,24
2008-12-13,29
2008-12-20,43
2008-12-27,47
2009-01-03,45
2009-01-10,28
2009-01-17,35
2009-01-24,29
2009-01-31,32
2009-02-07,37
2009-02-14,32
2009-02-21,43
2009-02-28,28
2009-03-07,33
2009-03-14,29
2009-03-21,23
2009-03-28,33
2009-04-04,31
2009-04-11,33
2009-04-18,32
2009-04-25,38
2009-05-02,33
2009-05-09,38
2009-05-16,36
2009-05-23,42
2009-05-30,28
2009-06-06,31
2009-06-13,32
2009-06-20,37
2009-06-27,36
2009-07-04,32
2009-07-11,32
2009-07-18,38
2009-07-25,42
2009-08-01,46
2009-08-08,36
2009-08-15,36
2009-08-22,37
2009-08-29,18
2009-09-05,40
2009-09-12,33
2009-09-19,35
2009-09-26,23
2009-10-03,34
2009-10-10,33
2009-10-17,41
2009-10-24,44
2009-10-31,39
2009-11-07,51
2009-11-14,39
2009-11-21,32
2009-11-28,26
2009-12-05,34
2009-12-12,30
2009-12-19,34
2009-12-26,42
2010-01-02,46
2010-01-09,49
2010-01-16,46
2010-01-23,47
2010-01-30,48
2010-02-06,55
2010-02-13,46
2010-02-20,56
2010-02-27,46
2010-03-06,45
2010-03-13,48
2010-03-20,51
2010-03-27,47
2010-04-03,50
2010-04-10,38
2010-04-17,45
2010-04-24,47
2010-05-01,53
2010-05-08,63
2010-05-15,54
2010-05-22,46
2010-05-29,53
2010-06-05,40
2010-06-12,64
2010-06-19,42
2010-06-26,58
2010-07-03,51
2010-07-10,64
2010-07-17,53
2010-07-24,60
2010-07-31,63
2010-08-07,56
2010-08-14,47
2010-08-21,58
2010-08-28,47
2010-09-04,50
2010-09-11,50
2010-09-18,42
2010-09-25,51
2010-10-02,56
2010-10-09,47
2010-10-16,51
2010-10-23,39
2010-10-30,48
2010-11-06,41
2010-11-13,49
2010-11-20,45
2010-11-27,40
2010-12-04,43
2010-12-11,40
2010-12-18,43
2010-12-25,49
2011-01-01,67
2011-01-08,60
2011-01-15,54
2011-01-22,55
2011-01-29,65
2011-02-05,63
2011-02-12,67
2011-02-19,57
2011-02-26,64
2011-03-05,73
2011-03-12,58
2011-03-19,70
2011-03-26,70
2011-04-02,65
2011-04-09,70
2011-04-16,81
2011-04-23,60
2011-04-30,57
2011-05-07,59
2011-05-14,52
2011-05-21,61
2011-05-28,73
2011-06-04,73
2011-06-11,72
2011-06-18,72
2011-06-25,63
2011-07-02,81
2011-07-09,74
2011-07-16,63
2011-07-23,82
2011-07-30,76
2011-08-06,78
2011-08-13,81
2011-08-20,79
2011-08-27,67
2011-09-03,75
2011-09-10,73
2011-09-17,66
2011-09-24,72
2011-10-01,83
2011-10-08,60
2011-10-15,69
2011-10-22,73
2011-10-29,70
2011-11-05,76
2011-11-12,76
2011-11-19,72
2011-11-26,59
2011-12-03,57
2011-12-10,58
2011-12-17,50
2011-12-24,87
2011-12-31,88
2012-01-07,90
2012-01-14,72
2012-01-21,83
2012-01-28,79
2012-02-04,71
2012-02-11,91
2012-02-18,82
2012-02-25,89
2012-03-03,84
2012-03-10,82
2012-03-17,88
2012-03-24,86
2012-03-31,80
2012-04-07,89
2012-04-14,88
2012-04-21,84
2012-04-28,83
2012-05-05,91
2012-05-12,92
2012-05-19,84
2012-05-26,93
2012-06-02,92
2012-06-09,98
2012-06-16,86
2012-06-23,83
2012-06-30,100
2012-07-07,96
2012-07-14,98
2012-07-21,90
2012-07-28,89
2012-08-04,97
2012-08-11,96
2012-08-18,82
2012-08-25,77
2012-09-01,79
2012-09-08,71
2012-09-15,66
2012-09-22,76
2012-09-29,73
2012-10-06,77
2012-10-13,72
2012-10-20,62
2012-10-27,53
2012-11-03,62
2012-11-10,65
2012-11-17,63
2012-11-24,61
2012-12-01,59
2012-12-08,70
2012-12-15,74
2012-12-22,88
2012-12-29,87
