Search Term,vegetarian recipes
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,64
2012-12-01,60
2012-12-08,61
2012-12-15,68
2012-12-22,79
2012-12-29,100
2013-01-05,91
2013-01-12,86
2013-01-19,78
2013-01-26,72
2013-02-02,70
2013-02-09,72
2013-02-16,77
2013-02-23,65
2013-03-02,77
2013-03-09,76
2013-03-16,72
2013-03-23,85
2013-03-30,66
2013-04-06,71
2013-04-13,66
2013-04-20,70
2013-04-27,65
2013-05-04,61
2013-05-11,61
2013-05-18,60
2013-05-25,61
2013-06-01,61
2013-06-08,63
2013-06-15,64
2013-06-22,62
2013-06-29,64
2013-07-06,61
2013-07-13,65
2013-07-20,62
2013-07-27,67
2013-08-03,66
2013-08-10,64
2013-08-17,63
2013-08-24,63
2013-08-31,64
2013-09-07,65
2013-09-14,65
2013-09-21,65
2013-09-28,65
2013-10-05,66
2013-10-12,66
2013-10-19,65
2013-10-26,66
2013-11-02,67
2013-11-09,69
2013-11-16,75
2013-11-23,70
2013-11-30,58
2013-12-07,64
2013-12-14,66
2013-12-21,72
2013-12-28,93
2014-01-04,91
2014-01-11,83
2014-01-18,79
2014-01-25,79
2014-02-01,73
2014-02-08,68
2014-02-15,63
2014-02-22,68
2014-03-01,75
2014-03-08,66
2014-03-15,64
2014-03-22,63
2014-03-29,64
2014-04-05,61
2014-04-12,67
2014-04-19,54
2014-04-26,57
2014-05-03,56
2014-05-10,57
2014-05-17,51
2014-05-24,54
2014-05-31,52
2014-06-07,53
2014-06-14,51
2014-06-21,57
2014-06-28,56
2014-07-05,57
2014-07-12,58
2014-07-19,56
2014-07-26,58
2014-08-02,56
2014-08-09,58
2014-08-16,61
2014-08-23,62
2014-08-30,62
2014-09-06,58
2014-09-13,57
2014-09-20,64
2014-09-27,59
2014-10-04,61
2014-10-11,60
2014-10-18,61
2014-10-25,58
2014-11-01,63
2014-11-08,66
2014-11-15,65
2014-11-22,66
2014-11-29,56
2014-12-06,56
2014-12-13,56
2014-12-20,65
2014-12-27,77
2015-01-03,77
2015-01-10,72
2015-01-17,65
2015-01-24,67
2015-01-31,61
2015-02-07,58
2015-02-14,64
2015-02-21,57
2015-02-28,57
2015-03-07,51
2015-03-14,51
2015-03-21,50
2015-03-28,58
2015-04-04,46
2015-04-11,45
2015-04-18,46
2015-04-25,44
2015-05-02,42
2015-05-09,43
2015-05-16,43
2015-05-23,43
2015-05-30,46
2015-06-06,44
2015-06-13,44
2015-06-20,46
2015-06-27,45
2015-07-04,48
2015-07-11,48
2015-07-18,45
2015-07-25,46
2015-08-01,44
2015-08-08,48
2015-08-15,43
2015-08-22,46
2015-08-29,46
2015-09-05,45
2015-09-12,41
2015-09-19,44
2015-09-26,45
2015-10-03,49
2015-10-10,48
2015-10-17,48
2015-10-24,59
2015-10-31,58
2015-11-07,61
2015-11-14,63
2015-11-21,62
2015-11-28,46
2015-12-05,46
2015-12-12,48
2015-12-19,57
2015-12-26,69
2016-01-02,72
2016-01-09,55
2016-01-16,57
2016-01-23,48
2016-01-30,54
2016-02-06,51
2016-02-13,47
2016-02-20,50
2016-02-27,48
2016-03-05,50
2016-03-12,49
2016-03-19,55
2016-03-26,46
2016-04-02,49
2016-04-09,48
2016-04-16,46
2016-04-23,46
2016-04-30,46
2016-05-07,42
2016-05-14,48
2016-05-21,44
2016-05-28,43
2016-06-04,43
2016-06-11,40
2016-06-18,42
2016-06-25,41
2016-07-02,44
2016-07-09,42
2016-07-16,41
2016-07-23,40
2016-07-30,42
2016-08-06,39
2016-08-13,40
2016-08-20,39
2016-08-27,40
2016-09-03,39
2016-09-10,42
2016-09-17,40
2016-09-24,42
2016-10-01,45
2016-10-08,41
2016-10-15,43
2016-10-22,42
2016-10-29,44
2016-11-05,44
2016-11-12,48
2016-11-19,49
2016-11-26,43
2016-12-03,46
2016-12-10,43
2016-12-17,52
2016-12-24,48
2016-12-31,70
