Search Term,vegetarian restaurants
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,50
2012-12-01,57
2012-12-08,57
2012-12-15,58
2012-12-22,81
2012-12-29,80
2013-01-05,70
2013-01-12,77
2013-01-19,72
2013-01-26,67
2013-02-02,68
2013-02-09,84
2013-02-16,87
2013-02-23,76
2013-03-02,76
2013-03-09,84
2013-03-16,78
2013-03-23,86
2013-03-30,82
2013-04-06,76
2013-04-13,72
2013-04-20,74
2013-04-27,81
2013-05-04,80
2013-05-11,78
2013-05-18,74
2013-05-25,83
2013-06-01,76
2013-06-08,85
2013-06-15,82
2013-06-22,83
2013-06-29,96
2013-07-06,86
2013-07-13,90
2013-07-20,88
2013-07-27,81
2013-08-03,91
2013-08-10,94
2013-08-17,90
2013-08-24,73
2013-08-31,73
2013-09-07,76
2013-09-14,71
2013-09-21,69
2013-09-28,71
2013-10-05,69
2013-10-12,66
2013-10-19,62
2013-10-26,65
2013-11-02,69
2013-11-09,68
2013-11-16,62
2013-11-23,58
2013-11-30,53
2013-12-07,65
2013-12-14,70
2013-12-21,81
2013-12-28,77
2014-01-04,70
2014-01-11,73
2014-01-18,76
2014-01-25,69
2014-02-01,67
2014-02-08,81
2014-02-15,63
2014-02-22,68
2014-03-01,79
2014-03-08,82
2014-03-15,81
2014-03-22,83
2014-03-29,73
2014-04-05,81
2014-04-12,74
2014-04-19,74
2014-04-26,66
2014-05-03,79
2014-05-10,73
2014-05-17,80
2014-05-24,76
2014-05-31,71
2014-06-07,74
2014-06-14,82
2014-06-21,79
2014-06-28,90
2014-07-05,86
2014-07-12,83
2014-07-19,74
2014-07-26,87
2014-08-02,92
2014-08-09,87
2014-08-16,79
2014-08-23,80
2014-08-30,68
2014-09-06,69
2014-09-13,64
2014-09-20,65
2014-09-27,62
2014-10-04,76
2014-10-11,66
2014-10-18,60
2014-10-25,58
2014-11-01,65
2014-11-08,67
2014-11-15,56
2014-11-22,51
2014-11-29,49
2014-12-06,57
2014-12-13,59
2014-12-20,77
2014-12-27,82
2015-01-03,66
2015-01-10,73
2015-01-17,74
2015-01-24,67
2015-01-31,63
2015-02-07,76
2015-02-14,65
2015-02-21,68
2015-02-28,64
2015-03-07,70
2015-03-14,65
2015-03-21,71
2015-03-28,67
2015-04-04,69
2015-04-11,73
2015-04-18,68
2015-04-25,65
2015-05-02,72
2015-05-09,72
2015-05-16,82
2015-05-23,77
2015-05-30,72
2015-06-06,78
2015-06-13,83
2015-06-20,90
2015-06-27,84
2015-07-04,90
2015-07-11,90
2015-07-18,84
2015-07-25,87
2015-08-01,94
2015-08-08,86
2015-08-15,84
2015-08-22,71
2015-08-29,67
2015-09-05,69
2015-09-12,67
2015-09-19,77
2015-09-26,78
2015-10-03,72
2015-10-10,83
2015-10-17,68
2015-10-24,59
2015-10-31,70
2015-11-07,71
2015-11-14,63
2015-11-21,58
2015-11-28,60
2015-12-05,58
2015-12-12,65
2015-12-19,83
2015-12-26,96
2016-01-02,85
2016-01-09,80
2016-01-16,76
2016-01-23,78
2016-01-30,75
2016-02-06,86
2016-02-13,88
2016-02-20,74
2016-02-27,80
2016-03-05,79
2016-03-12,83
2016-03-19,97
2016-03-26,82
2016-04-02,88
2016-04-09,87
2016-04-16,84
2016-04-23,85
2016-04-30,99
2016-05-07,90
2016-05-14,96
2016-05-21,84
2016-05-28,92
2016-06-04,88
2016-06-11,93
2016-06-18,92
2016-06-25,99
2016-07-02,98
2016-07-09,92
2016-07-16,96
2016-07-23,100
2016-07-30,100
2016-08-06,91
2016-08-13,85
2016-08-20,93
2016-08-27,81
2016-09-03,81
2016-09-10,84
2016-09-17,74
2016-09-24,73
2016-10-01,79
2016-10-08,77
2016-10-15,85
2016-10-22,73
2016-10-29,77
2016-11-05,73
2016-11-12,74
2016-11-19,70
2016-11-26,65
2016-12-03,67
2016-12-10,72
2016-12-17,77
2016-12-24,92
2016-12-31,90
