Search Term,plant based restaurant
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,59
2020-02-01,68
2020-02-08,100
2020-02-15,67
2020-02-22,52
2020-02-29,75
2020-03-07,36
2020-03-14,30
2020-03-21,0
2020-03-28,0
2020-04-04,0
2020-04-11,0
2020-04-18,0
2020-04-25,0
2020-05-02,0
2020-05-09,0
2020-05-16,0
2020-05-23,0
2020-05-30,30
2020-06-06,39
2020-06-13,31
2020-06-20,0
2020-06-27,40
2020-07-04,49
2020-07-11,62
2020-07-18,54
2020-07-25,0
2020-08-01,43
2020-08-08,0
2020-08-15,32
2020-08-22,27
2020-08-29,39
2020-09-05,37
2020-09-12,38
2020-09-19,41
2020-09-26,39
2020-10-03,30
2020-10-10,0
2020-10-17,46
2020-10-24,0
2020-10-31,0
2020-11-07,0
2020-11-14,0
2020-11-21,0
2020-11-28,34
2020-12-05,31
2020-12-12,30
2020-12-19,0
2020-12-26,0
2021-01-02,42
2021-01-09,34
2021-01-16,0
2021-01-23,43
2021-01-30,0
2021-02-06,51
2021-02-13,30
2021-02-20,46
2021-02-27,41
2021-03-06,37
2021-03-13,31
2021-03-20,30
2021-03-27,56
2021-04-03,35
2021-04-10,30
2021-04-17,49
2021-04-24,39
2021-05-01,49
2021-05-08,41
2021-05-15,51
2021-05-22,47
2021-05-29,52
2021-06-05,34
2021-06-12,54
2021-06-19,56
2021-06-26,49
2021-07-03,45
2021-07-10,40
2021-07-17,0
2021-07-24,47
2021-07-31,41
2021-08-07,60
2021-08-14,32
2021-08-21,32
2021-08-28,36
2021-09-04,0
2021-09-11,54
2021-09-18,47
2021-09-25,68
2021-10-02,46
2021-10-09,37
2021-10-16,39
2021-10-23,36
2021-10-30,35
2021-11-06,39
2021-11-13,35
2021-11-20,56
2021-11-27,37
2021-12-04,42
2021-12-11,0
2021-12-18,34
2021-12-25,38
2022-01-01,46
2022-01-08,56
2022-01-15,54
2022-01-22,53
2022-01-29,49
2022-02-05,46
2022-02-12,51
2022-02-19,50
2022-02-26,49
2022-03-05,53
2022-03-12,46
2022-03-19,88
2022-03-26,66
2022-04-02,50
2022-04-09,65
2022-04-16,52
2022-04-23,77
2022-04-30,71
2022-05-07,46
2022-05-14,51
2022-05-21,81
2022-05-28,40
2022-06-04,43
2022-06-11,85
2022-06-18,61
2022-06-25,54
2022-07-02,0
2022-07-09,51
2022-07-16,65
2022-07-23,36
2022-07-30,52
2022-08-06,52
2022-08-13,40
2022-08-20,62
2022-08-27,88
2022-09-03,52
2022-09-10,63
2022-09-17,37
2022-09-24,45
2022-10-01,41
2022-10-08,49
2022-10-15,45
2022-10-22,41
2022-10-29,33
2022-11-05,33
2022-11-12,50
2022-11-19,37
2022-11-26,35
2022-12-03,48
2022-12-10,0
2022-12-17,0
2022-12-24,30
2022-12-31,53
2023-01-07,41
2023-01-14,59
2023-01-21,47
2023-01-28,72
2023-02-04,57
2023-02-11,58
2023-02-18,55
2023-02-25,38
2023-03-04,65
2023-03-11,53
2023-03-18,46
2023-03-25,47
2023-04-01,52
2023-04-08,52
2023-04-15,50
2023-04-22,0
2023-04-29,60
2023-05-06,47
2023-05-13,30
2023-05-20,63
2023-05-27,35
2023-06-03,60
2023-06-10,49
2023-06-17,50
2023-06-24,44
2023-07-01,66
2023-07-08,48
2023-07-15,62
2023-07-22,70
2023-07-29,0
2023-08-05,52
2023-08-12,43
2023-08-19,54
2023-08-26,0
2023-09-02,0
2023-09-09,41
2023-09-16,44
2023-09-23,43
2023-09-30,52
2023-10-07,31
2023-10-14,56
2023-10-21,41
2023-10-28,0
2023-11-04,49
2023-11-11,57
2023-11-18,42
2023-11-25,46
2023-12-02,37
2023-12-09,0
2023-12-16,0
2023-12-23,55
2023-12-30,66
2024-01-06,94
2024-01-13,60
2024-01-20,46
2024-01-27,37
2024-02-03,53
2024-02-10,57
2024-02-17,48
2024-02-24,32
2024-03-02,48
2024-03-09,39
2024-03-16,42
2024-03-23,0
2024-03-30,61
2024-04-06,0
2024-04-13,56
2024-04-20,42
2024-04-27,36
2024-05-04,39
2024-05-11,34
2024-05-18,40
2024-05-25,0
