Search Term,vegetarian restaurant
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,50
2008-12-06,58
2008-12-13,51
2008-12-20,56
2008-12-27,100
2009-01-03,59
2009-01-10,46
2009-01-17,64
2009-01-24,58
2009-01-31,50
2009-02-07,94
2009-02-14,48
2009-02-21,46
2009-02-28,64
2009-03-07,78
2009-03-14,67
2009-03-21,74
2009-03-28,52
2009-04-04,58
2009-04-11,72
2009-04-18,50
2009-04-25,59
2009-05-02,71
2009-05-09,78
2009-05-16,76
2009-05-23,63
2009-05-30,48
2009-06-06,54
2009-06-13,62
2009-06-20,72
2009-06-27,74
2009-07-04,68
2009-07-11,78
2009-07-18,83
2009-07-25,74
2009-08-01,73
2009-08-08,74
2009-08-15,52
2009-08-22,63
2009-08-29,53
2009-09-05,62
2009-09-12,53
2009-09-19,67
2009-09-26,56
2009-10-03,60
2009-10-10,59
2009-10-17,62
2009-10-24,68
2009-10-31,49
2009-11-07,51
2009-11-14,70
2009-11-21,66
2009-11-28,36
2009-12-05,47
2009-12-12,51
2009-12-19,64
2009-12-26,66
2010-01-02,75
2010-01-09,65
2010-01-16,59
2010-01-23,52
2010-01-30,53
2010-02-06,72
2010-02-13,79
2010-02-20,61
2010-02-27,59
2010-03-06,47
2010-03-13,64
2010-03-20,64
2010-03-27,50
2010-04-03,64
2010-04-10,58
2010-04-17,52
2010-04-24,64
2010-05-01,64
2010-05-08,63
2010-05-15,71
2010-05-22,66
2010-05-29,66
2010-06-05,70
2010-06-12,58
2010-06-19,59
2010-06-26,66
2010-07-03,72
2010-07-10,70
2010-07-17,65
2010-07-24,74
2010-07-31,77
2010-08-07,68
2010-08-14,66
2010-08-21,77
2010-08-28,56
2010-09-04,60
2010-09-11,63
2010-09-18,58
2010-09-25,62
2010-10-02,51
2010-10-09,59
2010-10-16,59
2010-10-23,53
2010-10-30,57
2010-11-06,44
2010-11-13,54
2010-11-20,48
2010-11-27,46
2010-12-04,43
2010-12-11,42
2010-12-18,52
2010-12-25,74
2011-01-01,55
2011-01-08,55
2011-01-15,64
2011-01-22,62
2011-01-29,64
2011-02-05,69
2011-02-12,68
2011-02-19,55
2011-02-26,71
2011-03-05,69
2011-03-12,61
2011-03-19,67
2011-03-26,67
2011-04-02,64
2011-04-09,77
2011-04-16,71
2011-04-23,64
2011-04-30,59
2011-05-07,73
2011-05-14,68
2011-05-21,74
2011-05-28,64
2011-06-04,62
2011-06-11,78
2011-06-18,55
2011-06-25,73
2011-07-02,72
2011-07-09,63
2011-07-16,65
2011-07-23,64
2011-07-30,74
2011-08-06,75
2011-08-13,83
2011-08-20,65
2011-08-27,64
2011-09-03,63
2011-09-10,58
2011-09-17,62
2011-09-24,62
2011-10-01,57
2011-10-08,64
2011-10-15,56
2011-10-22,55
2011-10-29,59
2011-11-05,59
2011-11-12,48
2011-11-19,57
2011-11-26,49
2011-12-03,45
2011-12-10,54
2011-12-17,64
2011-12-24,75
2011-12-31,61
2012-01-07,65
2012-01-14,55
2012-01-21,65
2012-01-28,58
2012-02-04,63
2012-02-11,64
2012-02-18,60
2012-02-25,52
2012-03-03,65
2012-03-10,55
2012-03-17,51
2012-03-24,60
2012-03-31,57
2012-04-07,61
2012-04-14,62
2012-04-21,60
2012-04-28,57
2012-05-05,57
2012-05-12,69
2012-05-19,67
2012-05-26,64
2012-06-02,64
2012-06-09,64
2012-06-16,66
2012-06-23,63
2012-06-30,69
2012-07-07,75
2012-07-14,66
2012-07-21,61
2012-07-28,69
2012-08-04,57
2012-08-11,61
2012-08-18,63
2012-08-25,73
2012-09-01,60
2012-09-08,62
2012-09-15,52
2012-09-22,52
2012-09-29,60
2012-10-06,52
2012-10-13,53
2012-10-20,55
2012-10-27,45
2012-11-03,46
2012-11-10,55
2012-11-17,55
2012-11-24,48
2012-12-01,52
2012-12-08,44
2012-12-15,41
2012-12-22,64
2012-12-29,61
