Search Term,vegetarian restaurant
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,54
2016-12-03,54
2016-12-10,56
2016-12-17,60
2016-12-24,75
2016-12-31,61
2017-01-07,58
2017-01-14,58
2017-01-21,66
2017-01-28,58
2017-02-04,61
2017-02-11,66
2017-02-18,65
2017-02-25,64
2017-03-04,64
2017-03-11,65
2017-03-18,63
2017-03-25,68
2017-04-01,65
2017-04-08,70
2017-04-15,63
2017-04-22,76
2017-04-29,59
2017-05-06,75
2017-05-13,68
2017-05-20,66
2017-05-27,65
2017-06-03,71
2017-06-10,63
2017-06-17,69
2017-06-24,82
2017-07-01,90
2017-07-08,82
2017-07-15,89
2017-07-22,87
2017-07-29,87
2017-08-05,100
2017-08-12,92
2017-08-19,83
2017-08-26,72
2017-09-02,78
2017-09-09,66
2017-09-16,70
2017-09-23,75
2017-09-30,72
2017-10-07,76
2017-10-14,66
2017-10-21,62
2017-10-28,64
2017-11-04,76
2017-11-11,68
2017-11-18,64
2017-11-25,56
2017-12-02,62
2017-12-09,62
2017-12-16,77
2017-12-23,87
2017-12-30,82
2018-01-06,70
2018-01-13,79
2018-01-20,71
2018-01-27,73
2018-02-03,68
2018-02-10,77
2018-02-17,75
2018-02-24,66
2018-03-03,72
2018-03-10,78
2018-03-17,67
2018-03-24,76
2018-03-31,82
2018-04-07,65
2018-04-14,70
2018-04-21,72
2018-04-28,68
2018-05-05,72
2018-05-12,66
2018-05-19,65
2018-05-26,77
2018-06-02,81
2018-06-09,77
2018-06-16,79
2018-06-23,84
2018-06-30,73
2018-07-07,78
2018-07-14,73
2018-07-21,76
2018-07-28,74
2018-08-04,74
2018-08-11,79
2018-08-18,69
2018-08-25,64
2018-09-01,71
2018-09-08,51
2018-09-15,60
2018-09-22,58
2018-09-29,60
2018-10-06,61
2018-10-13,66
2018-10-20,61
2018-10-27,63
2018-11-03,62
2018-11-10,58
2018-11-17,56
2018-11-24,52
2018-12-01,53
2018-12-08,58
2018-12-15,62
2018-12-22,82
2018-12-29,70
2019-01-05,65
2019-01-12,64
2019-01-19,62
2019-01-26,59
2019-02-02,64
2019-02-09,65
2019-02-16,61
2019-02-23,54
2019-03-02,61
2019-03-09,62
2019-03-16,66
2019-03-23,72
2019-03-30,68
2019-04-06,70
2019-04-13,72
2019-04-20,68
2019-04-27,59
2019-05-04,69
2019-05-11,65
2019-05-18,75
2019-05-25,74
2019-06-01,66
2019-06-08,68
2019-06-15,71
2019-06-22,72
2019-06-29,82
2019-07-06,64
2019-07-13,72
2019-07-20,72
2019-07-27,75
2019-08-03,77
2019-08-10,65
2019-08-17,64
2019-08-24,66
2019-08-31,68
2019-09-07,57
2019-09-14,67
2019-09-21,64
2019-09-28,57
2019-10-05,59
2019-10-12,62
2019-10-19,62
2019-10-26,60
2019-11-02,59
2019-11-09,58
2019-11-16,54
2019-11-23,59
2019-11-30,49
2019-12-07,50
2019-12-14,55
2019-12-21,81
2019-12-28,67
2020-01-04,47
2020-01-11,56
2020-01-18,68
2020-01-25,55
2020-02-01,55
2020-02-08,74
2020-02-15,66
2020-02-22,56
