,Search Term,plant based near me
0,2016-11-26,0.0
1,2016-12-03,0.0
2,2016-12-10,0.0
3,2016-12-17,0.0
4,2016-12-24,0.0
5,2016-12-31,0.0
6,2017-01-07,0.0
7,2017-01-14,0.0
8,2017-01-21,0.0
9,2017-01-28,0.0
10,2017-02-04,0.0
11,2017-02-11,0.0
12,2017-02-18,12.85254691689008
13,2017-02-25,0.0
14,2017-03-04,0.0
15,2017-03-11,0.0
16,2017-03-18,0.0
17,2017-03-25,0.0
18,2017-04-01,12.096514745308312
19,2017-04-08,0.0
20,2017-04-15,12.096514745308312
21,2017-04-22,0.0
22,2017-04-29,0.0
23,2017-05-06,0.0
24,2017-05-13,0.0
25,2017-05-20,0.0
26,2017-05-27,0.0
27,2017-06-03,0.0
28,2017-06-10,0.0
29,2017-06-17,0.0
30,2017-06-24,0.0
31,2017-07-01,0.0
32,2017-07-08,19.656836461126005
33,2017-07-15,0.0
34,2017-07-22,26.461126005361933
35,2017-07-29,19.656836461126005
36,2017-08-05,16.63270777479893
37,2017-08-12,25.70509383378016
38,2017-08-19,18.900804289544237
39,2017-08-26,0.0
40,2017-09-02,16.63270777479893
41,2017-09-09,0.0
42,2017-09-16,15.876675603217159
43,2017-09-23,0.0
44,2017-09-30,13.608579088471851
45,2017-10-07,12.096514745308312
46,2017-10-14,12.096514745308312
47,2017-10-21,0.0
48,2017-10-28,0.0
49,2017-11-04,0.0
50,2017-11-11,0.0
51,2017-11-18,0.0
52,2017-11-25,0.0
53,2017-12-02,0.0
54,2017-12-09,0.0
55,2017-12-16,0.0
56,2017-12-23,0.0
57,2017-12-30,0.0
58,2018-01-06,12.85254691689008
59,2018-01-13,11.340482573726543
60,2018-01-20,10.584450402144773
61,2018-01-27,15.120643431635388
62,2018-02-03,10.584450402144773
63,2018-02-10,12.85254691689008
64,2018-02-17,12.096514745308312
65,2018-02-24,0.0
66,2018-03-03,12.85254691689008
67,2018-03-10,13.608579088471851
68,2018-03-17,13.608579088471851
69,2018-03-24,20.412868632707777
70,2018-03-31,15.120643431635388
71,2018-04-07,12.096514745308312
72,2018-04-14,0.0
73,2018-04-21,0.0
74,2018-04-28,0.0
75,2018-05-05,12.85254691689008
76,2018-05-12,14.364611260053623
77,2018-05-19,15.876675603217159
78,2018-05-26,12.096514745308312
79,2018-06-02,14.364611260053623
80,2018-06-09,12.096514745308312
81,2018-06-16,11.340482573726543
82,2018-06-23,15.876675603217159
83,2018-06-30,0.0
84,2018-07-07,12.85254691689008
85,2018-07-14,0.0
86,2018-07-21,15.120643431635388
87,2018-07-28,12.85254691689008
88,2018-08-04,15.120643431635388
89,2018-08-11,0.0
90,2018-08-18,16.63270777479893
91,2018-08-25,18.900804289544237
92,2018-09-01,17.3887399463807
93,2018-09-08,11.340482573726543
94,2018-09-15,12.85254691689008
95,2018-09-22,11.340482573726543
96,2018-09-29,15.120643431635388
97,2018-10-06,14.364611260053623
98,2018-10-13,17.3887399463807
99,2018-10-20,18.144772117962468
100,2018-10-27,14.364611260053623
101,2018-11-03,13.608579088471851
102,2018-11-10,12.096514745308312
103,2018-11-17,15.120643431635388
104,2018-11-24,15.876675603217159
105,2018-12-01,12.096514745308312
106,2018-12-08,0.0
107,2018-12-15,12.096514745308312
108,2018-12-22,12.85254691689008
109,2018-12-29,13.608579088471851
110,2019-01-05,17.3887399463807
111,2019-01-12,15.120643431635388
112,2019-01-19,23.436997319034855
113,2019-01-26,21.168900804289546
114,2019-02-02,16.63270777479893
115,2019-02-09,25.70509383378016
116,2019-02-16,16.63270777479893
117,2019-02-23,18.900804289544237
118,2019-03-02,15.876675603217159
119,2019-03-09,18.900804289544237
120,2019-03-16,19.656836461126005
121,2019-03-23,25.70509383378016
122,2019-03-30,21.924932975871315
123,2019-04-06,15.876675603217159
124,2019-04-13,26.461126005361933
125,2019-04-20,24.949061662198392
126,2019-04-27,19.656836461126005
127,2019-05-04,15.876675603217159
128,2019-05-11,25.70509383378016
129,2019-05-18,20.412868632707777
130,2019-05-25,29.48525469168901
131,2019-06-01,26.461126005361933
132,2019-06-08,30.241286863270776
133,2019-06-15,23.436997319034855
134,2019-06-22,32.50938337801609
135,2019-06-29,24.949061662198392
136,2019-07-06,30.99731903485255
137,2019-07-13,30.241286863270776
138,2019-07-20,43.093833780160864
139,2019-07-27,38.557640750670245
140,2019-08-03,46.87399463806971
141,2019-08-10,24.193029490616624
142,2019-08-17,35.533512064343164
143,2019-08-24,37.80160857908847
144,2019-08-31,22.680965147453087
145,2019-09-07,25.70509383378016
146,2019-09-14,27.973190348525474
147,2019-09-21,33.26541554959786
148,2019-09-28,30.241286863270776
149,2019-10-05,37.04557640750671
150,2019-10-12,34.7774798927614
151,2019-10-19,55.190348525469176
152,2019-10-26,70.31099195710456
153,2019-11-02,74.09115281501342
154,2019-11-09,59.72654155495979
155,2019-11-16,68.79892761394102
156,2019-11-23,58.21447721179624
157,2019-11-30,49.14209115281502
158,2019-12-07,43.093833780160864
159,2019-12-14,32.50938337801609
160,2019-12-21,53.67828418230564
161,2019-12-28,75.60321715817695
162,2020-01-04,65.01876675603218
163,2020-01-11,66.53083109919572
164,2020-01-18,71.06702412868633
165,2020-01-25,60.0
166,2020-02-01,53.0
167,2020-02-08,56.00000000000001
168,2020-02-15,63.0
169,2020-02-22,50.0
170,2020-02-29,46.0
