Search Term,vegetarian diet plan
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,0
2008-12-06,0
2008-12-13,0
2008-12-20,0
2008-12-27,0
2009-01-03,0
2009-01-10,0
2009-01-17,0
2009-01-24,0
2009-01-31,0
2009-02-07,0
2009-02-14,0
2009-02-21,0
2009-02-28,0
2009-03-07,0
2009-03-14,0
2009-03-21,0
2009-03-28,0
2009-04-04,0
2009-04-11,0
2009-04-18,0
2009-04-25,0
2009-05-02,0
2009-05-09,64
2009-05-16,0
2009-05-23,0
2009-05-30,0
2009-06-06,0
2009-06-13,0
2009-06-20,0
2009-06-27,0
2009-07-04,0
2009-07-11,65
2009-07-18,0
2009-07-25,0
2009-08-01,0
2009-08-08,0
2009-08-15,0
2009-08-22,0
2009-08-29,0
2009-09-05,0
2009-09-12,0
2009-09-19,65
2009-09-26,0
2009-10-03,0
2009-10-10,0
2009-10-17,0
2009-10-24,0
2009-10-31,0
2009-11-07,0
2009-11-14,68
2009-11-21,0
2009-11-28,0
2009-12-05,0
2009-12-12,0
2009-12-19,0
2009-12-26,0
2010-01-02,57
2010-01-09,69
2010-01-16,0
2010-01-23,0
2010-01-30,0
2010-02-06,66
2010-02-13,0
2010-02-20,0
2010-02-27,54
2010-03-06,86
2010-03-13,0
2010-03-20,0
2010-03-27,80
2010-04-03,63
2010-04-10,62
2010-04-17,55
2010-04-24,69
2010-05-01,0
2010-05-08,0
2010-05-15,0
2010-05-22,0
2010-05-29,0
2010-06-05,0
2010-06-12,0
2010-06-19,76
2010-06-26,0
2010-07-03,0
2010-07-10,0
2010-07-17,51
2010-07-24,0
2010-07-31,0
2010-08-07,0
2010-08-14,55
2010-08-21,50
2010-08-28,0
2010-09-04,0
2010-09-11,0
2010-09-18,45
2010-09-25,62
2010-10-02,46
2010-10-09,0
2010-10-16,0
2010-10-23,0
2010-10-30,49
2010-11-06,50
2010-11-13,0
2010-11-20,48
2010-11-27,44
2010-12-04,45
2010-12-11,43
2010-12-18,0
2010-12-25,71
2011-01-01,100
2011-01-08,48
2011-01-15,79
2011-01-22,43
2011-01-29,62
2011-02-05,65
2011-02-12,56
2011-02-19,93
2011-02-26,41
2011-03-05,69
2011-03-12,38
2011-03-19,40
2011-03-26,51
2011-04-02,42
2011-04-09,57
2011-04-16,43
2011-04-23,0
2011-04-30,68
2011-05-07,47
2011-05-14,46
2011-05-21,47
2011-05-28,64
2011-06-04,50
2011-06-11,60
2011-06-18,58
2011-06-25,62
2011-07-02,50
2011-07-09,54
2011-07-16,0
2011-07-23,35
2011-07-30,64
2011-08-06,42
2011-08-13,48
2011-08-20,87
2011-08-27,56
2011-09-03,69
2011-09-10,42
2011-09-17,71
2011-09-24,75
2011-10-01,0
2011-10-08,48
2011-10-15,0
2011-10-22,50
2011-10-29,37
2011-11-05,64
2011-11-12,56
2011-11-19,39
2011-11-26,55
2011-12-03,0
2011-12-10,31
2011-12-17,37
2011-12-24,86
2011-12-31,87
2012-01-07,71
2012-01-14,63
2012-01-21,53
2012-01-28,65
2012-02-04,66
2012-02-11,56
2012-02-18,34
2012-02-25,63
2012-03-03,35
2012-03-10,76
2012-03-17,38
2012-03-24,60
2012-03-31,66
2012-04-07,56
2012-04-14,77
2012-04-21,60
2012-04-28,50
2012-05-05,61
2012-05-12,68
2012-05-19,50
2012-05-26,78
2012-06-02,76
2012-06-09,60
2012-06-16,53
2012-06-23,62
2012-06-30,92
2012-07-07,52
2012-07-14,62
2012-07-21,67
2012-07-28,65
2012-08-04,63
2012-08-11,58
2012-08-18,52
2012-08-25,62
2012-09-01,69
2012-09-08,49
2012-09-15,46
2012-09-22,64
2012-09-29,56
2012-10-06,58
2012-10-13,56
2012-10-20,41
2012-10-27,34
2012-11-03,49
2012-11-10,41
2012-11-17,44
2012-11-24,39
2012-12-01,50
2012-12-08,60
2012-12-15,50
2012-12-22,54
2012-12-29,66
