,Search Term,vegan recipes
0,2003-12-27,0.0
1,2004-01-03,17.474625660476594
2,2004-01-10,0.0
3,2004-01-17,20.442014923576394
4,2004-01-24,12.858686806765796
5,2004-01-31,13.518106643010194
6,2004-02-07,15.826076069865595
7,2004-02-14,16.485495906109993
8,2004-02-21,12.858686806765796
9,2004-02-28,0.0
10,2004-03-06,0.0
11,2004-03-13,13.188396724887996
12,2004-03-20,21.431144677942992
13,2004-03-27,15.166656233621195
14,2004-04-03,19.452885169209793
15,2004-04-10,15.496366151743397
16,2004-04-17,8.902167789299398
17,2004-04-24,9.561587625543796
18,2004-05-01,11.869557052399196
19,2004-05-08,15.826076069865595
20,2004-05-15,13.518106643010194
21,2004-05-22,9.561587625543796
22,2004-05-29,19.12317525108759
23,2004-06-05,11.210137216154795
24,2004-06-12,12.199266970521396
25,2004-06-19,10.880427298032595
26,2004-06-26,12.199266970521396
27,2004-07-03,12.858686806765796
28,2004-07-10,11.869557052399196
29,2004-07-17,10.550717379910395
30,2004-07-24,12.858686806765796
31,2004-07-31,14.507236397376797
32,2004-08-07,8.572457871177196
33,2004-08-14,22.42027443230959
34,2004-08-21,0.0
35,2004-08-28,12.528976888643598
36,2004-09-04,12.858686806765796
37,2004-09-11,12.199266970521396
38,2004-09-18,8.242747953054996
39,2004-09-25,14.836946315498995
40,2004-10-02,14.836946315498995
41,2004-10-09,12.858686806765796
42,2004-10-16,11.210137216154795
43,2004-10-23,11.539847134276997
44,2004-10-30,11.869557052399196
45,2004-11-06,20.771724841698592
46,2004-11-13,16.155785987987795
47,2004-11-20,32.970991812219985
48,2004-11-27,14.507236397376797
49,2004-12-04,12.199266970521396
50,2004-12-11,18.463755414843195
51,2004-12-18,26.706503367898193
52,2004-12-25,16.485495906109993
53,2005-01-01,10.880427298032595
54,2005-01-08,13.847816561132396
55,2005-01-15,15.496366151743397
56,2005-01-22,11.539847134276997
57,2005-01-29,8.242747953054996
58,2005-02-05,9.891297543665997
59,2005-02-12,13.518106643010194
60,2005-02-19,16.485495906109993
61,2005-02-26,16.155785987987795
62,2005-03-05,13.188396724887996
63,2005-03-12,14.836946315498995
64,2005-03-19,12.528976888643598
65,2005-03-26,12.199266970521396
66,2005-04-02,15.496366151743397
67,2005-04-09,10.550717379910395
68,2005-04-16,11.869557052399196
69,2005-04-23,15.166656233621195
70,2005-04-30,15.496366151743397
71,2005-05-07,13.847816561132396
72,2005-05-14,11.210137216154795
73,2005-05-21,13.518106643010194
74,2005-05-28,9.891297543665997
75,2005-06-04,6.923908280566198
76,2005-06-11,12.858686806765796
77,2005-06-18,12.528976888643598
78,2005-06-25,15.166656233621195
79,2005-07-02,11.869557052399196
80,2005-07-09,10.221007461788197
81,2005-07-16,12.528976888643598
82,2005-07-23,10.550717379910395
83,2005-07-30,6.923908280566198
84,2005-08-06,9.891297543665997
85,2005-08-13,15.166656233621195
86,2005-08-20,11.539847134276997
87,2005-08-27,10.550717379910395
88,2005-09-03,12.528976888643598
89,2005-09-10,13.188396724887996
90,2005-09-17,11.539847134276997
91,2005-09-24,12.199266970521396
92,2005-10-01,14.177526479254595
93,2005-10-08,12.858686806765796
94,2005-10-15,10.880427298032595
95,2005-10-22,14.836946315498995
96,2005-10-29,12.858686806765796
97,2005-11-05,15.166656233621195
98,2005-11-12,16.155785987987795
99,2005-11-19,23.079694268553993
100,2005-11-26,11.539847134276997
101,2005-12-03,16.155785987987795
102,2005-12-10,8.572457871177196
103,2005-12-17,15.826076069865595
104,2005-12-24,11.869557052399196
105,2005-12-31,11.210137216154795
106,2006-01-07,15.166656233621195
107,2006-01-14,15.496366151743397
108,2006-01-21,8.572457871177196
109,2006-01-28,9.891297543665997
110,2006-02-04,9.561587625543796
111,2006-02-11,13.188396724887996
112,2006-02-18,13.847816561132396
113,2006-02-25,10.550717379910395
114,2006-03-04,12.858686806765796
115,2006-03-11,14.507236397376797
116,2006-03-18,12.858686806765796
117,2006-03-25,13.518106643010194
118,2006-04-01,8.242747953054996
119,2006-04-08,13.518106643010194
120,2006-04-15,9.891297543665997
121,2006-04-22,11.539847134276997
122,2006-04-29,10.880427298032595
123,2006-05-06,8.572457871177196
124,2006-05-13,12.199266970521396
125,2006-05-20,11.539847134276997
126,2006-05-27,13.188396724887996
127,2006-06-03,8.242747953054996
128,2006-06-10,11.539847134276997
129,2006-06-17,12.199266970521396
130,2006-06-24,13.518106643010194
131,2006-07-01,13.847816561132396
132,2006-07-08,11.869557052399196
133,2006-07-15,12.858686806765796
134,2006-07-22,11.869557052399196
135,2006-07-29,11.869557052399196
136,2006-08-05,7.5833281168105975
137,2006-08-12,10.221007461788197
138,2006-08-19,11.210137216154795
139,2006-08-26,12.199266970521396
140,2006-09-02,13.188396724887996
141,2006-09-09,9.891297543665997
142,2006-09-16,13.847816561132396
143,2006-09-23,14.836946315498995
144,2006-09-30,11.869557052399196
145,2006-10-07,14.836946315498995
146,2006-10-14,14.507236397376797
147,2006-10-21,13.847816561132396
148,2006-10-28,10.880427298032595
149,2006-11-04,13.847816561132396
150,2006-11-11,15.826076069865595
151,2006-11-18,20.442014923576394
152,2006-11-25,12.528976888643598
153,2006-12-02,10.221007461788197
154,2006-12-09,13.188396724887996
155,2006-12-16,19.782595087331995
156,2006-12-23,15.826076069865595
157,2006-12-30,16.485495906109993
158,2007-01-06,11.539847134276997
159,2007-01-13,15.166656233621195
160,2007-01-20,11.210137216154795
161,2007-01-27,14.507236397376797
162,2007-02-03,12.858686806765796
163,2007-02-10,15.496366151743397
164,2007-02-17,14.836946315498995
