Search Term,vegan restaurants near me
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,0
2012-12-01,0
2012-12-08,0
2012-12-15,0
2012-12-22,0
2012-12-29,0
2013-01-05,0
2013-01-12,0
2013-01-19,0
2013-01-26,0
2013-02-02,0
2013-02-09,0
2013-02-16,0
2013-02-23,0
2013-03-02,0
2013-03-09,0
2013-03-16,0
2013-03-23,0
2013-03-30,0
2013-04-06,0
2013-04-13,0
2013-04-20,0
2013-04-27,0
2013-05-04,0
2013-05-11,0
2013-05-18,0
2013-05-25,0
2013-06-01,0
2013-06-08,0
2013-06-15,0
2013-06-22,0
2013-06-29,0
2013-07-06,0
2013-07-13,0
2013-07-20,0
2013-07-27,0
2013-08-03,0
2013-08-10,0
2013-08-17,0
2013-08-24,0
2013-08-31,0
2013-09-07,0
2013-09-14,0
2013-09-21,0
2013-09-28,0
2013-10-05,0
2013-10-12,0
2013-10-19,0
2013-10-26,0
2013-11-02,0
2013-11-09,0
2013-11-16,0
2013-11-23,0
2013-11-30,0
2013-12-07,0
2013-12-14,0
2013-12-21,0
2013-12-28,0
2014-01-04,0
2014-01-11,0
2014-01-18,0
2014-01-25,0
2014-02-01,0
2014-02-08,0
2014-02-15,0
2014-02-22,0
2014-03-01,0
2014-03-08,10
2014-03-15,10
2014-03-22,0
2014-03-29,9
2014-04-05,10
2014-04-12,10
2014-04-19,9
2014-04-26,10
2014-05-03,14
2014-05-10,11
2014-05-17,0
2014-05-24,0
2014-05-31,0
2014-06-07,0
2014-06-14,17
2014-06-21,0
2014-06-28,13
2014-07-05,0
2014-07-12,0
2014-07-19,9
2014-07-26,14
2014-08-02,0
2014-08-09,15
2014-08-16,9
2014-08-23,10
2014-08-30,0
2014-09-06,9
2014-09-13,14
2014-09-20,11
2014-09-27,0
2014-10-04,12
2014-10-11,0
2014-10-18,15
2014-10-25,12
2014-11-01,14
2014-11-08,0
2014-11-15,0
2014-11-22,0
2014-11-29,9
2014-12-06,0
2014-12-13,0
2014-12-20,11
2014-12-27,13
2015-01-03,10
2015-01-10,0
2015-01-17,0
2015-01-24,0
2015-01-31,9
2015-02-07,8
2015-02-14,16
2015-02-21,10
2015-02-28,18
2015-03-07,18
2015-03-14,24
2015-03-21,18
2015-03-28,20
2015-04-04,18
2015-04-11,12
2015-04-18,9
2015-04-25,20
2015-05-02,17
2015-05-09,18
2015-05-16,15
2015-05-23,13
2015-05-30,14
2015-06-06,17
2015-06-13,19
2015-06-20,20
2015-06-27,26
2015-07-04,35
2015-07-11,24
2015-07-18,31
2015-07-25,28
2015-08-01,28
2015-08-08,31
2015-08-15,32
2015-08-22,31
2015-08-29,24
2015-09-05,23
2015-09-12,28
2015-09-19,27
2015-09-26,22
2015-10-03,21
2015-10-10,22
2015-10-17,28
2015-10-24,26
2015-10-31,23
2015-11-07,28
2015-11-14,24
2015-11-21,24
2015-11-28,17
2015-12-05,13
2015-12-12,29
2015-12-19,36
2015-12-26,44
2016-01-02,52
2016-01-09,46
2016-01-16,51
2016-01-23,43
2016-01-30,44
2016-02-06,38
2016-02-13,58
2016-02-20,45
2016-02-27,52
2016-03-05,53
2016-03-12,64
2016-03-19,65
2016-03-26,55
2016-04-02,73
2016-04-09,68
2016-04-16,75
2016-04-23,61
2016-04-30,74
2016-05-07,78
2016-05-14,69
2016-05-21,63
2016-05-28,71
2016-06-04,83
2016-06-11,78
2016-06-18,75
2016-06-25,77
2016-07-02,89
2016-07-09,83
2016-07-16,87
2016-07-23,84
2016-07-30,81
2016-08-06,75
2016-08-13,73
2016-08-20,83
2016-08-27,100
2016-09-03,90
2016-09-10,67
2016-09-17,82
2016-09-24,75
2016-10-01,68
2016-10-08,78
2016-10-15,61
2016-10-22,47
2016-10-29,55
2016-11-05,64
2016-11-12,65
2016-11-19,71
2016-11-26,68
2016-12-03,76
2016-12-10,74
2016-12-17,92
2016-12-24,82
2016-12-31,87
