Search Term,plant based recipes
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,16
2016-12-03,11
2016-12-10,7
2016-12-17,10
2016-12-24,19
2016-12-31,27
2017-01-07,17
2017-01-14,16
2017-01-21,15
2017-01-28,16
2017-02-04,13
2017-02-11,14
2017-02-18,18
2017-02-25,11
2017-03-04,11
2017-03-11,12
2017-03-18,12
2017-03-25,14
2017-04-01,11
2017-04-08,13
2017-04-15,9
2017-04-22,9
2017-04-29,12
2017-05-06,9
2017-05-13,15
2017-05-20,16
2017-05-27,16
2017-06-03,12
2017-06-10,12
2017-06-17,28
2017-06-24,48
2017-07-01,57
2017-07-08,62
2017-07-15,63
2017-07-22,58
2017-07-29,68
2017-08-05,54
2017-08-12,43
2017-08-19,41
2017-08-26,33
2017-09-02,31
2017-09-09,23
2017-09-16,21
2017-09-23,21
2017-09-30,18
2017-10-07,23
2017-10-14,23
2017-10-21,21
2017-10-28,17
2017-11-04,20
2017-11-11,26
2017-11-18,15
2017-11-25,22
2017-12-02,18
2017-12-09,15
2017-12-16,17
2017-12-23,27
2017-12-30,40
2018-01-06,31
2018-01-13,31
2018-01-20,31
2018-01-27,29
2018-02-03,26
2018-02-10,23
2018-02-17,23
2018-02-24,25
2018-03-03,24
2018-03-10,25
2018-03-17,22
2018-03-24,19
2018-03-31,23
2018-04-07,23
2018-04-14,21
2018-04-21,25
2018-04-28,19
2018-05-05,19
2018-05-12,21
2018-05-19,18
2018-05-26,20
2018-06-02,19
2018-06-09,24
2018-06-16,22
2018-06-23,22
2018-06-30,21
2018-07-07,16
2018-07-14,18
2018-07-21,24
2018-07-28,22
2018-08-04,21
2018-08-11,17
2018-08-18,21
2018-08-25,23
2018-09-01,23
2018-09-08,20
2018-09-15,17
2018-09-22,22
2018-09-29,18
2018-10-06,21
2018-10-13,17
2018-10-20,21
2018-10-27,18
2018-11-03,20
2018-11-10,17
2018-11-17,12
2018-11-24,17
2018-12-01,13
2018-12-08,15
2018-12-15,18
2018-12-22,24
2018-12-29,35
2019-01-05,34
2019-01-12,21
2019-01-19,27
2019-01-26,30
2019-02-02,26
2019-02-09,22
2019-02-16,23
2019-02-23,27
2019-03-02,23
2019-03-09,24
2019-03-16,25
2019-03-23,23
2019-03-30,26
2019-04-06,30
2019-04-13,21
2019-04-20,21
2019-04-27,24
2019-05-04,24
2019-05-11,22
2019-05-18,25
2019-05-25,22
2019-06-01,25
2019-06-08,26
2019-06-15,24
2019-06-22,23
2019-06-29,25
2019-07-06,25
2019-07-13,25
2019-07-20,30
2019-07-27,29
2019-08-03,33
2019-08-10,31
2019-08-17,28
2019-08-24,28
2019-08-31,25
2019-09-07,26
2019-09-14,29
2019-09-21,24
2019-09-28,33
2019-10-05,40
2019-10-12,43
2019-10-19,88
2019-10-26,96
2019-11-02,87
2019-11-09,78
2019-11-16,75
2019-11-23,61
2019-11-30,59
2019-12-07,46
2019-12-14,46
2019-12-21,54
2019-12-28,100
2020-01-04,79
2020-01-11,69
2020-01-18,72
2020-01-25,58
2020-02-01,58
2020-02-08,59
2020-02-15,59
2020-02-22,52
