Search Term,vegan recipes
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,100
2020-02-01,87
2020-02-08,86
2020-02-15,93
2020-02-22,89
2020-02-29,82
2020-03-07,73
2020-03-14,70
2020-03-21,80
2020-03-28,88
2020-04-04,99
2020-04-11,96
2020-04-18,93
2020-04-25,97
2020-05-02,94
2020-05-09,90
2020-05-16,90
2020-05-23,87
2020-05-30,78
2020-06-06,88
2020-06-13,85
2020-06-20,83
2020-06-27,86
2020-07-04,86
2020-07-11,91
2020-07-18,92
2020-07-25,88
2020-08-01,90
2020-08-08,82
2020-08-15,79
2020-08-22,73
2020-08-29,76
2020-09-05,78
2020-09-12,74
2020-09-19,71
2020-09-26,71
2020-10-03,73
2020-10-10,77
2020-10-17,79
2020-10-24,74
2020-10-31,61
2020-11-07,78
2020-11-14,78
2020-11-21,87
2020-11-28,69
2020-12-05,72
2020-12-12,75
2020-12-19,83
2020-12-26,90
2021-01-02,88
2021-01-09,79
2021-01-16,75
2021-01-23,78
2021-01-30,74
2021-02-06,73
2021-02-13,73
2021-02-20,69
2021-02-27,66
2021-03-06,61
2021-03-13,60
2021-03-20,62
2021-03-27,64
2021-04-03,59
2021-04-10,60
2021-04-17,58
2021-04-24,57
2021-05-01,62
2021-05-08,56
2021-05-15,55
2021-05-22,58
2021-05-29,56
2021-06-05,56
2021-06-12,57
2021-06-19,54
2021-06-26,56
2021-07-03,57
2021-07-10,56
2021-07-17,51
2021-07-24,56
2021-07-31,53
2021-08-07,51
2021-08-14,50
2021-08-21,52
2021-08-28,50
2021-09-04,48
2021-09-11,49
2021-09-18,51
2021-09-25,52
2021-10-02,54
2021-10-09,52
2021-10-16,52
2021-10-23,58
2021-10-30,60
2021-11-06,61
2021-11-13,68
2021-11-20,77
2021-11-27,50
2021-12-04,56
2021-12-11,57
2021-12-18,64
2021-12-25,60
2022-01-01,79
2022-01-08,73
2022-01-15,65
2022-01-22,65
2022-01-29,63
2022-02-05,58
2022-02-12,56
2022-02-19,59
2022-02-26,59
2022-03-05,63
2022-03-12,63
2022-03-19,59
2022-03-26,58
2022-04-02,57
2022-04-09,66
2022-04-16,50
2022-04-23,49
2022-04-30,51
2022-05-07,51
2022-05-14,49
2022-05-21,50
2022-05-28,47
2022-06-04,46
2022-06-11,51
2022-06-18,50
2022-06-25,52
2022-07-02,54
2022-07-09,54
2022-07-16,51
2022-07-23,52
2022-07-30,54
2022-08-06,54
2022-08-13,51
2022-08-20,46
2022-08-27,48
2022-09-03,45
2022-09-10,46
2022-09-17,44
2022-09-24,42
2022-10-01,49
2022-10-08,49
2022-10-15,45
2022-10-22,49
2022-10-29,51
2022-11-05,53
2022-11-12,62
2022-11-19,68
2022-11-26,45
2022-12-03,44
2022-12-10,51
2022-12-17,60
2022-12-24,51
2022-12-31,57
2023-01-07,54
2023-01-14,56
2023-01-21,49
2023-01-28,48
2023-02-04,47
2023-02-11,42
2023-02-18,47
2023-02-25,49
2023-03-04,44
2023-03-11,47
2023-03-18,45
2023-03-25,43
2023-04-01,51
2023-04-08,39
2023-04-15,41
2023-04-22,40
2023-04-29,39
2023-05-06,38
2023-05-13,36
2023-05-20,38
2023-05-27,40
2023-06-03,40
2023-06-10,39
2023-06-17,40
2023-06-24,39
2023-07-01,42
2023-07-08,41
2023-07-15,37
2023-07-22,38
2023-07-29,40
2023-08-05,36
2023-08-12,39
2023-08-19,35
2023-08-26,38
2023-09-02,36
2023-09-09,35
2023-09-16,36
2023-09-23,38
2023-09-30,35
2023-10-07,36
2023-10-14,39
2023-10-21,38
2023-10-28,39
2023-11-04,42
2023-11-11,50
2023-11-18,54
2023-11-25,39
2023-12-02,42
2023-12-09,42
2023-12-16,46
2023-12-23,43
2023-12-30,84
2024-01-06,79
2024-01-13,61
2024-01-20,52
2024-01-27,46
2024-02-03,47
2024-02-10,42
2024-02-17,40
2024-02-24,40
2024-03-02,40
2024-03-09,43
2024-03-16,41
2024-03-23,43
2024-03-30,39
2024-04-06,32
2024-04-13,35
2024-04-20,33
2024-04-27,32
2024-05-04,32
2024-05-11,30
2024-05-18,30
2024-05-25,34
