Search Term,plant based diet plan
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,14
2016-12-03,0
2016-12-10,0
2016-12-17,0
2016-12-24,0
2016-12-31,19
2017-01-07,19
2017-01-14,0
2017-01-21,18
2017-01-28,13
2017-02-04,0
2017-02-11,0
2017-02-18,0
2017-02-25,13
2017-03-04,0
2017-03-11,0
2017-03-18,14
2017-03-25,0
2017-04-01,0
2017-04-08,0
2017-04-15,16
2017-04-22,0
2017-04-29,0
2017-05-06,0
2017-05-13,23
2017-05-20,0
2017-05-27,17
2017-06-03,14
2017-06-10,22
2017-06-17,38
2017-06-24,62
2017-07-01,64
2017-07-08,79
2017-07-15,66
2017-07-22,72
2017-07-29,75
2017-08-05,66
2017-08-12,63
2017-08-19,52
2017-08-26,37
2017-09-02,34
2017-09-09,27
2017-09-16,34
2017-09-23,30
2017-09-30,24
2017-10-07,24
2017-10-14,23
2017-10-21,15
2017-10-28,14
2017-11-04,22
2017-11-11,26
2017-11-18,22
2017-11-25,40
2017-12-02,25
2017-12-09,0
2017-12-16,0
2017-12-23,18
2017-12-30,36
2018-01-06,26
2018-01-13,26
2018-01-20,14
2018-01-27,14
2018-02-03,26
2018-02-10,21
2018-02-17,21
2018-02-24,14
2018-03-03,23
2018-03-10,17
2018-03-17,0
2018-03-24,18
2018-03-31,31
2018-04-07,12
2018-04-14,22
2018-04-21,16
2018-04-28,21
2018-05-05,0
2018-05-12,0
2018-05-19,16
2018-05-26,16
2018-06-02,18
2018-06-09,16
2018-06-16,0
2018-06-23,14
2018-06-30,21
2018-07-07,22
2018-07-14,0
2018-07-21,19
2018-07-28,0
2018-08-04,19
2018-08-11,0
2018-08-18,0
2018-08-25,0
2018-09-01,19
2018-09-08,13
2018-09-15,13
2018-09-22,15
2018-09-29,14
2018-10-06,15
2018-10-13,0
2018-10-20,0
2018-10-27,15
2018-11-03,27
2018-11-10,0
2018-11-17,0
2018-11-24,0
2018-12-01,0
2018-12-08,12
2018-12-15,13
2018-12-22,26
2018-12-29,30
2019-01-05,15
2019-01-12,19
2019-01-19,18
2019-01-26,26
2019-02-02,22
2019-02-09,27
2019-02-16,0
2019-02-23,26
2019-03-02,15
2019-03-09,16
2019-03-16,18
2019-03-23,12
2019-03-30,21
2019-04-06,23
2019-04-13,0
2019-04-20,23
2019-04-27,17
2019-05-04,12
2019-05-11,13
2019-05-18,21
2019-05-25,22
2019-06-01,21
2019-06-08,20
2019-06-15,17
2019-06-22,0
2019-06-29,20
2019-07-06,16
2019-07-13,21
2019-07-20,31
2019-07-27,34
2019-08-03,24
2019-08-10,16
2019-08-17,17
2019-08-24,27
2019-08-31,31
2019-09-07,21
2019-09-14,13
2019-09-21,12
2019-09-28,23
2019-10-05,38
2019-10-12,29
2019-10-19,100
2019-10-26,68
2019-11-02,87
2019-11-09,79
2019-11-16,58
2019-11-23,68
2019-11-30,69
2019-12-07,50
2019-12-14,53
2019-12-21,62
2019-12-28,98
2020-01-04,51
2020-01-11,60
2020-01-18,51
2020-01-25,45
2020-02-01,43
2020-02-08,45
2020-02-15,41
2020-02-22,33
