,Search Term,plant based restaurants
187,2020-06-27,30.0
188,2020-07-04,37.0
189,2020-07-11,41.0
190,2020-07-18,37.0
191,2020-07-25,53.0
192,2020-08-01,35.0
193,2020-08-08,46.0
194,2020-08-15,28.999999999999996
195,2020-08-22,46.0
196,2020-08-29,39.0
197,2020-09-05,33.0
198,2020-09-12,41.0
199,2020-09-19,36.0
200,2020-09-26,36.0
201,2020-10-03,28.999999999999996
202,2020-10-10,28.000000000000004
203,2020-10-17,23.0
204,2020-10-24,25.0
205,2020-10-31,19.0
206,2020-11-07,21.0
207,2020-11-14,35.0
208,2020-11-21,32.0
209,2020-11-28,23.0
210,2020-12-05,37.0
211,2020-12-12,32.0
212,2020-12-19,18.0
213,2020-12-26,27.0
214,2021-01-02,35.0
215,2021-01-09,32.0
216,2021-01-16,28.999999999999996
217,2021-01-23,37.0
218,2021-01-30,47.0
219,2021-02-06,30.0
220,2021-02-13,33.0
221,2021-02-20,51.0
222,2021-02-27,31.0
223,2021-03-06,46.0
224,2021-03-13,46.0
225,2021-03-20,34.0
226,2021-03-27,45.0
227,2021-04-03,37.0
228,2021-04-10,52.0
229,2021-04-17,50.0
230,2021-04-24,47.0
231,2021-05-01,49.0
232,2021-05-08,42.0
233,2021-05-15,52.0
234,2021-05-22,53.0
235,2021-05-29,36.0
236,2021-06-05,47.0
237,2021-06-12,49.0
238,2021-06-19,60.0
239,2021-06-26,37.0
240,2021-07-03,34.0
241,2021-07-10,51.0
242,2021-07-17,57.99999999999999
243,2021-07-24,48.0
244,2021-07-31,49.0
245,2021-08-07,42.0
246,2021-08-14,45.0
247,2021-08-21,46.0
248,2021-08-28,47.0
249,2021-09-04,46.0
250,2021-09-11,43.0
251,2021-09-18,35.0
252,2021-09-25,47.0
253,2021-10-02,31.0
254,2021-10-09,37.0
255,2021-10-16,45.0
256,2021-10-23,40.0
257,2021-10-30,43.0
258,2021-11-06,42.0
259,2021-11-13,39.0
260,2021-11-20,23.0
261,2021-11-27,27.0
262,2021-12-04,28.999999999999996
263,2021-12-11,27.0
264,2021-12-18,31.0
265,2021-12-25,32.0
266,2022-01-01,53.0
267,2022-01-08,28.000000000000004
268,2022-01-15,51.0
269,2022-01-22,33.0
270,2022-01-29,39.0
271,2022-02-05,56.00000000000001
272,2022-02-12,48.0
273,2022-02-19,42.0
274,2022-02-26,60.0
275,2022-03-05,45.0
276,2022-03-12,55.00000000000001
277,2022-03-19,53.0
278,2022-03-26,40.0
279,2022-04-02,40.0
280,2022-04-09,40.0
281,2022-04-16,40.0
282,2022-04-23,53.0
283,2022-04-30,53.0
284,2022-05-07,41.0
285,2022-05-14,25.0
286,2022-05-21,48.0
287,2022-05-28,43.0
288,2022-06-04,30.0
289,2022-06-11,46.0
290,2022-06-18,63.0
291,2022-06-25,39.0
292,2022-07-02,38.0
293,2022-07-09,45.0
294,2022-07-16,56.99999999999999
295,2022-07-23,65.0
296,2022-07-30,41.0
297,2022-08-06,49.0
298,2022-08-13,44.0
299,2022-08-20,45.0
300,2022-08-27,42.0
301,2022-09-03,38.0
302,2022-09-10,45.0
303,2022-09-17,28.000000000000004
304,2022-09-24,43.0
305,2022-10-01,32.0
306,2022-10-08,37.0
307,2022-10-15,27.0
308,2022-10-22,33.0
309,2022-10-29,27.0
310,2022-11-05,34.0
311,2022-11-12,36.0
312,2022-11-19,25.0
313,2022-11-26,28.000000000000004
314,2022-12-03,31.0
315,2022-12-10,28.000000000000004
316,2022-12-17,32.0
317,2022-12-24,48.0
318,2022-12-31,37.0
319,2023-01-07,35.0
320,2023-01-14,45.0
321,2023-01-21,30.0
322,2023-01-28,37.0
323,2023-02-04,37.0
324,2023-02-11,48.0
325,2023-02-18,41.0
326,2023-02-25,37.0
327,2023-03-04,36.0
328,2023-03-11,41.0
329,2023-03-18,31.0
330,2023-03-25,38.0
331,2023-04-01,45.0
332,2023-04-08,46.0
333,2023-04-15,49.0
334,2023-04-22,37.0
335,2023-04-29,40.0
336,2023-05-06,43.0
337,2023-05-13,48.0
338,2023-05-20,36.0
339,2023-05-27,43.0
340,2023-06-03,45.0
341,2023-06-10,40.0
342,2023-06-17,42.0
343,2023-06-24,38.0
344,2023-07-01,43.0
345,2023-07-08,49.0
346,2023-07-15,42.0
347,2023-07-22,46.0
348,2023-07-29,47.0
349,2023-08-05,47.0
350,2023-08-12,55.00000000000001
351,2023-08-19,33.0
352,2023-08-26,36.0
353,2023-09-02,30.0
354,2023-09-09,41.0
355,2023-09-16,28.000000000000004
356,2023-09-23,28.000000000000004
357,2023-09-30,36.0
358,2023-10-07,28.000000000000004
359,2023-10-14,37.0
360,2023-10-21,33.0
361,2023-10-28,25.0
362,2023-11-04,46.0
363,2023-11-11,33.0
364,2023-11-18,48.0
365,2023-11-25,28.999999999999996
366,2023-12-02,32.0
367,2023-12-09,38.0
368,2023-12-16,21.0
369,2023-12-23,28.000000000000004
370,2023-12-30,89.0
371,2024-01-06,100.0
372,2024-01-13,69.0
373,2024-01-20,54.0
374,2024-01-27,48.0
375,2024-02-03,45.0
376,2024-02-10,45.0
377,2024-02-17,33.0
378,2024-02-24,23.0
379,2024-03-02,30.0
380,2024-03-09,33.0
381,2024-03-16,36.0
382,2024-03-23,30.0
383,2024-03-30,43.0
384,2024-04-06,25.0
385,2024-04-13,32.0
386,2024-04-20,23.0
387,2024-04-27,27.0
388,2024-05-04,28.000000000000004
389,2024-05-11,38.0
390,2024-05-18,0.0
391,2024-05-25,27.0
