Search Term,vegan restaurants
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,31
2012-12-01,29
2012-12-08,34
2012-12-15,38
2012-12-22,43
2012-12-29,44
2013-01-05,48
2013-01-12,49
2013-01-19,45
2013-01-26,39
2013-02-02,41
2013-02-09,51
2013-02-16,50
2013-02-23,45
2013-03-02,46
2013-03-09,51
2013-03-16,53
2013-03-23,52
2013-03-30,48
2013-04-06,44
2013-04-13,43
2013-04-20,50
2013-04-27,41
2013-05-04,42
2013-05-11,44
2013-05-18,47
2013-05-25,47
2013-06-01,53
2013-06-08,52
2013-06-15,47
2013-06-22,46
2013-06-29,50
2013-07-06,52
2013-07-13,49
2013-07-20,50
2013-07-27,48
2013-08-03,56
2013-08-10,49
2013-08-17,46
2013-08-24,49
2013-08-31,43
2013-09-07,43
2013-09-14,38
2013-09-21,37
2013-09-28,35
2013-10-05,38
2013-10-12,40
2013-10-19,38
2013-10-26,35
2013-11-02,40
2013-11-09,37
2013-11-16,34
2013-11-23,36
2013-11-30,35
2013-12-07,35
2013-12-14,39
2013-12-21,48
2013-12-28,44
2014-01-04,48
2014-01-11,53
2014-01-18,44
2014-01-25,44
2014-02-01,45
2014-02-08,46
2014-02-15,51
2014-02-22,45
2014-03-01,55
2014-03-08,49
2014-03-15,52
2014-03-22,49
2014-03-29,54
2014-04-05,52
2014-04-12,50
2014-04-19,41
2014-04-26,41
2014-05-03,47
2014-05-10,51
2014-05-17,46
2014-05-24,51
2014-05-31,48
2014-06-07,49
2014-06-14,52
2014-06-21,46
2014-06-28,49
2014-07-05,48
2014-07-12,50
2014-07-19,48
2014-07-26,52
2014-08-02,49
2014-08-09,47
2014-08-16,46
2014-08-23,46
2014-08-30,35
2014-09-06,38
2014-09-13,40
2014-09-20,42
2014-09-27,31
2014-10-04,42
2014-10-11,38
2014-10-18,37
2014-10-25,30
2014-11-01,37
2014-11-08,40
2014-11-15,34
2014-11-22,30
2014-11-29,33
2014-12-06,31
2014-12-13,34
2014-12-20,48
2014-12-27,47
2015-01-03,44
2015-01-10,47
2015-01-17,39
2015-01-24,41
2015-01-31,39
2015-02-07,46
2015-02-14,41
2015-02-21,42
2015-02-28,47
2015-03-07,43
2015-03-14,49
2015-03-21,48
2015-03-28,47
2015-04-04,42
2015-04-11,43
2015-04-18,47
2015-04-25,45
2015-05-02,45
2015-05-09,47
2015-05-16,48
2015-05-23,47
2015-05-30,46
2015-06-06,54
2015-06-13,58
2015-06-20,55
2015-06-27,55
2015-07-04,61
2015-07-11,61
2015-07-18,60
2015-07-25,59
2015-08-01,55
2015-08-08,65
2015-08-15,56
2015-08-22,55
2015-08-29,51
2015-09-05,52
2015-09-12,51
2015-09-19,47
2015-09-26,49
2015-10-03,54
2015-10-10,51
2015-10-17,47
2015-10-24,45
2015-10-31,54
2015-11-07,48
2015-11-14,45
2015-11-21,40
2015-11-28,42
2015-12-05,46
2015-12-12,52
2015-12-19,58
2015-12-26,68
2016-01-02,64
2016-01-09,66
2016-01-16,68
2016-01-23,60
2016-01-30,62
2016-02-06,72
2016-02-13,86
2016-02-20,70
2016-02-27,71
2016-03-05,75
2016-03-12,79
2016-03-19,82
2016-03-26,76
2016-04-02,76
2016-04-09,78
2016-04-16,89
2016-04-23,75
2016-04-30,91
2016-05-07,94
2016-05-14,90
2016-05-21,84
2016-05-28,93
2016-06-04,92
2016-06-11,89
2016-06-18,95
2016-06-25,98
2016-07-02,98
2016-07-09,95
2016-07-16,100
2016-07-23,87
2016-07-30,90
2016-08-06,86
2016-08-13,80
2016-08-20,80
2016-08-27,77
2016-09-03,76
2016-09-10,67
2016-09-17,71
2016-09-24,69
2016-10-01,66
2016-10-08,76
2016-10-15,74
2016-10-22,64
2016-10-29,70
2016-11-05,70
2016-11-12,72
2016-11-19,67
2016-11-26,66
2016-12-03,68
2016-12-10,70
2016-12-17,76
2016-12-24,88
2016-12-31,84
