,Search Term,vegetarian restaurants near me
185,2016-06-11,41.710344827586205
186,2016-06-18,43.37875862068965
187,2016-06-25,50.60855172413793
188,2016-07-02,51.16468965517241
189,2016-07-09,48.384
190,2016-07-16,52.83310344827585
191,2016-07-23,55.05765517241379
192,2016-07-30,50.60855172413793
193,2016-08-06,38.92965517241379
194,2016-08-13,33.92441379310345
195,2016-08-20,55.61379310344827
196,2016-08-27,36.70510344827586
197,2016-09-03,37.817379310344826
198,2016-09-10,34.48055172413793
199,2016-09-17,30.031448275862065
200,2016-09-24,37.817379310344826
201,2016-10-01,33.36827586206896
202,2016-10-08,32.81213793103448
203,2016-10-15,42.82262068965517
204,2016-10-22,35.592827586206894
205,2016-10-29,30.58758620689655
206,2016-11-05,33.92441379310345
207,2016-11-12,39.48579310344827
208,2016-11-19,35.592827586206894
209,2016-11-26,31.679999999999996
210,2016-12-03,34.56
211,2016-12-10,38.4
212,2016-12-17,45.12
213,2016-12-24,44.16
214,2016-12-31,48.0
215,2017-01-07,49.92
216,2017-01-14,42.239999999999995
217,2017-01-21,41.28
218,2017-01-28,35.519999999999996
219,2017-02-04,33.6
220,2017-02-11,43.199999999999996
221,2017-02-18,48.0
222,2017-02-25,47.04
223,2017-03-04,41.28
224,2017-03-11,38.4
225,2017-03-18,48.0
226,2017-03-25,53.76
227,2017-04-01,48.96
228,2017-04-08,56.64
229,2017-04-15,41.28
230,2017-04-22,49.92
231,2017-04-29,41.28
232,2017-05-06,51.839999999999996
233,2017-05-13,52.800000000000004
234,2017-05-20,53.76
235,2017-05-27,62.4
236,2017-06-03,54.72
237,2017-06-10,52.800000000000004
238,2017-06-17,61.44
239,2017-06-24,67.2
240,2017-07-01,65.28
241,2017-07-08,65.28
242,2017-07-15,69.12
243,2017-07-22,55.67999999999999
244,2017-07-29,54.72
245,2017-08-05,63.35999999999999
246,2017-08-12,74.88
247,2017-08-19,72.0
248,2017-08-26,89.28
249,2017-09-02,71.03999999999999
250,2017-09-09,80.64
251,2017-09-16,85.44
252,2017-09-23,90.24
253,2017-09-30,72.0
254,2017-10-07,72.0
255,2017-10-14,72.0
256,2017-10-21,61.44
257,2017-10-28,60.480000000000004
258,2017-11-04,53.76
259,2017-11-11,48.0
260,2017-11-18,53.76
261,2017-11-25,42.239999999999995
262,2017-12-02,46.08
263,2017-12-09,42.239999999999995
264,2017-12-16,49.92
265,2017-12-23,62.4
266,2017-12-30,58.55999999999999
267,2018-01-06,59.519999999999996
268,2018-01-13,60.480000000000004
269,2018-01-20,64.32
270,2018-01-27,62.4
271,2018-02-03,59.519999999999996
272,2018-02-10,77.75999999999999
273,2018-02-17,70.08
274,2018-02-24,72.96
275,2018-03-03,78.72
276,2018-03-10,76.8
277,2018-03-17,65.28
278,2018-03-24,71.03999999999999
279,2018-03-31,62.4
280,2018-04-07,54.72
281,2018-04-14,47.04
282,2018-04-21,52.800000000000004
283,2018-04-28,54.72
284,2018-05-05,64.32
285,2018-05-12,60.480000000000004
286,2018-05-19,60.480000000000004
287,2018-05-26,64.32
288,2018-06-02,71.03999999999999
289,2018-06-09,78.72
290,2018-06-16,76.8
291,2018-06-23,73.92
292,2018-06-30,81.6
293,2018-07-07,92.16
294,2018-07-14,88.32
295,2018-07-21,84.47999999999999
296,2018-07-28,88.32
297,2018-08-04,84.47999999999999
298,2018-08-11,71.03999999999999
299,2018-08-18,57.599999999999994
300,2018-08-25,72.0
301,2018-09-01,63.35999999999999
302,2018-09-08,46.08
303,2018-09-15,64.32
304,2018-09-22,57.599999999999994
305,2018-09-29,57.599999999999994
306,2018-10-06,56.64
307,2018-10-13,58.55999999999999
308,2018-10-20,54.72
309,2018-10-27,54.72
310,2018-11-03,48.0
311,2018-11-10,57.599999999999994
312,2018-11-17,54.72
313,2018-11-24,50.879999999999995
314,2018-12-01,50.879999999999995
315,2018-12-08,48.0
316,2018-12-15,54.72
317,2018-12-22,73.92
318,2018-12-29,72.0
319,2019-01-05,58.55999999999999
320,2019-01-12,54.72
321,2019-01-19,48.96
322,2019-01-26,45.12
323,2019-02-02,51.839999999999996
324,2019-02-09,51.839999999999996
325,2019-02-16,60.480000000000004
326,2019-02-23,49.92
327,2019-03-02,60.480000000000004
328,2019-03-09,59.519999999999996
329,2019-03-16,59.519999999999996
330,2019-03-23,67.2
331,2019-03-30,65.28
332,2019-04-06,69.12
333,2019-04-13,72.96
334,2019-04-20,64.32
335,2019-04-27,71.03999999999999
336,2019-05-04,67.2
337,2019-05-11,68.16
338,2019-05-18,64.32
339,2019-05-25,69.12
340,2019-06-01,63.35999999999999
341,2019-06-08,72.96
342,2019-06-15,85.44
343,2019-06-22,76.8
344,2019-06-29,80.64
345,2019-07-06,71.03999999999999
346,2019-07-13,81.6
347,2019-07-20,81.6
348,2019-07-27,85.44
349,2019-08-03,74.88
350,2019-08-10,77.75999999999999
351,2019-08-17,79.67999999999999
352,2019-08-24,56.64
353,2019-08-31,72.96
354,2019-09-07,56.64
355,2019-09-14,58.55999999999999
356,2019-09-21,65.28
357,2019-09-28,59.519999999999996
358,2019-10-05,66.24
359,2019-10-12,62.4
360,2019-10-19,57.599999999999994
361,2019-10-26,57.599999999999994
362,2019-11-02,71.03999999999999
363,2019-11-09,66.24
364,2019-11-16,72.96
365,2019-11-23,76.8
366,2019-11-30,62.4
367,2019-12-07,67.2
368,2019-12-14,64.32
369,2019-12-21,93.11999999999999
370,2019-12-28,96.0
371,2020-01-04,65.28
372,2020-01-11,69.12
373,2020-01-18,69.12
374,2020-01-25,57.99999999999999
375,2020-02-01,56.99999999999999
376,2020-02-08,71.0
377,2020-02-15,65.0
378,2020-02-22,61.0
379,2020-02-29,57.99999999999999
380,2020-03-07,46.0
381,2020-03-14,15.0
382,2020-03-21,10.0
383,2020-03-28,7.000000000000001
384,2020-04-04,12.0
385,2020-04-11,13.0
386,2020-04-18,14.000000000000002
387,2020-04-25,15.0
388,2020-05-02,20.0
389,2020-05-09,26.0
390,2020-05-16,32.0
391,2020-05-23,23.0
392,2020-05-30,27.0
393,2020-06-06,34.0
394,2020-06-13,35.0
395,2020-06-20,44.0
396,2020-06-27,42.0
397,2020-07-04,48.0
398,2020-07-11,40.0
399,2020-07-18,36.0
400,2020-07-25,32.0
401,2020-08-01,42.0
402,2020-08-08,41.0
403,2020-08-15,42.0
404,2020-08-22,35.0
405,2020-08-29,52.0
406,2020-09-05,50.0
407,2020-09-12,45.0
408,2020-09-19,53.0
409,2020-09-26,50.0
410,2020-10-03,47.0
411,2020-10-10,47.0
412,2020-10-17,51.0
413,2020-10-24,38.0
414,2020-10-31,39.0
415,2020-11-07,39.0
416,2020-11-14,44.0
417,2020-11-21,35.0
418,2020-11-28,28.999999999999996
419,2020-12-05,34.0
