Search Term,vegan recipe
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,28
2008-12-06,29
2008-12-13,35
2008-12-20,52
2008-12-27,32
2009-01-03,29
2009-01-10,25
2009-01-17,30
2009-01-24,27
2009-01-31,29
2009-02-07,31
2009-02-14,28
2009-02-21,30
2009-02-28,28
2009-03-07,27
2009-03-14,29
2009-03-21,29
2009-03-28,29
2009-04-04,33
2009-04-11,27
2009-04-18,29
2009-04-25,21
2009-05-02,27
2009-05-09,26
2009-05-16,23
2009-05-23,31
2009-05-30,30
2009-06-06,32
2009-06-13,31
2009-06-20,32
2009-06-27,32
2009-07-04,30
2009-07-11,32
2009-07-18,27
2009-07-25,32
2009-08-01,33
2009-08-08,32
2009-08-15,31
2009-08-22,31
2009-08-29,34
2009-09-05,33
2009-09-12,27
2009-09-19,32
2009-09-26,33
2009-10-03,31
2009-10-10,31
2009-10-17,32
2009-10-24,42
2009-10-31,34
2009-11-07,40
2009-11-14,44
2009-11-21,78
2009-11-28,36
2009-12-05,38
2009-12-12,46
2009-12-19,56
2009-12-26,40
2010-01-02,43
2010-01-09,42
2010-01-16,40
2010-01-23,39
2010-01-30,37
2010-02-06,40
2010-02-13,38
2010-02-20,39
2010-02-27,37
2010-03-06,35
2010-03-13,35
2010-03-20,38
2010-03-27,45
2010-04-03,35
2010-04-10,32
2010-04-17,33
2010-04-24,34
2010-05-01,32
2010-05-08,35
2010-05-15,30
2010-05-22,31
2010-05-29,29
2010-06-05,32
2010-06-12,32
2010-06-19,31
2010-06-26,36
2010-07-03,27
2010-07-10,34
2010-07-17,34
2010-07-24,33
2010-07-31,34
2010-08-07,36
2010-08-14,32
2010-08-21,35
2010-08-28,32
2010-09-04,39
2010-09-11,33
2010-09-18,31
2010-09-25,29
2010-10-02,32
2010-10-09,40
2010-10-16,37
2010-10-23,33
2010-10-30,35
2010-11-06,32
2010-11-13,46
2010-11-20,65
2010-11-27,32
2010-12-04,38
2010-12-11,40
2010-12-18,55
2010-12-25,46
2011-01-01,44
2011-01-08,45
2011-01-15,45
2011-01-22,45
2011-01-29,46
2011-02-05,46
2011-02-12,42
2011-02-19,40
2011-02-26,42
2011-03-05,43
2011-03-12,43
2011-03-19,42
2011-03-26,45
2011-04-02,42
2011-04-09,38
2011-04-16,47
2011-04-23,36
2011-04-30,37
2011-05-07,35
2011-05-14,41
2011-05-21,40
2011-05-28,40
2011-06-04,40
2011-06-11,39
2011-06-18,44
2011-06-25,42
2011-07-02,41
2011-07-09,39
2011-07-16,39
2011-07-23,41
2011-07-30,40
2011-08-06,39
2011-08-13,39
2011-08-20,47
2011-08-27,40
2011-09-03,49
2011-09-10,44
2011-09-17,47
2011-09-24,44
2011-10-01,52
2011-10-08,50
2011-10-15,49
2011-10-22,52
2011-10-29,51
2011-11-05,53
2011-11-12,57
2011-11-19,89
2011-11-26,46
2011-12-03,49
2011-12-10,53
2011-12-17,78
2011-12-24,58
2011-12-31,59
2012-01-07,57
2012-01-14,55
2012-01-21,55
2012-01-28,54
2012-02-04,52
2012-02-11,50
2012-02-18,51
2012-02-25,54
2012-03-03,53
2012-03-10,55
2012-03-17,49
2012-03-24,53
2012-03-31,56
2012-04-07,49
2012-04-14,47
2012-04-21,53
2012-04-28,50
2012-05-05,47
2012-05-12,52
2012-05-19,52
2012-05-26,57
2012-06-02,55
2012-06-09,56
2012-06-16,52
2012-06-23,50
2012-06-30,57
2012-07-07,53
2012-07-14,53
2012-07-21,56
2012-07-28,52
2012-08-04,51
2012-08-11,55
2012-08-18,55
2012-08-25,52
2012-09-01,52
2012-09-08,54
2012-09-15,55
2012-09-22,55
2012-09-29,53
2012-10-06,55
2012-10-13,53
2012-10-20,54
2012-10-27,51
2012-11-03,53
2012-11-10,66
2012-11-17,100
2012-11-24,47
2012-12-01,50
2012-12-08,57
2012-12-15,67
2012-12-22,79
2012-12-29,73
