Search Term,plant based near me
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,0
2016-12-03,0
2016-12-10,0
2016-12-17,0
2016-12-24,0
2016-12-31,0
2017-01-07,0
2017-01-14,0
2017-01-21,0
2017-01-28,0
2017-02-04,0
2017-02-11,0
2017-02-18,17
2017-02-25,0
2017-03-04,0
2017-03-11,0
2017-03-18,0
2017-03-25,0
2017-04-01,16
2017-04-08,0
2017-04-15,16
2017-04-22,0
2017-04-29,0
2017-05-06,0
2017-05-13,0
2017-05-20,0
2017-05-27,0
2017-06-03,0
2017-06-10,0
2017-06-17,0
2017-06-24,0
2017-07-01,0
2017-07-08,26
2017-07-15,0
2017-07-22,35
2017-07-29,26
2017-08-05,22
2017-08-12,34
2017-08-19,25
2017-08-26,0
2017-09-02,22
2017-09-09,0
2017-09-16,21
2017-09-23,0
2017-09-30,18
2017-10-07,16
2017-10-14,16
2017-10-21,0
2017-10-28,0
2017-11-04,0
2017-11-11,0
2017-11-18,0
2017-11-25,0
2017-12-02,0
2017-12-09,0
2017-12-16,0
2017-12-23,0
2017-12-30,0
2018-01-06,17
2018-01-13,15
2018-01-20,14
2018-01-27,20
2018-02-03,14
2018-02-10,17
2018-02-17,16
2018-02-24,0
2018-03-03,17
2018-03-10,18
2018-03-17,18
2018-03-24,27
2018-03-31,20
2018-04-07,16
2018-04-14,0
2018-04-21,0
2018-04-28,0
2018-05-05,17
2018-05-12,19
2018-05-19,21
2018-05-26,16
2018-06-02,19
2018-06-09,16
2018-06-16,15
2018-06-23,21
2018-06-30,0
2018-07-07,17
2018-07-14,0
2018-07-21,20
2018-07-28,17
2018-08-04,20
2018-08-11,0
2018-08-18,22
2018-08-25,25
2018-09-01,23
2018-09-08,15
2018-09-15,17
2018-09-22,15
2018-09-29,20
2018-10-06,19
2018-10-13,23
2018-10-20,24
2018-10-27,19
2018-11-03,18
2018-11-10,16
2018-11-17,20
2018-11-24,21
2018-12-01,16
2018-12-08,0
2018-12-15,16
2018-12-22,17
2018-12-29,18
2019-01-05,23
2019-01-12,20
2019-01-19,31
2019-01-26,28
2019-02-02,22
2019-02-09,34
2019-02-16,22
2019-02-23,25
2019-03-02,21
2019-03-09,25
2019-03-16,26
2019-03-23,34
2019-03-30,29
2019-04-06,21
2019-04-13,35
2019-04-20,33
2019-04-27,26
2019-05-04,21
2019-05-11,34
2019-05-18,27
2019-05-25,39
2019-06-01,35
2019-06-08,40
2019-06-15,31
2019-06-22,43
2019-06-29,33
2019-07-06,41
2019-07-13,40
2019-07-20,57
2019-07-27,51
2019-08-03,62
2019-08-10,32
2019-08-17,47
2019-08-24,50
2019-08-31,30
2019-09-07,34
2019-09-14,37
2019-09-21,44
2019-09-28,40
2019-10-05,49
2019-10-12,46
2019-10-19,73
2019-10-26,93
2019-11-02,98
2019-11-09,79
2019-11-16,91
2019-11-23,77
2019-11-30,65
2019-12-07,57
2019-12-14,43
2019-12-21,71
2019-12-28,100
2020-01-04,86
2020-01-11,88
2020-01-18,94
2020-01-25,82
2020-02-01,74
2020-02-08,74
2020-02-15,78
2020-02-22,65
