Search Term,vegetarian restaurants
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,52
2016-12-03,54
2016-12-10,58
2016-12-17,62
2016-12-24,74
2016-12-31,72
2017-01-07,66
2017-01-14,68
2017-01-21,64
2017-01-28,69
2017-02-04,65
2017-02-11,73
2017-02-18,71
2017-02-25,69
2017-03-04,75
2017-03-11,70
2017-03-18,80
2017-03-25,73
2017-04-01,72
2017-04-08,78
2017-04-15,62
2017-04-22,73
2017-04-29,61
2017-05-06,72
2017-05-13,79
2017-05-20,74
2017-05-27,81
2017-06-03,74
2017-06-10,83
2017-06-17,82
2017-06-24,92
2017-07-01,97
2017-07-08,97
2017-07-15,99
2017-07-22,100
2017-07-29,97
2017-08-05,100
2017-08-12,98
2017-08-19,89
2017-08-26,89
2017-09-02,79
2017-09-09,77
2017-09-16,80
2017-09-23,87
2017-09-30,77
2017-10-07,81
2017-10-14,78
2017-10-21,74
2017-10-28,72
2017-11-04,71
2017-11-11,74
2017-11-18,69
2017-11-25,61
2017-12-02,69
2017-12-09,64
2017-12-16,77
2017-12-23,94
2017-12-30,82
2018-01-06,79
2018-01-13,80
2018-01-20,81
2018-01-27,74
2018-02-03,74
2018-02-10,90
2018-02-17,86
2018-02-24,78
2018-03-03,79
2018-03-10,87
2018-03-17,78
2018-03-24,84
2018-03-31,81
2018-04-07,76
2018-04-14,72
2018-04-21,76
2018-04-28,70
2018-05-05,89
2018-05-12,83
2018-05-19,81
2018-05-26,83
2018-06-02,80
2018-06-09,83
2018-06-16,84
2018-06-23,84
2018-06-30,87
2018-07-07,94
2018-07-14,90
2018-07-21,93
2018-07-28,88
2018-08-04,92
2018-08-11,90
2018-08-18,80
2018-08-25,71
2018-09-01,81
2018-09-08,63
2018-09-15,73
2018-09-22,68
2018-09-29,67
2018-10-06,70
2018-10-13,67
2018-10-20,64
2018-10-27,67
2018-11-03,59
2018-11-10,64
2018-11-17,64
2018-11-24,57
2018-12-01,60
2018-12-08,58
2018-12-15,66
2018-12-22,82
2018-12-29,81
2019-01-05,73
2019-01-12,76
2019-01-19,71
2019-01-26,63
2019-02-02,69
2019-02-09,76
2019-02-16,71
2019-02-23,68
2019-03-02,79
2019-03-09,75
2019-03-16,85
2019-03-23,81
2019-03-30,79
2019-04-06,77
2019-04-13,87
2019-04-20,75
2019-04-27,76
2019-05-04,79
2019-05-11,82
2019-05-18,78
2019-05-25,79
2019-06-01,74
2019-06-08,80
2019-06-15,93
2019-06-22,88
2019-06-29,83
2019-07-06,81
2019-07-13,83
2019-07-20,90
2019-07-27,86
2019-08-03,84
2019-08-10,82
2019-08-17,89
2019-08-24,70
2019-08-31,76
2019-09-07,68
2019-09-14,67
2019-09-21,68
2019-09-28,71
2019-10-05,69
2019-10-12,71
2019-10-19,71
2019-10-26,64
2019-11-02,75
2019-11-09,71
2019-11-16,71
2019-11-23,73
2019-11-30,66
2019-12-07,72
2019-12-14,71
2019-12-21,93
2019-12-28,90
2020-01-04,77
2020-01-11,77
2020-01-18,75
2020-01-25,70
2020-02-01,70
2020-02-08,85
2020-02-15,77
2020-02-22,72
