Search Term,vegan restaurant
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,80
2020-02-01,80
2020-02-08,85
2020-02-15,86
2020-02-22,72
2020-02-29,78
2020-03-07,56
2020-03-14,27
2020-03-21,19
2020-03-28,18
2020-04-04,23
2020-04-11,23
2020-04-18,25
2020-04-25,28
2020-05-02,34
2020-05-09,32
2020-05-16,39
2020-05-23,38
2020-05-30,45
2020-06-06,48
2020-06-13,48
2020-06-20,57
2020-06-27,74
2020-07-04,57
2020-07-11,53
2020-07-18,53
2020-07-25,54
2020-08-01,56
2020-08-08,59
2020-08-15,48
2020-08-22,53
2020-08-29,57
2020-09-05,56
2020-09-12,50
2020-09-19,49
2020-09-26,51
2020-10-03,54
2020-10-10,56
2020-10-17,53
2020-10-24,50
2020-10-31,41
2020-11-07,50
2020-11-14,45
2020-11-21,37
2020-11-28,39
2020-12-05,42
2020-12-12,39
2020-12-19,47
2020-12-26,54
2021-01-02,49
2021-01-09,52
2021-01-16,55
2021-01-23,51
2021-01-30,50
2021-02-06,54
2021-02-13,53
2021-02-20,51
2021-02-27,55
2021-03-06,53
2021-03-13,62
2021-03-20,61
2021-03-27,64
2021-04-03,61
2021-04-10,61
2021-04-17,67
2021-04-24,63
2021-05-01,76
2021-05-08,70
2021-05-15,78
2021-05-22,65
2021-05-29,77
2021-06-05,72
2021-06-12,80
2021-06-19,72
2021-06-26,79
2021-07-03,84
2021-07-10,80
2021-07-17,74
2021-07-24,69
2021-07-31,70
2021-08-07,68
2021-08-14,67
2021-08-21,63
2021-08-28,61
2021-09-04,66
2021-09-11,65
2021-09-18,63
2021-09-25,59
2021-10-02,60
2021-10-09,61
2021-10-16,66
2021-10-23,62
2021-10-30,66
2021-11-06,66
2021-11-13,61
2021-11-20,66
2021-11-27,55
2021-12-04,61
2021-12-11,63
2021-12-18,62
2021-12-25,66
2022-01-01,60
2022-01-08,62
2022-01-15,60
2022-01-22,56
2022-01-29,66
2022-02-05,73
2022-02-12,77
2022-02-19,79
2022-02-26,73
2022-03-05,83
2022-03-12,89
2022-03-19,100
2022-03-26,82
2022-04-02,85
2022-04-09,82
2022-04-16,75
2022-04-23,76
2022-04-30,78
2022-05-07,74
2022-05-14,70
2022-05-21,74
2022-05-28,74
2022-06-04,74
2022-06-11,71
2022-06-18,78
2022-06-25,73
2022-07-02,76
2022-07-09,77
2022-07-16,75
2022-07-23,72
2022-07-30,78
2022-08-06,73
2022-08-13,78
2022-08-20,76
2022-08-27,74
2022-09-03,63
2022-09-10,62
2022-09-17,61
2022-09-24,58
2022-10-01,64
2022-10-08,71
2022-10-15,59
2022-10-22,60
2022-10-29,60
2022-11-05,59
2022-11-12,56
2022-11-19,58
2022-11-26,52
2022-12-03,55
2022-12-10,57
2022-12-17,62
2022-12-24,70
2022-12-31,72
2023-01-07,69
2023-01-14,71
2023-01-21,61
2023-01-28,68
2023-02-04,68
2023-02-11,69
2023-02-18,65
2023-02-25,59
2023-03-04,70
2023-03-11,59
2023-03-18,68
2023-03-25,73
2023-04-01,61
2023-04-08,63
2023-04-15,68
2023-04-22,59
2023-04-29,58
2023-05-06,66
2023-05-13,65
2023-05-20,61
2023-05-27,66
2023-06-03,66
2023-06-10,67
2023-06-17,71
2023-06-24,65
2023-07-01,74
2023-07-08,65
2023-07-15,66
2023-07-22,66
2023-07-29,61
2023-08-05,62
2023-08-12,61
2023-08-19,59
2023-08-26,57
2023-09-02,64
2023-09-09,51
2023-09-16,58
2023-09-23,49
2023-09-30,56
2023-10-07,53
2023-10-14,56
2023-10-21,49
2023-10-28,54
2023-11-04,54
2023-11-11,51
2023-11-18,54
2023-11-25,48
2023-12-02,52
2023-12-09,51
2023-12-16,57
2023-12-23,58
2023-12-30,70
2024-01-06,74
2024-01-13,61
2024-01-20,56
2024-01-27,59
2024-02-03,57
2024-02-10,59
2024-02-17,60
2024-02-24,58
2024-03-02,52
2024-03-09,56
2024-03-16,53
2024-03-23,59
2024-03-30,56
2024-04-06,57
2024-04-13,56
2024-04-20,57
2024-04-27,54
2024-05-04,60
2024-05-11,53
2024-05-18,56
2024-05-25,53
