Search Term,vegetarian recipe
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,35
2008-12-06,37
2008-12-13,41
2008-12-20,56
2008-12-27,60
2009-01-03,49
2009-01-10,43
2009-01-17,40
2009-01-24,53
2009-01-31,37
2009-02-07,45
2009-02-14,39
2009-02-21,45
2009-02-28,40
2009-03-07,36
2009-03-14,35
2009-03-21,32
2009-03-28,31
2009-04-04,42
2009-04-11,30
2009-04-18,31
2009-04-25,33
2009-05-02,35
2009-05-09,39
2009-05-16,32
2009-05-23,36
2009-05-30,34
2009-06-06,35
2009-06-13,38
2009-06-20,39
2009-06-27,39
2009-07-04,32
2009-07-11,36
2009-07-18,42
2009-07-25,35
2009-08-01,39
2009-08-08,36
2009-08-15,41
2009-08-22,46
2009-08-29,38
2009-09-05,43
2009-09-12,38
2009-09-19,46
2009-09-26,46
2009-10-03,49
2009-10-10,57
2009-10-17,49
2009-10-24,50
2009-10-31,51
2009-11-07,54
2009-11-14,60
2009-11-21,100
2009-11-28,51
2009-12-05,53
2009-12-12,53
2009-12-19,84
2009-12-26,88
2010-01-02,76
2010-01-09,63
2010-01-16,61
2010-01-23,58
2010-01-30,54
2010-02-06,65
2010-02-13,58
2010-02-20,57
2010-02-27,53
2010-03-06,48
2010-03-13,54
2010-03-20,48
2010-03-27,47
2010-04-03,39
2010-04-10,49
2010-04-17,41
2010-04-24,44
2010-05-01,42
2010-05-08,42
2010-05-15,41
2010-05-22,41
2010-05-29,38
2010-06-05,38
2010-06-12,43
2010-06-19,39
2010-06-26,42
2010-07-03,40
2010-07-10,32
2010-07-17,37
2010-07-24,36
2010-07-31,36
2010-08-07,34
2010-08-14,30
2010-08-21,41
2010-08-28,39
2010-09-04,35
2010-09-11,35
2010-09-18,42
2010-09-25,43
2010-10-02,44
2010-10-09,44
2010-10-16,49
2010-10-23,51
2010-10-30,52
2010-11-06,52
2010-11-13,56
2010-11-20,78
2010-11-27,41
2010-12-04,44
2010-12-11,48
2010-12-18,68
2010-12-25,69
2011-01-01,62
2011-01-08,67
2011-01-15,60
2011-01-22,57
2011-01-29,64
2011-02-05,50
2011-02-12,50
2011-02-19,49
2011-02-26,46
2011-03-05,49
2011-03-12,47
2011-03-19,47
2011-03-26,49
2011-04-02,40
2011-04-09,44
2011-04-16,45
2011-04-23,39
2011-04-30,40
2011-05-07,38
2011-05-14,41
2011-05-21,42
2011-05-28,39
2011-06-04,40
2011-06-11,41
2011-06-18,40
2011-06-25,43
2011-07-02,38
2011-07-09,43
2011-07-16,41
2011-07-23,40
2011-07-30,46
2011-08-06,45
2011-08-13,41
2011-08-20,42
2011-08-27,40
2011-09-03,55
2011-09-10,44
2011-09-17,49
2011-09-24,53
2011-10-01,51
2011-10-08,53
2011-10-15,56
2011-10-22,51
2011-10-29,57
2011-11-05,54
2011-11-12,62
2011-11-19,82
2011-11-26,46
2011-12-03,46
2011-12-10,54
2011-12-17,66
2011-12-24,65
2011-12-31,68
2012-01-07,65
2012-01-14,61
2012-01-21,55
2012-01-28,57
2012-02-04,54
2012-02-11,46
2012-02-18,57
2012-02-25,53
2012-03-03,51
2012-03-10,49
2012-03-17,41
2012-03-24,48
2012-03-31,49
2012-04-07,42
2012-04-14,36
2012-04-21,44
2012-04-28,42
2012-05-05,45
2012-05-12,44
2012-05-19,46
2012-05-26,45
2012-06-02,45
2012-06-09,44
2012-06-16,40
2012-06-23,42
2012-06-30,41
2012-07-07,43
2012-07-14,45
2012-07-21,44
2012-07-28,43
2012-08-04,44
2012-08-11,46
2012-08-18,42
2012-08-25,39
2012-09-01,48
2012-09-08,43
2012-09-15,44
2012-09-22,50
2012-09-29,53
2012-10-06,53
2012-10-13,49
2012-10-20,47
2012-10-27,48
2012-11-03,48
2012-11-10,54
2012-11-17,73
2012-11-24,41
2012-12-01,45
2012-12-08,47
2012-12-15,53
2012-12-22,64
2012-12-29,78
