,Search Term,plant based restaurants near me
206,2020-11-07,0.0
207,2020-11-14,24.53478260869565
208,2020-11-21,23.791304347826085
209,2020-11-28,0.0
210,2020-12-05,34.199999999999996
211,2020-12-12,38.66086956521739
212,2020-12-19,0.0
213,2020-12-26,34.199999999999996
214,2021-01-02,35.68695652173913
215,2021-01-09,26.021739130434778
216,2021-01-16,28.99565217391304
217,2021-01-23,32.713043478260865
218,2021-01-30,49.0695652173913
219,2021-02-06,0.0
220,2021-02-13,28.252173913043478
221,2021-02-20,55.760869565217384
222,2021-02-27,0.0
223,2021-03-06,37.17391304347826
224,2021-03-13,30.482608695652168
225,2021-03-20,37.17391304347826
226,2021-03-27,33.45652173913043
227,2021-04-03,34.94347826086956
228,2021-04-10,38.66086956521739
229,2021-04-17,49.813043478260866
230,2021-04-24,44.60869565217391
231,2021-05-01,34.94347826086956
232,2021-05-08,39.404347826086955
233,2021-05-15,31.9695652173913
234,2021-05-22,33.45652173913043
235,2021-05-29,31.226086956521737
236,2021-06-05,37.17391304347826
237,2021-06-12,34.94347826086956
238,2021-06-19,0.0
239,2021-06-26,40.891304347826086
240,2021-07-03,29.739130434782606
241,2021-07-10,58.734782608695646
242,2021-07-17,47.58260869565217
243,2021-07-24,49.0695652173913
244,2021-07-31,54.27391304347825
245,2021-08-07,39.404347826086955
246,2021-08-14,49.0695652173913
247,2021-08-21,27.50869565217391
248,2021-08-28,37.91739130434782
249,2021-09-04,40.891304347826086
250,2021-09-11,44.60869565217391
251,2021-09-18,31.226086956521737
252,2021-09-25,41.634782608695645
253,2021-10-02,30.482608695652168
254,2021-10-09,37.91739130434782
255,2021-10-16,0.0
256,2021-10-23,33.45652173913043
257,2021-10-30,44.60869565217391
258,2021-11-06,43.121739130434776
259,2021-11-13,0.0
260,2021-11-20,0.0
261,2021-11-27,0.0
262,2021-12-04,39.404347826086955
263,2021-12-11,30.482608695652168
264,2021-12-18,27.50869565217391
265,2021-12-25,34.199999999999996
266,2022-01-01,46.09565217391304
267,2022-01-08,37.17391304347826
268,2022-01-15,57.24782608695651
269,2022-01-22,0.0
270,2022-01-29,38.66086956521739
271,2022-02-05,55.01739130434782
272,2022-02-12,35.68695652173913
273,2022-02-19,27.50869565217391
274,2022-02-26,46.839130434782604
275,2022-03-05,38.66086956521739
276,2022-03-12,48.326086956521735
277,2022-03-19,39.404347826086955
278,2022-03-26,31.226086956521737
279,2022-04-02,26.021739130434778
280,2022-04-09,25.278260869565216
281,2022-04-16,34.199999999999996
282,2022-04-23,30.482608695652168
283,2022-04-30,40.14782608695652
284,2022-05-07,38.66086956521739
285,2022-05-14,22.304347826086953
286,2022-05-21,23.04782608695652
287,2022-05-28,22.304347826086953
288,2022-06-04,0.0
289,2022-06-11,0.0
290,2022-06-18,33.45652173913043
291,2022-06-25,44.60869565217391
292,2022-07-02,0.0
293,2022-07-09,25.278260869565216
294,2022-07-16,41.634782608695645
295,2022-07-23,39.404347826086955
296,2022-07-30,29.739130434782606
297,2022-08-06,31.226086956521737
298,2022-08-13,26.765217391304347
299,2022-08-20,39.404347826086955
300,2022-08-27,26.765217391304347
301,2022-09-03,0.0
302,2022-09-10,24.53478260869565
303,2022-09-17,34.199999999999996
304,2022-09-24,43.86521739130435
305,2022-10-01,23.791304347826085
306,2022-10-08,26.765217391304347
307,2022-10-15,23.791304347826085
308,2022-10-22,0.0
309,2022-10-29,23.791304347826085
310,2022-11-05,25.278260869565216
311,2022-11-12,0.0
312,2022-11-19,0.0
313,2022-11-26,0.0
314,2022-12-03,33.45652173913043
315,2022-12-10,34.199999999999996
316,2022-12-17,26.021739130434778
317,2022-12-24,0.0
318,2022-12-31,23.791304347826085
319,2023-01-07,27.50869565217391
320,2023-01-14,27.50869565217391
321,2023-01-21,37.91739130434782
322,2023-01-28,25.278260869565216
323,2023-02-04,26.021739130434778
324,2023-02-11,27.50869565217391
325,2023-02-18,0.0
326,2023-02-25,31.226086956521737
327,2023-03-04,25.278260869565216
328,2023-03-11,26.765217391304347
329,2023-03-18,36.43043478260869
330,2023-03-25,0.0
331,2023-04-01,31.9695652173913
332,2023-04-08,45.35217391304347
333,2023-04-15,0.0
334,2023-04-22,23.791304347826085
335,2023-04-29,26.021739130434778
336,2023-05-06,42.37826086956522
337,2023-05-13,26.765217391304347
338,2023-05-20,26.021739130434778
339,2023-05-27,31.226086956521737
340,2023-06-03,31.226086956521737
341,2023-06-10,31.226086956521737
342,2023-06-17,39.404347826086955
343,2023-06-24,29.739130434782606
344,2023-07-01,25.278260869565216
345,2023-07-08,0.0
346,2023-07-15,26.765217391304347
347,2023-07-22,28.252173913043478
348,2023-07-29,49.0695652173913
349,2023-08-05,0.0
350,2023-08-12,35.68695652173913
