Search Term,vegan diet plan
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,49
2012-12-01,35
2012-12-08,47
2012-12-15,41
2012-12-22,57
2012-12-29,57
2013-01-05,49
2013-01-12,35
2013-01-19,45
2013-01-26,52
2013-02-02,50
2013-02-09,35
2013-02-16,39
2013-02-23,40
2013-03-02,35
2013-03-09,39
2013-03-16,38
2013-03-23,45
2013-03-30,44
2013-04-06,49
2013-04-13,47
2013-04-20,58
2013-04-27,42
2013-05-04,49
2013-05-11,25
2013-05-18,50
2013-05-25,43
2013-06-01,35
2013-06-08,35
2013-06-15,30
2013-06-22,41
2013-06-29,35
2013-07-06,39
2013-07-13,33
2013-07-20,37
2013-07-27,36
2013-08-03,42
2013-08-10,39
2013-08-17,52
2013-08-24,39
2013-08-31,32
2013-09-07,36
2013-09-14,40
2013-09-21,41
2013-09-28,28
2013-10-05,43
2013-10-12,28
2013-10-19,24
2013-10-26,39
2013-11-02,37
2013-11-09,23
2013-11-16,25
2013-11-23,23
2013-11-30,49
2013-12-07,42
2013-12-14,30
2013-12-21,45
2013-12-28,84
2014-01-04,62
2014-01-11,58
2014-01-18,51
2014-01-25,93
2014-02-01,56
2014-02-08,60
2014-02-15,64
2014-02-22,54
2014-03-01,57
2014-03-08,55
2014-03-15,62
2014-03-22,54
2014-03-29,54
2014-04-05,44
2014-04-12,55
2014-04-19,54
2014-04-26,56
2014-05-03,36
2014-05-10,54
2014-05-17,65
2014-05-24,34
2014-05-31,54
2014-06-07,33
2014-06-14,47
2014-06-21,35
2014-06-28,41
2014-07-05,67
2014-07-12,42
2014-07-19,53
2014-07-26,51
2014-08-02,31
2014-08-09,40
2014-08-16,33
2014-08-23,51
2014-08-30,33
2014-09-06,42
2014-09-13,31
2014-09-20,41
2014-09-27,32
2014-10-04,45
2014-10-11,41
2014-10-18,29
2014-10-25,28
2014-11-01,43
2014-11-08,35
2014-11-15,27
2014-11-22,23
2014-11-29,21
2014-12-06,36
2014-12-13,24
2014-12-20,29
2014-12-27,47
2015-01-03,34
2015-01-10,37
2015-01-17,53
2015-01-24,31
2015-01-31,69
2015-02-07,39
2015-02-14,50
2015-02-21,47
2015-02-28,19
2015-03-07,26
2015-03-14,43
2015-03-21,31
2015-03-28,22
2015-04-04,50
2015-04-11,46
2015-04-18,37
2015-04-25,30
2015-05-02,54
2015-05-09,40
2015-05-16,31
2015-05-23,53
2015-05-30,36
2015-06-06,100
2015-06-13,31
2015-06-20,55
2015-06-27,34
2015-07-04,40
2015-07-11,33
2015-07-18,59
2015-07-25,47
2015-08-01,35
2015-08-08,44
2015-08-15,31
2015-08-22,32
2015-08-29,38
2015-09-05,36
2015-09-12,33
2015-09-19,44
2015-09-26,45
2015-10-03,31
2015-10-10,40
2015-10-17,33
2015-10-24,26
2015-10-31,43
2015-11-07,45
2015-11-14,30
2015-11-21,46
2015-11-28,33
2015-12-05,27
2015-12-12,27
2015-12-19,37
2015-12-26,57
2016-01-02,45
2016-01-09,35
2016-01-16,39
2016-01-23,47
2016-01-30,36
2016-02-06,43
2016-02-13,50
2016-02-20,51
2016-02-27,62
2016-03-05,48
2016-03-12,39
2016-03-19,57
2016-03-26,47
2016-04-02,54
2016-04-09,47
2016-04-16,42
2016-04-23,45
2016-04-30,46
2016-05-07,31
2016-05-14,58
2016-05-21,46
2016-05-28,53
2016-06-04,45
2016-06-11,40
2016-06-18,45
2016-06-25,45
2016-07-02,39
2016-07-09,38
2016-07-16,51
2016-07-23,35
2016-07-30,53
2016-08-06,45
2016-08-13,25
2016-08-20,41
2016-08-27,38
2016-09-03,49
2016-09-10,37
2016-09-17,29
2016-09-24,28
2016-10-01,36
2016-10-08,28
2016-10-15,34
2016-10-22,29
2016-10-29,22
2016-11-05,33
2016-11-12,35
2016-11-19,47
2016-11-26,50
2016-12-03,23
2016-12-10,36
2016-12-17,39
2016-12-24,49
2016-12-31,61
