Search Term,vegetarian diet plan
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,42
2012-12-01,32
2012-12-08,58
2012-12-15,46
2012-12-22,59
2012-12-29,65
2013-01-05,52
2013-01-12,50
2013-01-19,57
2013-01-26,57
2013-02-02,72
2013-02-09,50
2013-02-16,55
2013-02-23,57
2013-03-02,44
2013-03-09,45
2013-03-16,41
2013-03-23,65
2013-03-30,80
2013-04-06,80
2013-04-13,61
2013-04-20,55
2013-04-27,53
2013-05-04,45
2013-05-11,85
2013-05-18,54
2013-05-25,56
2013-06-01,69
2013-06-08,58
2013-06-15,60
2013-06-22,57
2013-06-29,64
2013-07-06,60
2013-07-13,37
2013-07-20,56
2013-07-27,55
2013-08-03,46
2013-08-10,62
2013-08-17,46
2013-08-24,49
2013-08-31,63
2013-09-07,47
2013-09-14,39
2013-09-21,56
2013-09-28,55
2013-10-05,41
2013-10-12,42
2013-10-19,57
2013-10-26,44
2013-11-02,36
2013-11-09,43
2013-11-16,47
2013-11-23,30
2013-11-30,32
2013-12-07,48
2013-12-14,44
2013-12-21,45
2013-12-28,100
2014-01-04,67
2014-01-11,67
2014-01-18,68
2014-01-25,62
2014-02-01,58
2014-02-08,55
2014-02-15,52
2014-02-22,47
2014-03-01,59
2014-03-08,49
2014-03-15,56
2014-03-22,60
2014-03-29,27
2014-04-05,70
2014-04-12,81
2014-04-19,55
2014-04-26,52
2014-05-03,67
2014-05-10,75
2014-05-17,62
2014-05-24,52
2014-05-31,51
2014-06-07,62
2014-06-14,50
2014-06-21,55
2014-06-28,59
2014-07-05,48
2014-07-12,53
2014-07-19,55
2014-07-26,34
2014-08-02,47
2014-08-09,42
2014-08-16,47
2014-08-23,46
2014-08-30,47
2014-09-06,29
2014-09-13,48
2014-09-20,46
2014-09-27,62
2014-10-04,44
2014-10-11,47
2014-10-18,37
2014-10-25,57
2014-11-01,42
2014-11-08,34
2014-11-15,38
2014-11-22,45
2014-11-29,31
2014-12-06,33
2014-12-13,45
2014-12-20,56
2014-12-27,87
2015-01-03,51
2015-01-10,47
2015-01-17,49
2015-01-24,40
2015-01-31,30
2015-02-07,52
2015-02-14,49
2015-02-21,40
2015-02-28,62
2015-03-07,41
2015-03-14,53
2015-03-21,74
2015-03-28,52
2015-04-04,89
2015-04-11,54
2015-04-18,67
2015-04-25,54
2015-05-02,57
2015-05-09,36
2015-05-16,43
2015-05-23,64
2015-05-30,57
2015-06-06,71
2015-06-13,57
2015-06-20,66
2015-06-27,49
2015-07-04,68
2015-07-11,50
2015-07-18,44
2015-07-25,48
2015-08-01,43
2015-08-08,69
2015-08-15,49
2015-08-22,72
2015-08-29,82
2015-09-05,50
2015-09-12,33
2015-09-19,53
2015-09-26,37
2015-10-03,55
2015-10-10,45
2015-10-17,47
2015-10-24,50
2015-10-31,40
2015-11-07,54
2015-11-14,66
2015-11-21,32
2015-11-28,37
2015-12-05,54
2015-12-12,62
2015-12-19,43
2015-12-26,82
2016-01-02,67
2016-01-09,57
2016-01-16,44
2016-01-23,43
2016-01-30,49
2016-02-06,63
2016-02-13,54
2016-02-20,63
2016-02-27,56
2016-03-05,52
2016-03-12,42
2016-03-19,56
2016-03-26,45
2016-04-02,57
2016-04-09,61
2016-04-16,49
2016-04-23,38
2016-04-30,47
2016-05-07,50
2016-05-14,38
2016-05-21,51
2016-05-28,58
2016-06-04,54
2016-06-11,38
2016-06-18,57
2016-06-25,47
2016-07-02,57
2016-07-09,51
2016-07-16,45
2016-07-23,67
2016-07-30,46
2016-08-06,51
2016-08-13,41
2016-08-20,48
2016-08-27,54
2016-09-03,40
2016-09-10,50
2016-09-17,27
2016-09-24,42
2016-10-01,41
2016-10-08,20
2016-10-15,35
2016-10-22,34
2016-10-29,41
2016-11-05,41
2016-11-12,43
2016-11-19,32
2016-11-26,62
2016-12-03,43
2016-12-10,42
2016-12-17,34
2016-12-24,53
2016-12-31,71
