Search Term,vegan restaurant
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,45
2008-12-06,47
2008-12-13,53
2008-12-20,44
2008-12-27,62
2009-01-03,35
2009-01-10,53
2009-01-17,43
2009-01-24,29
2009-01-31,40
2009-02-07,41
2009-02-14,39
2009-02-21,42
2009-02-28,28
2009-03-07,48
2009-03-14,41
2009-03-21,29
2009-03-28,47
2009-04-04,34
2009-04-11,59
2009-04-18,58
2009-04-25,37
2009-05-02,45
2009-05-09,44
2009-05-16,42
2009-05-23,38
2009-05-30,42
2009-06-06,31
2009-06-13,48
2009-06-20,38
2009-06-27,36
2009-07-04,47
2009-07-11,47
2009-07-18,55
2009-07-25,40
2009-08-01,71
2009-08-08,43
2009-08-15,46
2009-08-22,46
2009-08-29,35
2009-09-05,38
2009-09-12,35
2009-09-19,46
2009-09-26,32
2009-10-03,46
2009-10-10,40
2009-10-17,41
2009-10-24,44
2009-10-31,45
2009-11-07,54
2009-11-14,41
2009-11-21,36
2009-11-28,44
2009-12-05,38
2009-12-12,53
2009-12-19,45
2009-12-26,63
2010-01-02,71
2010-01-09,37
2010-01-16,48
2010-01-23,58
2010-01-30,45
2010-02-06,68
2010-02-13,50
2010-02-20,43
2010-02-27,75
2010-03-06,50
2010-03-13,48
2010-03-20,54
2010-03-27,59
2010-04-03,62
2010-04-10,40
2010-04-17,47
2010-04-24,37
2010-05-01,59
2010-05-08,50
2010-05-15,59
2010-05-22,64
2010-05-29,56
2010-06-05,53
2010-06-12,58
2010-06-19,58
2010-06-26,75
2010-07-03,65
2010-07-10,63
2010-07-17,69
2010-07-24,49
2010-07-31,54
2010-08-07,62
2010-08-14,49
2010-08-21,42
2010-08-28,46
2010-09-04,56
2010-09-11,54
2010-09-18,47
2010-09-25,61
2010-10-02,39
2010-10-09,48
2010-10-16,39
2010-10-23,24
2010-10-30,49
2010-11-06,48
2010-11-13,56
2010-11-20,51
2010-11-27,41
2010-12-04,35
2010-12-11,47
2010-12-18,57
2010-12-25,83
2011-01-01,55
2011-01-08,60
2011-01-15,67
2011-01-22,52
2011-01-29,58
2011-02-05,72
2011-02-12,67
2011-02-19,69
2011-02-26,64
2011-03-05,80
2011-03-12,70
2011-03-19,83
2011-03-26,64
2011-04-02,75
2011-04-09,74
2011-04-16,74
2011-04-23,71
2011-04-30,67
2011-05-07,78
2011-05-14,62
2011-05-21,69
2011-05-28,76
2011-06-04,82
2011-06-11,84
2011-06-18,67
2011-06-25,67
2011-07-02,72
2011-07-09,72
2011-07-16,75
2011-07-23,79
2011-07-30,68
2011-08-06,71
2011-08-13,71
2011-08-20,68
2011-08-27,57
2011-09-03,64
2011-09-10,73
2011-09-17,68
2011-09-24,70
2011-10-01,77
2011-10-08,69
2011-10-15,72
2011-10-22,70
2011-10-29,71
2011-11-05,78
2011-11-12,53
2011-11-19,76
2011-11-26,61
2011-12-03,63
2011-12-10,51
2011-12-17,54
2011-12-24,79
2011-12-31,82
2012-01-07,81
2012-01-14,69
2012-01-21,83
2012-01-28,70
2012-02-04,74
2012-02-11,72
2012-02-18,72
2012-02-25,78
2012-03-03,75
2012-03-10,73
2012-03-17,80
2012-03-24,74
2012-03-31,79
2012-04-07,79
2012-04-14,65
2012-04-21,77
2012-04-28,68
2012-05-05,78
2012-05-12,65
2012-05-19,83
2012-05-26,100
2012-06-02,66
2012-06-09,81
2012-06-16,88
2012-06-23,81
2012-06-30,81
2012-07-07,91
2012-07-14,97
2012-07-21,85
2012-07-28,89
2012-08-04,83
2012-08-11,94
2012-08-18,84
2012-08-25,75
2012-09-01,71
2012-09-08,70
2012-09-15,64
2012-09-22,78
2012-09-29,73
2012-10-06,75
2012-10-13,70
2012-10-20,48
2012-10-27,56
2012-11-03,68
2012-11-10,67
2012-11-17,69
2012-11-24,63
2012-12-01,63
2012-12-08,55
2012-12-15,65
2012-12-22,92
2012-12-29,85
