Search Term,vegetarian diet plan
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,58
2016-12-03,40
2016-12-10,39
2016-12-17,28
2016-12-24,51
2016-12-31,72
2017-01-07,47
2017-01-14,52
2017-01-21,39
2017-01-28,56
2017-02-04,51
2017-02-11,51
2017-02-18,65
2017-02-25,59
2017-03-04,59
2017-03-11,47
2017-03-18,53
2017-03-25,58
2017-04-01,64
2017-04-08,49
2017-04-15,61
2017-04-22,59
2017-04-29,45
2017-05-06,43
2017-05-13,34
2017-05-20,45
2017-05-27,40
2017-06-03,54
2017-06-10,57
2017-06-17,68
2017-06-24,63
2017-07-01,70
2017-07-08,66
2017-07-15,58
2017-07-22,67
2017-07-29,81
2017-08-05,70
2017-08-12,64
2017-08-19,64
2017-08-26,53
2017-09-02,56
2017-09-09,59
2017-09-16,51
2017-09-23,56
2017-09-30,49
2017-10-07,47
2017-10-14,50
2017-10-21,57
2017-10-28,36
2017-11-04,47
2017-11-11,49
2017-11-18,28
2017-11-25,54
2017-12-02,37
2017-12-09,49
2017-12-16,51
2017-12-23,39
2017-12-30,100
2018-01-06,60
2018-01-13,69
2018-01-20,60
2018-01-27,59
2018-02-03,78
2018-02-10,48
2018-02-17,69
2018-02-24,59
2018-03-03,63
2018-03-10,51
2018-03-17,58
2018-03-24,52
2018-03-31,56
2018-04-07,35
2018-04-14,52
2018-04-21,42
2018-04-28,50
2018-05-05,62
2018-05-12,48
2018-05-19,59
2018-05-26,58
2018-06-02,58
2018-06-09,67
2018-06-16,57
2018-06-23,57
2018-06-30,79
2018-07-07,73
2018-07-14,50
2018-07-21,50
2018-07-28,58
2018-08-04,60
2018-08-11,57
2018-08-18,61
2018-08-25,50
2018-09-01,47
2018-09-08,32
2018-09-15,35
2018-09-22,43
2018-09-29,50
2018-10-06,35
2018-10-13,44
2018-10-20,45
2018-10-27,33
2018-11-03,44
2018-11-10,39
2018-11-17,28
2018-11-24,48
2018-12-01,37
2018-12-08,34
2018-12-15,30
2018-12-22,48
2018-12-29,80
2019-01-05,52
2019-01-12,63
2019-01-19,36
2019-01-26,61
2019-02-02,35
2019-02-09,52
2019-02-16,48
2019-02-23,53
2019-03-02,47
2019-03-09,46
2019-03-16,40
2019-03-23,38
2019-03-30,50
2019-04-06,46
2019-04-13,65
2019-04-20,35
2019-04-27,46
2019-05-04,32
2019-05-11,36
2019-05-18,40
2019-05-25,46
2019-06-01,38
2019-06-08,47
2019-06-15,25
2019-06-22,49
2019-06-29,53
2019-07-06,38
2019-07-13,46
2019-07-20,43
2019-07-27,46
2019-08-03,45
2019-08-10,50
2019-08-17,38
2019-08-24,33
2019-08-31,40
2019-09-07,29
2019-09-14,40
2019-09-21,47
2019-09-28,32
2019-10-05,41
2019-10-12,37
2019-10-19,45
2019-10-26,56
2019-11-02,49
2019-11-09,52
2019-11-16,37
2019-11-23,42
2019-11-30,41
2019-12-07,39
2019-12-14,59
2019-12-21,42
2019-12-28,77
2020-01-04,56
2020-01-11,60
2020-01-18,64
2020-01-25,39
2020-02-01,38
2020-02-08,54
2020-02-15,46
2020-02-22,39
