Search Term,plant based restaurants near me
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,59
2020-02-01,33
2020-02-08,45
2020-02-15,41
2020-02-22,52
2020-02-29,40
2020-03-07,0
2020-03-14,0
2020-03-21,0
2020-03-28,0
2020-04-04,0
2020-04-11,0
2020-04-18,0
2020-04-25,0
2020-05-02,0
2020-05-09,0
2020-05-16,32
2020-05-23,0
2020-05-30,0
2020-06-06,39
2020-06-13,0
2020-06-20,33
2020-06-27,0
2020-07-04,0
2020-07-11,33
2020-07-18,0
2020-07-25,41
2020-08-01,52
2020-08-08,37
2020-08-15,32
2020-08-22,0
2020-08-29,44
2020-09-05,57
2020-09-12,34
2020-09-19,54
2020-09-26,42
2020-10-03,49
2020-10-10,35
2020-10-17,0
2020-10-24,0
2020-10-31,0
2020-11-07,0
2020-11-14,33
2020-11-21,32
2020-11-28,0
2020-12-05,46
2020-12-12,52
2020-12-19,0
2020-12-26,46
2021-01-02,48
2021-01-09,35
2021-01-16,39
2021-01-23,44
2021-01-30,66
2021-02-06,0
2021-02-13,38
2021-02-20,75
2021-02-27,0
2021-03-06,50
2021-03-13,41
2021-03-20,50
2021-03-27,45
2021-04-03,47
2021-04-10,52
2021-04-17,67
2021-04-24,60
2021-05-01,47
2021-05-08,53
2021-05-15,43
2021-05-22,45
2021-05-29,42
2021-06-05,50
2021-06-12,47
2021-06-19,0
2021-06-26,55
2021-07-03,40
2021-07-10,79
2021-07-17,64
2021-07-24,66
2021-07-31,73
2021-08-07,53
2021-08-14,66
2021-08-21,37
2021-08-28,51
2021-09-04,55
2021-09-11,60
2021-09-18,42
2021-09-25,56
2021-10-02,41
2021-10-09,51
2021-10-16,0
2021-10-23,45
2021-10-30,60
2021-11-06,58
2021-11-13,0
2021-11-20,0
2021-11-27,0
2021-12-04,53
2021-12-11,41
2021-12-18,37
2021-12-25,46
2022-01-01,62
2022-01-08,50
2022-01-15,77
2022-01-22,0
2022-01-29,52
2022-02-05,74
2022-02-12,48
2022-02-19,37
2022-02-26,63
2022-03-05,52
2022-03-12,65
2022-03-19,53
2022-03-26,42
2022-04-02,35
2022-04-09,34
2022-04-16,46
2022-04-23,41
2022-04-30,54
2022-05-07,52
2022-05-14,30
2022-05-21,31
2022-05-28,30
2022-06-04,0
2022-06-11,0
2022-06-18,45
2022-06-25,60
2022-07-02,0
2022-07-09,34
2022-07-16,56
2022-07-23,53
2022-07-30,40
2022-08-06,42
2022-08-13,36
2022-08-20,53
2022-08-27,36
2022-09-03,0
2022-09-10,33
2022-09-17,46
2022-09-24,59
2022-10-01,32
2022-10-08,36
2022-10-15,32
2022-10-22,0
2022-10-29,32
2022-11-05,34
2022-11-12,0
2022-11-19,0
2022-11-26,0
2022-12-03,45
2022-12-10,46
2022-12-17,35
2022-12-24,0
2022-12-31,32
2023-01-07,37
2023-01-14,37
2023-01-21,51
2023-01-28,34
2023-02-04,35
2023-02-11,37
2023-02-18,0
2023-02-25,42
2023-03-04,34
2023-03-11,36
2023-03-18,49
2023-03-25,0
2023-04-01,43
2023-04-08,61
2023-04-15,0
2023-04-22,32
2023-04-29,35
2023-05-06,57
2023-05-13,36
2023-05-20,35
2023-05-27,42
2023-06-03,42
2023-06-10,42
2023-06-17,53
2023-06-24,40
2023-07-01,34
2023-07-08,0
2023-07-15,36
2023-07-22,38
2023-07-29,66
2023-08-05,0
2023-08-12,48
2023-08-19,0
2023-08-26,0
2023-09-02,0
2023-09-09,52
2023-09-16,37
2023-09-23,0
2023-09-30,61
2023-10-07,40
2023-10-14,0
2023-10-21,34
2023-10-28,0
2023-11-04,43
2023-11-11,0
2023-11-18,0
2023-11-25,30
2023-12-02,0
2023-12-09,41
2023-12-16,0
2023-12-23,0
2023-12-30,98
2024-01-06,100
2024-01-13,76
2024-01-20,0
2024-01-27,0
2024-02-03,45
2024-02-10,38
2024-02-17,39
2024-02-24,0
2024-03-02,39
2024-03-09,0
2024-03-16,32
2024-03-23,0
2024-03-30,54
2024-04-06,0
2024-04-13,32
2024-04-20,40
2024-04-27,0
2024-05-04,0
2024-05-11,47
2024-05-18,0
2024-05-25,0
