Search Term,vegan near me
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,0
2012-12-01,0
2012-12-08,0
2012-12-15,0
2012-12-22,0
2012-12-29,0
2013-01-05,0
2013-01-12,0
2013-01-19,0
2013-01-26,0
2013-02-02,0
2013-02-09,0
2013-02-16,0
2013-02-23,0
2013-03-02,0
2013-03-09,0
2013-03-16,0
2013-03-23,0
2013-03-30,0
2013-04-06,0
2013-04-13,0
2013-04-20,0
2013-04-27,5
2013-05-04,0
2013-05-11,0
2013-05-18,0
2013-05-25,0
2013-06-01,0
2013-06-08,0
2013-06-15,0
2013-06-22,4
2013-06-29,0
2013-07-06,0
2013-07-13,0
2013-07-20,0
2013-07-27,0
2013-08-03,0
2013-08-10,0
2013-08-17,0
2013-08-24,5
2013-08-31,4
2013-09-07,0
2013-09-14,4
2013-09-21,0
2013-09-28,0
2013-10-05,0
2013-10-12,0
2013-10-19,0
2013-10-26,0
2013-11-02,4
2013-11-09,5
2013-11-16,0
2013-11-23,0
2013-11-30,0
2013-12-07,0
2013-12-14,0
2013-12-21,5
2013-12-28,5
2014-01-04,5
2014-01-11,0
2014-01-18,5
2014-01-25,6
2014-02-01,5
2014-02-08,0
2014-02-15,4
2014-02-22,4
2014-03-01,7
2014-03-08,8
2014-03-15,7
2014-03-22,7
2014-03-29,8
2014-04-05,7
2014-04-12,7
2014-04-19,5
2014-04-26,8
2014-05-03,9
2014-05-10,6
2014-05-17,9
2014-05-24,7
2014-05-31,8
2014-06-07,5
2014-06-14,8
2014-06-21,6
2014-06-28,7
2014-07-05,6
2014-07-12,8
2014-07-19,7
2014-07-26,13
2014-08-02,0
2014-08-09,10
2014-08-16,10
2014-08-23,8
2014-08-30,9
2014-09-06,7
2014-09-13,12
2014-09-20,11
2014-09-27,5
2014-10-04,11
2014-10-11,8
2014-10-18,9
2014-10-25,8
2014-11-01,11
2014-11-08,5
2014-11-15,8
2014-11-22,5
2014-11-29,8
2014-12-06,5
2014-12-13,10
2014-12-20,6
2014-12-27,12
2015-01-03,9
2015-01-10,8
2015-01-17,7
2015-01-24,9
2015-01-31,5
2015-02-07,7
2015-02-14,13
2015-02-21,11
2015-02-28,11
2015-03-07,14
2015-03-14,15
2015-03-21,12
2015-03-28,18
2015-04-04,12
2015-04-11,14
2015-04-18,11
2015-04-25,14
2015-05-02,15
2015-05-09,17
2015-05-16,14
2015-05-23,12
2015-05-30,14
2015-06-06,16
2015-06-13,22
2015-06-20,23
2015-06-27,20
2015-07-04,28
2015-07-11,20
2015-07-18,25
2015-07-25,30
2015-08-01,30
2015-08-08,29
2015-08-15,27
2015-08-22,30
2015-08-29,21
2015-09-05,21
2015-09-12,22
2015-09-19,25
2015-09-26,22
2015-10-03,26
2015-10-10,24
2015-10-17,25
2015-10-24,28
2015-10-31,25
2015-11-07,27
2015-11-14,22
2015-11-21,23
2015-11-28,22
2015-12-05,23
2015-12-12,29
2015-12-19,31
2015-12-26,45
2016-01-02,41
2016-01-09,45
2016-01-16,46
2016-01-23,40
2016-01-30,42
2016-02-06,42
2016-02-13,50
2016-02-20,47
2016-02-27,52
2016-03-05,50
2016-03-12,62
2016-03-19,72
2016-03-26,64
2016-04-02,68
2016-04-09,68
2016-04-16,78
2016-04-23,65
2016-04-30,69
2016-05-07,80
2016-05-14,76
2016-05-21,78
2016-05-28,79
2016-06-04,86
2016-06-11,88
2016-06-18,81
2016-06-25,82
2016-07-02,92
2016-07-09,83
2016-07-16,97
2016-07-23,87
2016-07-30,83
2016-08-06,86
2016-08-13,89
2016-08-20,92
2016-08-27,93
2016-09-03,89
2016-09-10,73
2016-09-17,80
2016-09-24,78
2016-10-01,75
2016-10-08,85
2016-10-15,76
2016-10-22,69
2016-10-29,74
2016-11-05,77
2016-11-12,77
2016-11-19,86
2016-11-26,73
2016-12-03,76
2016-12-10,88
2016-12-17,100
2016-12-24,91
2016-12-31,98
