Search Term,vegetarian recipes
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,88
2020-02-01,84
2020-02-08,83
2020-02-15,84
2020-02-22,81
2020-02-29,76
2020-03-07,71
2020-03-14,61
2020-03-21,69
2020-03-28,74
2020-04-04,91
2020-04-11,77
2020-04-18,80
2020-04-25,84
2020-05-02,91
2020-05-09,89
2020-05-16,79
2020-05-23,82
2020-05-30,74
2020-06-06,83
2020-06-13,77
2020-06-20,74
2020-06-27,79
2020-07-04,83
2020-07-11,84
2020-07-18,77
2020-07-25,76
2020-08-01,79
2020-08-08,72
2020-08-15,67
2020-08-22,68
2020-08-29,70
2020-09-05,75
2020-09-12,74
2020-09-19,64
2020-09-26,70
2020-10-03,74
2020-10-10,76
2020-10-17,80
2020-10-24,70
2020-10-31,63
2020-11-07,76
2020-11-14,82
2020-11-21,70
2020-11-28,68
2020-12-05,72
2020-12-12,73
2020-12-19,77
2020-12-26,100
2021-01-02,91
2021-01-09,85
2021-01-16,82
2021-01-23,78
2021-01-30,77
2021-02-06,72
2021-02-13,80
2021-02-20,72
2021-02-27,69
2021-03-06,69
2021-03-13,66
2021-03-20,66
2021-03-27,68
2021-04-03,58
2021-04-10,58
2021-04-17,63
2021-04-24,57
2021-05-01,61
2021-05-08,55
2021-05-15,57
2021-05-22,59
2021-05-29,59
2021-06-05,53
2021-06-12,57
2021-06-19,58
2021-06-26,59
2021-07-03,58
2021-07-10,58
2021-07-17,56
2021-07-24,55
2021-07-31,57
2021-08-07,53
2021-08-14,52
2021-08-21,59
2021-08-28,54
2021-09-04,54
2021-09-11,50
2021-09-18,56
2021-09-25,54
2021-10-02,57
2021-10-09,54
2021-10-16,55
2021-10-23,57
2021-10-30,56
2021-11-06,57
2021-11-13,62
2021-11-20,59
2021-11-27,54
2021-12-04,53
2021-12-11,55
2021-12-18,58
2021-12-25,70
2022-01-01,93
2022-01-08,79
2022-01-15,66
2022-01-22,72
2022-01-29,65
2022-02-05,67
2022-02-12,66
2022-02-19,68
2022-02-26,66
2022-03-05,68
2022-03-12,61
2022-03-19,64
2022-03-26,61
2022-04-02,62
2022-04-09,65
2022-04-16,51
2022-04-23,52
2022-04-30,55
2022-05-07,49
2022-05-14,50
2022-05-21,50
2022-05-28,52
2022-06-04,53
2022-06-11,58
2022-06-18,55
2022-06-25,55
2022-07-02,56
2022-07-09,54
2022-07-16,55
2022-07-23,53
2022-07-30,55
2022-08-06,54
2022-08-13,52
2022-08-20,50
2022-08-27,50
2022-09-03,50
2022-09-10,47
2022-09-17,49
2022-09-24,49
2022-10-01,52
2022-10-08,50
2022-10-15,52
2022-10-22,46
2022-10-29,54
2022-11-05,57
2022-11-12,62
2022-11-19,55
2022-11-26,52
2022-12-03,50
2022-12-10,51
2022-12-17,55
2022-12-24,58
2022-12-31,68
2023-01-07,63
2023-01-14,53
2023-01-21,56
2023-01-28,52
2023-02-04,53
2023-02-11,47
2023-02-18,52
2023-02-25,52
2023-03-04,54
2023-03-11,54
2023-03-18,49
2023-03-25,49
2023-04-01,52
2023-04-08,40
2023-04-15,44
2023-04-22,44
2023-04-29,44
2023-05-06,42
2023-05-13,41
2023-05-20,42
2023-05-27,42
2023-06-03,42
2023-06-10,44
2023-06-17,39
2023-06-24,44
2023-07-01,42
2023-07-08,45
2023-07-15,39
2023-07-22,41
2023-07-29,40
2023-08-05,39
2023-08-12,40
2023-08-19,44
2023-08-26,42
2023-09-02,44
2023-09-09,43
2023-09-16,43
2023-09-23,42
2023-09-30,39
2023-10-07,39
2023-10-14,39
2023-10-21,45
2023-10-28,44
2023-11-04,46
2023-11-11,47
2023-11-18,45
2023-11-25,44
2023-12-02,44
2023-12-09,44
2023-12-16,51
2023-12-23,49
2023-12-30,75
2024-01-06,72
2024-01-13,66
2024-01-20,55
2024-01-27,49
2024-02-03,51
2024-02-10,50
2024-02-17,50
2024-02-24,47
2024-03-02,43
2024-03-09,45
2024-03-16,42
2024-03-23,42
2024-03-30,39
2024-04-06,38
2024-04-13,39
2024-04-20,37
2024-04-27,40
2024-05-04,39
2024-05-11,35
2024-05-18,35
2024-05-25,36
