,Search Term,plant based recipe
197,2020-09-05,44.91525423728814
198,2020-09-12,41.32203389830509
199,2020-09-19,24.254237288135595
200,2020-09-26,35.03389830508475
201,2020-10-03,34.13559322033898
202,2020-10-10,30.542372881355934
203,2020-10-17,45.813559322033896
204,2020-10-24,47.610169491525426
205,2020-10-31,29.64406779661017
206,2020-11-07,28.74576271186441
207,2020-11-14,42.22033898305085
208,2020-11-21,39.525423728813564
209,2020-11-28,33.237288135593225
210,2020-12-05,32.33898305084746
211,2020-12-12,31.4406779661017
212,2020-12-19,44.91525423728814
213,2020-12-26,52.101694915254235
214,2021-01-02,53.898305084745765
215,2021-01-09,49.406779661016955
216,2021-01-16,40.42372881355932
217,2021-01-23,40.42372881355932
218,2021-01-30,45.813559322033896
219,2021-02-06,38.6271186440678
220,2021-02-13,50.30508474576272
221,2021-02-20,36.83050847457628
222,2021-02-27,35.932203389830505
223,2021-03-06,40.42372881355932
224,2021-03-13,52.101694915254235
225,2021-03-20,40.42372881355932
226,2021-03-27,45.813559322033896
227,2021-04-03,32.33898305084746
228,2021-04-10,35.932203389830505
229,2021-04-17,32.33898305084746
230,2021-04-24,44.016949152542374
231,2021-05-01,46.71186440677966
232,2021-05-08,30.542372881355934
233,2021-05-15,46.71186440677966
234,2021-05-22,43.118644067796616
235,2021-05-29,28.74576271186441
236,2021-06-05,39.525423728813564
237,2021-06-12,29.64406779661017
238,2021-06-19,35.03389830508475
239,2021-06-26,35.03389830508475
240,2021-07-03,28.74576271186441
241,2021-07-10,42.22033898305085
242,2021-07-17,37.728813559322035
243,2021-07-24,32.33898305084746
244,2021-07-31,43.118644067796616
245,2021-08-07,43.118644067796616
246,2021-08-14,44.91525423728814
247,2021-08-21,31.4406779661017
248,2021-08-28,47.610169491525426
249,2021-09-04,32.33898305084746
250,2021-09-11,34.13559322033898
251,2021-09-18,31.4406779661017
252,2021-09-25,27.847457627118644
253,2021-10-02,33.237288135593225
254,2021-10-09,35.932203389830505
255,2021-10-16,35.03389830508475
256,2021-10-23,26.050847457627118
257,2021-10-30,32.33898305084746
258,2021-11-06,35.932203389830505
259,2021-11-13,35.932203389830505
260,2021-11-20,35.932203389830505
261,2021-11-27,49.406779661016955
262,2021-12-04,40.42372881355932
263,2021-12-11,31.4406779661017
264,2021-12-18,42.22033898305085
265,2021-12-25,44.016949152542374
266,2022-01-01,62.8813559322034
267,2022-01-08,64.67796610169492
268,2022-01-15,59.28813559322034
269,2022-01-22,60.186440677966104
270,2022-01-29,51.20338983050847
271,2022-02-05,63.77966101694915
272,2022-02-12,44.016949152542374
273,2022-02-19,47.610169491525426
274,2022-02-26,39.525423728813564
275,2022-03-05,38.6271186440678
276,2022-03-12,39.525423728813564
277,2022-03-19,40.42372881355932
278,2022-03-26,38.6271186440678
279,2022-04-02,44.016949152542374
280,2022-04-09,41.32203389830509
281,2022-04-16,42.22033898305085
282,2022-04-23,36.83050847457628
283,2022-04-30,31.4406779661017
284,2022-05-07,30.542372881355934
285,2022-05-14,47.610169491525426
286,2022-05-21,40.42372881355932
287,2022-05-28,35.932203389830505
288,2022-06-04,35.932203389830505
289,2022-06-11,45.813559322033896
290,2022-06-18,31.4406779661017
291,2022-06-25,31.4406779661017
292,2022-07-02,38.6271186440678
293,2022-07-09,35.932203389830505
294,2022-07-16,48.50847457627119
295,2022-07-23,46.71186440677966
296,2022-07-30,33.237288135593225
297,2022-08-06,41.32203389830509
298,2022-08-13,26.949152542372882
299,2022-08-20,41.32203389830509
300,2022-08-27,39.525423728813564
301,2022-09-03,40.42372881355932
302,2022-09-10,43.118644067796616
303,2022-09-17,44.016949152542374
304,2022-09-24,39.525423728813564
