,Search Term,vegetarian restaurants
0,2003-12-27,0.0
1,2004-01-03,52.64168864844263
2,2004-01-10,0.0
3,2004-01-17,0.0
4,2004-01-24,38.648328374805985
5,2004-01-31,0.0
6,2004-02-07,54.640740116105015
7,2004-02-14,37.3156273963644
8,2004-02-21,37.3156273963644
9,2004-02-28,0.0
10,2004-03-06,0.0
11,2004-03-13,53.30803913766342
12,2004-03-20,0.0
13,2004-03-27,0.0
14,2004-04-03,51.97533815922184
15,2004-04-10,0.0
16,2004-04-17,41.31373033168916
17,2004-04-24,35.31657592870202
18,2004-05-01,0.0
19,2004-05-08,44.64548277779311
20,2004-05-15,43.97913228857232
21,2004-05-22,0.0
22,2004-05-29,0.0
23,2004-06-05,57.30614207298817
24,2004-06-12,34.650225439481225
25,2004-06-19,31.984823482598056
26,2004-06-26,66.63504892207929
27,2004-07-03,54.640740116105015
28,2004-07-10,41.31373033168916
29,2004-07-17,38.648328374805985
30,2004-07-24,54.640740116105015
31,2004-07-31,60.63789451909215
32,2004-08-07,53.974389626884225
33,2004-08-14,34.650225439481225
34,2004-08-21,51.30898767000105
35,2004-08-28,45.9781837562347
36,2004-09-04,33.98387495026043
37,2004-09-11,50.642637180780255
38,2004-09-18,0.0
39,2004-09-25,40.64737984246836
40,2004-10-02,45.31183326701391
41,2004-10-09,45.31183326701391
42,2004-10-16,36.6492769071436
43,2004-10-23,36.6492769071436
44,2004-10-30,26.65401956883171
45,2004-11-06,0.0
46,2004-11-13,36.6492769071436
47,2004-11-20,61.30424500831294
48,2004-11-27,31.984823482598056
49,2004-12-04,28.653071036494087
50,2004-12-11,42.64643131013074
51,2004-12-18,50.642637180780255
52,2004-12-25,42.64643131013074
53,2005-01-01,27.986720547273304
54,2005-01-08,37.3156273963644
55,2005-01-15,30.65212250415647
56,2005-01-22,35.98292641792281
57,2005-01-29,43.97913228857232
58,2005-02-05,43.97913228857232
59,2005-02-12,31.31847299337726
60,2005-02-19,28.653071036494087
61,2005-02-26,35.31657592870202
62,2005-03-05,41.98008082090994
63,2005-03-12,50.642637180780255
64,2005-03-19,57.30614207298817
65,2005-03-26,55.307090605325804
66,2005-04-02,31.31847299337726
67,2005-04-09,41.31373033168916
68,2005-04-16,41.98008082090994
69,2005-04-23,31.984823482598056
70,2005-04-30,45.9781837562347
71,2005-05-07,43.312781799351534
72,2005-05-14,41.31373033168916
73,2005-05-21,41.98008082090994
74,2005-05-28,50.642637180780255
75,2005-06-04,45.31183326701391
76,2005-06-11,41.98008082090994
77,2005-06-18,21.98956614428616
78,2005-06-25,49.97628669155946
79,2005-07-02,53.30803913766342
80,2005-07-09,44.64548277779311
81,2005-07-16,45.9781837562347
82,2005-07-23,41.31373033168916
83,2005-07-30,51.97533815922184
84,2005-08-06,43.312781799351534
85,2005-08-13,53.30803913766342
86,2005-08-20,43.97913228857232
87,2005-08-27,35.31657592870202
88,2005-09-03,24.654968101169334
89,2005-09-10,37.3156273963644
90,2005-09-17,43.312781799351534
91,2005-09-24,41.98008082090994
92,2005-10-01,27.320370058052507
93,2005-10-08,31.31847299337726
94,2005-10-15,39.314678864026774
95,2005-10-22,34.650225439481225
96,2005-10-29,28.653071036494087
97,2005-11-05,36.6492769071436
98,2005-11-12,31.31847299337726
99,2005-11-19,47.31088473467629
100,2005-11-26,29.319421525714883
101,2005-12-03,28.653071036494087
102,2005-12-10,30.65212250415647
103,2005-12-17,33.317524461039646
104,2005-12-24,43.97913228857232
105,2005-12-31,32.65117397181885
106,2006-01-07,33.317524461039646
107,2006-01-14,41.31373033168916
108,2006-01-21,34.650225439481225
109,2006-01-28,27.986720547273304
110,2006-02-04,35.98292641792281
111,2006-02-11,42.64643131013074
112,2006-02-18,27.986720547273304
113,2006-02-25,34.650225439481225
114,2006-03-04,41.98008082090994
115,2006-03-11,37.3156273963644
116,2006-03-18,34.650225439481225
117,2006-03-25,23.98861761194854
118,2006-04-01,32.65117397181885
119,2006-04-08,23.322267122727748
120,2006-04-15,35.31657592870202
121,2006-04-22,42.64643131013074
122,2006-04-29,34.650225439481225
123,2006-05-06,39.314678864026774
124,2006-05-13,33.98387495026043
125,2006-05-20,36.6492769071436
126,2006-05-27,37.98197788558519
127,2006-06-03,36.6492769071436
128,2006-06-10,41.98008082090994
129,2006-06-17,45.9781837562347
130,2006-06-24,33.98387495026043
131,2006-07-01,26.65401956883171
132,2006-07-08,35.98292641792281
133,2006-07-15,51.30898767000105
134,2006-07-22,49.30993620233867
135,2006-07-29,35.98292641792281
136,2006-08-05,36.6492769071436
137,2006-08-12,41.31373033168916
138,2006-08-19,36.6492769071436
139,2006-08-26,31.984823482598056
140,2006-09-02,31.31847299337726
141,2006-09-09,28.653071036494087
142,2006-09-16,25.321318590390128
143,2006-09-23,39.981029353247564
144,2006-09-30,29.98577201493568
145,2006-10-07,25.98766907961092
146,2006-10-14,27.986720547273304
147,2006-10-21,28.653071036494087
148,2006-10-28,27.320370058052507
149,2006-11-04,28.653071036494087
150,2006-11-11,35.98292641792281
151,2006-11-18,30.65212250415647
152,2006-11-25,31.984823482598056
153,2006-12-02,35.31657592870202
154,2006-12-09,35.98292641792281
155,2006-12-16,35.31657592870202
156,2006-12-23,27.320370058052507
157,2006-12-30,41.31373033168916
158,2007-01-06,41.98008082090994
159,2007-01-13,38.648328374805985
160,2007-01-20,39.981029353247564
161,2007-01-27,36.6492769071436
162,2007-02-03,31.984823482598056
163,2007-02-10,39.981029353247564
164,2007-02-17,35.98292641792281
165,2007-02-24,36.6492769071436
166,2007-03-03,29.319421525714883
