Search Term,vegetarian near me
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,29
2016-12-03,29
2016-12-10,33
2016-12-17,39
2016-12-24,41
2016-12-31,45
2017-01-07,43
2017-01-14,38
2017-01-21,36
2017-01-28,36
2017-02-04,33
2017-02-11,39
2017-02-18,40
2017-02-25,42
2017-03-04,41
2017-03-11,39
2017-03-18,43
2017-03-25,46
2017-04-01,43
2017-04-08,51
2017-04-15,43
2017-04-22,48
2017-04-29,40
2017-05-06,48
2017-05-13,52
2017-05-20,50
2017-05-27,58
2017-06-03,50
2017-06-10,49
2017-06-17,56
2017-06-24,67
2017-07-01,67
2017-07-08,69
2017-07-15,73
2017-07-22,63
2017-07-29,71
2017-08-05,71
2017-08-12,71
2017-08-19,73
2017-08-26,71
2017-09-02,66
2017-09-09,67
2017-09-16,72
2017-09-23,74
2017-09-30,70
2017-10-07,67
2017-10-14,66
2017-10-21,60
2017-10-28,61
2017-11-04,58
2017-11-11,57
2017-11-18,58
2017-11-25,49
2017-12-02,51
2017-12-09,49
2017-12-16,58
2017-12-23,65
2017-12-30,68
2018-01-06,64
2018-01-13,64
2018-01-20,70
2018-01-27,67
2018-02-03,61
2018-02-10,67
2018-02-17,72
2018-02-24,69
2018-03-03,76
2018-03-10,75
2018-03-17,69
2018-03-24,74
2018-03-31,69
2018-04-07,59
2018-04-14,60
2018-04-21,64
2018-04-28,59
2018-05-05,65
2018-05-12,61
2018-05-19,67
2018-05-26,70
2018-06-02,79
2018-06-09,81
2018-06-16,80
2018-06-23,78
2018-06-30,80
2018-07-07,83
2018-07-14,84
2018-07-21,79
2018-07-28,85
2018-08-04,91
2018-08-11,83
2018-08-18,72
2018-08-25,76
2018-09-01,78
2018-09-08,63
2018-09-15,77
2018-09-22,72
2018-09-29,70
2018-10-06,68
2018-10-13,75
2018-10-20,70
2018-10-27,64
2018-11-03,62
2018-11-10,65
2018-11-17,67
2018-11-24,58
2018-12-01,59
2018-12-08,60
2018-12-15,61
2018-12-22,82
2018-12-29,81
2019-01-05,68
2019-01-12,66
2019-01-19,68
2019-01-26,61
2019-02-02,64
2019-02-09,63
2019-02-16,74
2019-02-23,64
2019-03-02,74
2019-03-09,74
2019-03-16,74
2019-03-23,78
2019-03-30,83
2019-04-06,86
2019-04-13,83
2019-04-20,79
2019-04-27,75
2019-05-04,77
2019-05-11,81
2019-05-18,84
2019-05-25,88
2019-06-01,82
2019-06-08,82
2019-06-15,95
2019-06-22,93
2019-06-29,95
2019-07-06,84
2019-07-13,89
2019-07-20,94
2019-07-27,98
2019-08-03,92
2019-08-10,88
2019-08-17,89
2019-08-24,81
2019-08-31,81
2019-09-07,72
2019-09-14,83
2019-09-21,79
2019-09-28,78
2019-10-05,80
2019-10-12,77
2019-10-19,80
2019-10-26,82
2019-11-02,85
2019-11-09,81
2019-11-16,80
2019-11-23,82
2019-11-30,71
2019-12-07,76
2019-12-14,77
2019-12-21,93
2019-12-28,100
2020-01-04,86
2020-01-11,89
2020-01-18,91
2020-01-25,74
2020-02-01,75
2020-02-08,83
2020-02-15,81
2020-02-22,80
