Search Term,vegan restaurants
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,89
2020-02-01,85
2020-02-08,100
2020-02-15,98
2020-02-22,83
2020-02-29,84
2020-03-07,65
2020-03-14,24
2020-03-21,15
2020-03-28,15
2020-04-04,18
2020-04-11,18
2020-04-18,20
2020-04-25,22
2020-05-02,28
2020-05-09,34
2020-05-16,36
2020-05-23,37
2020-05-30,49
2020-06-06,58
2020-06-13,65
2020-06-20,65
2020-06-27,62
2020-07-04,65
2020-07-11,58
2020-07-18,58
2020-07-25,62
2020-08-01,60
2020-08-08,65
2020-08-15,61
2020-08-22,58
2020-08-29,67
2020-09-05,62
2020-09-12,55
2020-09-19,53
2020-09-26,55
2020-10-03,60
2020-10-10,61
2020-10-17,54
2020-10-24,48
2020-10-31,42
2020-11-07,48
2020-11-14,49
2020-11-21,42
2020-11-28,40
2020-12-05,41
2020-12-12,43
2020-12-19,45
2020-12-26,57
2021-01-02,50
2021-01-09,56
2021-01-16,56
2021-01-23,51
2021-01-30,51
2021-02-06,58
2021-02-13,57
2021-02-20,64
2021-02-27,62
2021-03-06,66
2021-03-13,71
2021-03-20,71
2021-03-27,76
2021-04-03,79
2021-04-10,69
2021-04-17,78
2021-04-24,78
2021-05-01,81
2021-05-08,81
2021-05-15,83
2021-05-22,88
2021-05-29,85
2021-06-05,88
2021-06-12,94
2021-06-19,91
2021-06-26,89
2021-07-03,96
2021-07-10,95
2021-07-17,89
2021-07-24,91
2021-07-31,89
2021-08-07,85
2021-08-14,83
2021-08-21,78
2021-08-28,74
2021-09-04,77
2021-09-11,71
2021-09-18,69
2021-09-25,70
2021-10-02,73
2021-10-09,73
2021-10-16,69
2021-10-23,60
2021-10-30,66
2021-11-06,70
2021-11-13,66
2021-11-20,61
2021-11-27,55
2021-12-04,65
2021-12-11,62
2021-12-18,63
2021-12-25,68
2022-01-01,63
2022-01-08,64
2022-01-15,63
2022-01-22,58
2022-01-29,64
2022-02-05,77
2022-02-12,83
2022-02-19,81
2022-02-26,80
2022-03-05,77
2022-03-12,91
2022-03-19,85
2022-03-26,79
2022-04-02,80
2022-04-09,82
2022-04-16,77
2022-04-23,72
2022-04-30,73
2022-05-07,73
2022-05-14,68
2022-05-21,72
2022-05-28,74
2022-06-04,71
2022-06-11,76
2022-06-18,78
2022-06-25,74
2022-07-02,80
2022-07-09,72
2022-07-16,73
2022-07-23,71
2022-07-30,75
2022-08-06,76
2022-08-13,69
2022-08-20,69
2022-08-27,66
2022-09-03,63
2022-09-10,58
2022-09-17,57
2022-09-24,56
2022-10-01,62
2022-10-08,65
2022-10-15,59
2022-10-22,57
2022-10-29,55
2022-11-05,55
2022-11-12,53
2022-11-19,54
2022-11-26,50
2022-12-03,56
2022-12-10,57
2022-12-17,58
2022-12-24,70
2022-12-31,65
2023-01-07,66
2023-01-14,67
2023-01-21,58
2023-01-28,58
2023-02-04,61
2023-02-11,63
2023-02-18,64
2023-02-25,61
2023-03-04,66
2023-03-11,64
2023-03-18,62
2023-03-25,63
2023-04-01,62
2023-04-08,60
2023-04-15,58
2023-04-22,57
2023-04-29,57
2023-05-06,65
2023-05-13,62
2023-05-20,67
2023-05-27,66
2023-06-03,63
2023-06-10,68
2023-06-17,70
2023-06-24,66
2023-07-01,75
2023-07-08,71
2023-07-15,67
2023-07-22,67
2023-07-29,61
2023-08-05,62
2023-08-12,63
2023-08-19,60
2023-08-26,57
2023-09-02,59
2023-09-09,50
2023-09-16,53
2023-09-23,51
2023-09-30,55
2023-10-07,49
2023-10-14,54
2023-10-21,46
2023-10-28,45
2023-11-04,49
2023-11-11,48
2023-11-18,48
2023-11-25,43
2023-12-02,45
2023-12-09,48
2023-12-16,50
2023-12-23,57
2023-12-30,70
2024-01-06,66
2024-01-13,62
2024-01-20,62
2024-01-27,53
2024-02-03,53
2024-02-10,61
2024-02-17,54
2024-02-24,51
2024-03-02,47
2024-03-09,52
2024-03-16,52
2024-03-23,58
2024-03-30,52
2024-04-06,50
2024-04-13,52
2024-04-20,46
2024-04-27,51
2024-05-04,53
2024-05-11,51
2024-05-18,49
2024-05-25,51
