Search Term,food
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,79
2008-12-06,83
2008-12-13,82
2008-12-20,82
2008-12-27,80
2009-01-03,78
2009-01-10,77
2009-01-17,78
2009-01-24,84
2009-01-31,82
2009-02-07,82
2009-02-14,79
2009-02-21,82
2009-02-28,75
2009-03-07,78
2009-03-14,80
2009-03-21,78
2009-03-28,78
2009-04-04,80
2009-04-11,74
2009-04-18,77
2009-04-25,75
2009-05-02,79
2009-05-09,78
2009-05-16,73
2009-05-23,69
2009-05-30,72
2009-06-06,73
2009-06-13,73
2009-06-20,67
2009-06-27,75
2009-07-04,69
2009-07-11,73
2009-07-18,72
2009-07-25,73
2009-08-01,76
2009-08-08,73
2009-08-15,75
2009-08-22,72
2009-08-29,73
2009-09-05,75
2009-09-12,73
2009-09-19,73
2009-09-26,76
2009-10-03,80
2009-10-10,81
2009-10-17,80
2009-10-24,80
2009-10-31,79
2009-11-07,82
2009-11-14,83
2009-11-21,91
2009-11-28,76
2009-12-05,79
2009-12-12,81
2009-12-19,77
2009-12-26,76
2010-01-02,81
2010-01-09,79
2010-01-16,78
2010-01-23,76
2010-01-30,80
2010-02-06,76
2010-02-13,78
2010-02-20,81
2010-02-27,75
2010-03-06,79
2010-03-13,80
2010-03-20,79
2010-03-27,81
2010-04-03,75
2010-04-10,76
2010-04-17,80
2010-04-24,76
2010-05-01,77
2010-05-08,79
2010-05-15,78
2010-05-22,73
2010-05-29,72
2010-06-05,72
2010-06-12,72
2010-06-19,69
2010-06-26,70
2010-07-03,70
2010-07-10,69
2010-07-17,73
2010-07-24,72
2010-07-31,72
2010-08-07,73
2010-08-14,76
2010-08-21,71
2010-08-28,70
2010-09-04,72
2010-09-11,75
2010-09-18,76
2010-09-25,74
2010-10-02,77
2010-10-09,76
2010-10-16,82
2010-10-23,76
2010-10-30,78
2010-11-06,80
2010-11-13,86
2010-11-20,85
2010-11-27,74
2010-12-04,77
2010-12-11,77
2010-12-18,79
2010-12-25,78
2011-01-01,87
2011-01-08,85
2011-01-15,83
2011-01-22,87
2011-01-29,92
2011-02-05,85
2011-02-12,83
2011-02-19,86
2011-02-26,87
2011-03-05,90
2011-03-12,81
2011-03-19,88
2011-03-26,88
2011-04-02,83
2011-04-09,85
2011-04-16,86
2011-04-23,82
2011-04-30,87
2011-05-07,91
2011-05-14,89
2011-05-21,83
2011-05-28,88
2011-06-04,91
2011-06-11,86
2011-06-18,87
2011-06-25,88
2011-07-02,84
2011-07-09,85
2011-07-16,87
2011-07-23,85
2011-07-30,88
2011-08-06,86
2011-08-13,89
2011-08-20,85
2011-08-27,85
2011-09-03,90
2011-09-10,86
2011-09-17,89
2011-09-24,88
2011-10-01,89
2011-10-08,87
2011-10-15,89
2011-10-22,87
2011-10-29,88
2011-11-05,88
2011-11-12,90
2011-11-19,91
2011-11-26,87
2011-12-03,89
2011-12-10,88
2011-12-17,90
2011-12-24,86
2011-12-31,88
2012-01-07,89
2012-01-14,85
2012-01-21,88
2012-01-28,87
2012-02-04,81
2012-02-11,87
2012-02-18,89
2012-02-25,92
2012-03-03,93
2012-03-10,88
2012-03-17,92
2012-03-24,88
2012-03-31,95
2012-04-07,89
2012-04-14,91
2012-04-21,90
2012-04-28,89
2012-05-05,95
2012-05-12,92
2012-05-19,90
2012-05-26,92
2012-06-02,93
2012-06-09,92
2012-06-16,86
2012-06-23,88
2012-06-30,95
2012-07-07,87
2012-07-14,97
2012-07-21,93
2012-07-28,90
2012-08-04,86
2012-08-11,91
2012-08-18,89
2012-08-25,91
2012-09-01,92
2012-09-08,92
2012-09-15,93
2012-09-22,89
2012-09-29,95
2012-10-06,92
2012-10-13,90
2012-10-20,91
2012-10-27,84
2012-11-03,92
2012-11-10,100
2012-11-17,99
2012-11-24,86
2012-12-01,91
2012-12-08,88
2012-12-15,87
2012-12-22,93
2012-12-29,93
