,Search Term,food near me
178,2012-04-28,0.7056905032838443
179,2012-05-05,0.8019210264589139
180,2012-05-12,0.8339978675172703
181,2012-05-19,0.9141899701631617
182,2012-05-26,0.9623052317506967
183,2012-06-02,0.978343652279875
184,2012-06-09,1.0104204933382315
185,2012-06-16,1.0424973343965882
186,2012-06-23,1.1066510165133012
187,2012-06-30,1.3151504833926189
188,2012-07-07,1.1708046986300142
189,2012-07-14,1.2189199602175491
190,2012-07-21,1.2830736423342624
191,2012-07-28,1.2991120628634405
192,2012-08-04,1.2349583807467275
193,2012-08-11,1.2991120628634405
194,2012-08-18,1.3311889039217972
195,2012-08-25,1.2349583807467275
196,2012-09-01,1.2830736423342624
197,2012-09-08,1.154766278100836
198,2012-09-15,1.1868431191591926
199,2012-09-22,1.1387278575716577
200,2012-09-29,1.2349583807467275
201,2012-10-06,1.0585357549257663
202,2012-10-13,1.0906125959841229
203,2012-10-20,1.0906125959841229
204,2012-10-27,1.1226894370424796
205,2012-11-03,1.0906125959841229
206,2012-11-10,1.0906125959841229
207,2012-11-17,1.0264589138674098
208,2012-11-24,0.8819206680584551
209,2012-12-01,0.8819206680584551
210,2012-12-08,0.8819206680584551
211,2012-12-15,0.8819206680584551
212,2012-12-22,1.1758942240779402
213,2012-12-29,1.1758942240779402
214,2013-01-05,0.8819206680584551
215,2013-01-12,0.8819206680584551
216,2013-01-19,1.1758942240779402
217,2013-01-26,0.8819206680584551
218,2013-02-02,0.8819206680584551
219,2013-02-09,0.8819206680584551
220,2013-02-16,1.1758942240779402
221,2013-02-23,0.8819206680584551
222,2013-03-02,1.1758942240779402
223,2013-03-09,1.1758942240779402
224,2013-03-16,1.1758942240779402
225,2013-03-23,1.1758942240779402
226,2013-03-30,1.1758942240779402
227,2013-04-06,1.1758942240779402
228,2013-04-13,1.1758942240779402
229,2013-04-20,1.1758942240779402
230,2013-04-27,1.1758942240779402
231,2013-05-04,1.1758942240779402
232,2013-05-11,1.4698677800974251
233,2013-05-18,1.4698677800974251
234,2013-05-25,1.7638413361169103
235,2013-06-01,1.7638413361169103
236,2013-06-08,1.7638413361169103
237,2013-06-15,2.0578148921363955
238,2013-06-22,2.0578148921363955
239,2013-06-29,2.3517884481558804
240,2013-07-06,2.0578148921363955
241,2013-07-13,2.3517884481558804
242,2013-07-20,2.3517884481558804
243,2013-07-27,2.6457620041753653
244,2013-08-03,2.6457620041753653
245,2013-08-10,2.3517884481558804
246,2013-08-17,2.6457620041753653
247,2013-08-24,2.3517884481558804
248,2013-08-31,2.3517884481558804
249,2013-09-07,2.0578148921363955
250,2013-09-14,2.0578148921363955
251,2013-09-21,2.3517884481558804
252,2013-09-28,2.3517884481558804
253,2013-10-05,2.3517884481558804
254,2013-10-12,2.3517884481558804
255,2013-10-19,2.6457620041753653
256,2013-10-26,2.6457620041753653
257,2013-11-02,2.6457620041753653
258,2013-11-09,2.6457620041753653
259,2013-11-16,2.6457620041753653
260,2013-11-23,2.6457620041753653
261,2013-11-30,2.6457620041753653
