Search Term,diet plan
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,26
2008-12-06,22
2008-12-13,23
2008-12-20,27
2008-12-27,55
2009-01-03,54
2009-01-10,47
2009-01-17,40
2009-01-24,37
2009-01-31,35
2009-02-07,33
2009-02-14,39
2009-02-21,40
2009-02-28,36
2009-03-07,36
2009-03-14,32
2009-03-21,46
2009-03-28,41
2009-04-04,35
2009-04-11,37
2009-04-18,36
2009-04-25,36
2009-05-02,32
2009-05-09,40
2009-05-16,40
2009-05-23,46
2009-05-30,44
2009-06-06,45
2009-06-13,42
2009-06-20,40
2009-06-27,46
2009-07-04,45
2009-07-11,46
2009-07-18,47
2009-07-25,45
2009-08-01,41
2009-08-08,43
2009-08-15,45
2009-08-22,41
2009-08-29,40
2009-09-05,38
2009-09-12,42
2009-09-19,44
2009-09-26,44
2009-10-03,47
2009-10-10,43
2009-10-17,39
2009-10-24,38
2009-10-31,43
2009-11-07,44
2009-11-14,41
2009-11-21,36
2009-11-28,43
2009-12-05,37
2009-12-12,33
2009-12-19,36
2009-12-26,71
2010-01-02,79
2010-01-09,69
2010-01-16,58
2010-01-23,57
2010-01-30,58
2010-02-06,56
2010-02-13,65
2010-02-20,58
2010-02-27,58
2010-03-06,56
2010-03-13,59
2010-03-20,59
2010-03-27,59
2010-04-03,60
2010-04-10,58
2010-04-17,57
2010-04-24,56
2010-05-01,55
2010-05-08,55
2010-05-15,56
2010-05-22,47
2010-05-29,50
2010-06-05,49
2010-06-12,43
2010-06-19,49
2010-06-26,43
2010-07-03,41
2010-07-10,48
2010-07-17,45
2010-07-24,45
2010-07-31,45
2010-08-07,48
2010-08-14,42
2010-08-21,44
2010-08-28,44
2010-09-04,39
2010-09-11,39
2010-09-18,41
2010-09-25,43
2010-10-02,35
2010-10-09,36
2010-10-16,37
2010-10-23,37
2010-10-30,40
2010-11-06,34
2010-11-13,34
2010-11-20,29
2010-11-27,38
2010-12-04,31
2010-12-11,29
2010-12-18,27
2010-12-25,58
2011-01-01,87
2011-01-08,68
2011-01-15,62
2011-01-22,60
2011-01-29,61
2011-02-05,54
2011-02-12,60
2011-02-19,62
2011-02-26,65
2011-03-05,63
2011-03-12,63
2011-03-19,68
2011-03-26,61
2011-04-02,65
2011-04-09,64
2011-04-16,78
2011-04-23,75
2011-04-30,76
2011-05-07,70
2011-05-14,65
2011-05-21,69
2011-05-28,75
2011-06-04,76
2011-06-11,69
2011-06-18,63
2011-06-25,65
2011-07-02,63
2011-07-09,70
2011-07-16,66
2011-07-23,67
2011-07-30,64
2011-08-06,63
2011-08-13,64
2011-08-20,56
2011-08-27,54
2011-09-03,59
2011-09-10,58
2011-09-17,58
2011-09-24,60
2011-10-01,49
2011-10-08,55
2011-10-15,46
2011-10-22,44
2011-10-29,48
2011-11-05,48
2011-11-12,43
2011-11-19,37
2011-11-26,54
2011-12-03,43
2011-12-10,40
2011-12-17,35
2011-12-24,65
2011-12-31,100
2012-01-07,72
2012-01-14,63
2012-01-21,61
2012-01-28,61
2012-02-04,59
2012-02-11,55
2012-02-18,62
2012-02-25,67
2012-03-03,64
2012-03-10,63
2012-03-17,62
2012-03-24,58
2012-03-31,63
2012-04-07,68
2012-04-14,67
2012-04-21,63
2012-04-28,65
2012-05-05,65
2012-05-12,68
2012-05-19,60
2012-05-26,69
2012-06-02,68
2012-06-09,66
2012-06-16,64
2012-06-23,66
2012-06-30,63
2012-07-07,68
2012-07-14,66
2012-07-21,64
2012-07-28,63
2012-08-04,57
2012-08-11,58
2012-08-18,56
2012-08-25,55
2012-09-01,53
2012-09-08,53
2012-09-15,50
2012-09-22,51
2012-09-29,48
2012-10-06,48
2012-10-13,47
2012-10-20,41
2012-10-27,41
2012-11-03,43
2012-11-10,45
2012-11-17,34
2012-11-24,48
2012-12-01,46
2012-12-08,41
2012-12-15,37
2012-12-22,49
2012-12-29,82
