Search Term,restaurant
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-27,78
2004-01-03,68
2004-01-10,75
2004-01-17,76
2004-01-24,76
2004-01-31,75
2004-02-07,100
2004-02-14,72
2004-02-21,68
2004-02-28,66
2004-03-06,76
2004-03-13,67
2004-03-20,73
2004-03-27,67
2004-04-03,66
2004-04-10,69
2004-04-17,76
2004-04-24,72
2004-05-01,79
2004-05-08,70
2004-05-15,70
2004-05-22,70
2004-05-29,71
2004-06-05,74
2004-06-12,78
2004-06-19,81
2004-06-26,74
2004-07-03,72
2004-07-10,77
2004-07-17,79
2004-07-24,82
2004-07-31,75
2004-08-07,80
2004-08-14,72
2004-08-21,72
2004-08-28,68
2004-09-04,61
2004-09-11,68
2004-09-18,71
2004-09-25,73
2004-10-02,70
2004-10-09,70
2004-10-16,69
2004-10-23,62
2004-10-30,69
2004-11-06,73
2004-11-13,73
2004-11-20,66
2004-11-27,75
2004-12-04,74
2004-12-11,78
2004-12-18,79
2004-12-25,86
2005-01-01,70
2005-01-08,86
2005-01-15,77
2005-01-22,82
2005-01-29,79
2005-02-05,87
2005-02-12,84
2005-02-19,72
2005-02-26,70
2005-03-05,77
2005-03-12,77
2005-03-19,79
2005-03-26,76
2005-04-02,76
2005-04-09,74
2005-04-16,77
2005-04-23,81
2005-04-30,85
2005-05-07,79
2005-05-14,77
2005-05-21,73
2005-05-28,73
2005-06-04,76
2005-06-11,81
2005-06-18,86
2005-06-25,78
2005-07-02,77
2005-07-09,77
2005-07-16,83
2005-07-23,82
2005-07-30,86
2005-08-06,84
2005-08-13,81
2005-08-20,77
2005-08-27,69
2005-09-03,71
2005-09-10,73
2005-09-17,73
2005-09-24,75
2005-10-01,75
2005-10-08,80
2005-10-15,75
2005-10-22,73
2005-10-29,75
2005-11-05,80
2005-11-12,78
2005-11-19,69
2005-11-26,71
2005-12-03,74
2005-12-10,77
2005-12-17,81
2005-12-24,91
2005-12-31,77
2006-01-07,83
2006-01-14,81
2006-01-21,86
2006-01-28,83
2006-02-04,80
2006-02-11,94
2006-02-18,79
2006-02-25,77
2006-03-04,75
2006-03-11,75
2006-03-18,81
2006-03-25,75
2006-04-01,77
2006-04-08,73
2006-04-15,77
2006-04-22,74
2006-04-29,75
2006-05-06,85
2006-05-13,82
2006-05-20,78
2006-05-27,75
2006-06-03,76
2006-06-10,81
2006-06-17,83
2006-06-24,78
2006-07-01,77
2006-07-08,83
2006-07-15,84
2006-07-22,82
2006-07-29,78
2006-08-05,83
2006-08-12,84
2006-08-19,81
2006-08-26,73
2006-09-02,73
2006-09-09,75
2006-09-16,77
2006-09-23,78
2006-09-30,78
2006-10-07,77
2006-10-14,85
2006-10-21,80
2006-10-28,80
2006-11-04,82
2006-11-11,81
2006-11-18,74
2006-11-25,74
2006-12-02,80
2006-12-09,85
2006-12-16,88
2006-12-23,92
2006-12-30,86
2007-01-06,87
2007-01-13,81
2007-01-20,87
2007-01-27,84
2007-02-03,85
2007-02-10,98
2007-02-17,83
2007-02-24,79
2007-03-03,80
2007-03-10,75
2007-03-17,82
2007-03-24,85
2007-03-31,77
2007-04-07,78
2007-04-14,78
2007-04-21,82
2007-04-28,80
2007-05-05,85
2007-05-12,86
2007-05-19,82
2007-05-26,79
2007-06-02,79
2007-06-09,83
2007-06-16,84
2007-06-23,82
2007-06-30,82
2007-07-07,86
2007-07-14,87
2007-07-21,92
2007-07-28,84
2007-08-04,89
2007-08-11,88
2007-08-18,83
2007-08-25,82
2007-09-01,75
2007-09-08,78
2007-09-15,77
2007-09-22,81
2007-09-29,78
2007-10-06,80
2007-10-13,77
2007-10-20,78
2007-10-27,78
2007-11-03,81
2007-11-10,78
2007-11-17,73
2007-11-24,73
2007-12-01,73
2007-12-08,81
2007-12-15,84
2007-12-22,89
2007-12-29,87
2008-01-05,82
2008-01-12,87
2008-01-19,83
2008-01-26,82
2008-02-02,77
2008-02-09,100
2008-02-16,78
2008-02-23,78
2008-03-01,80
2008-03-08,81
2008-03-15,80
2008-03-22,80
2008-03-29,74
2008-04-05,78
2008-04-12,73
2008-04-19,79
2008-04-26,77
2008-05-03,84
2008-05-10,77
2008-05-17,71
2008-05-24,72
2008-05-31,75
2008-06-07,78
2008-06-14,78
2008-06-21,75
2008-06-28,72
2008-07-05,78
2008-07-12,78
2008-07-19,80
2008-07-26,81
2008-08-02,81
2008-08-09,76
2008-08-16,73
2008-08-23,73
2008-08-30,67
2008-09-06,72
2008-09-13,73
2008-09-20,70
2008-09-27,67
2008-10-04,70
2008-10-11,74
2008-10-18,73
2008-10-25,65
2008-11-01,69
2008-11-08,74
2008-11-15,71
2008-11-22,63
2008-11-29,65
2008-12-06,72
2008-12-13,70
2008-12-20,77
2008-12-27,87
