Search Term,recipes
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,58
2012-12-01,60
2012-12-08,67
2012-12-15,73
2012-12-22,82
2012-12-29,74
2013-01-05,66
2013-01-12,67
2013-01-19,66
2013-01-26,65
2013-02-02,61
2013-02-09,62
2013-02-16,62
2013-02-23,58
2013-03-02,61
2013-03-09,59
2013-03-16,61
2013-03-23,69
2013-03-30,56
2013-04-06,57
2013-04-13,55
2013-04-20,58
2013-04-27,53
2013-05-04,56
2013-05-11,54
2013-05-18,57
2013-05-25,55
2013-06-01,56
2013-06-08,58
2013-06-15,61
2013-06-22,59
2013-06-29,67
2013-07-06,61
2013-07-13,58
2013-07-20,59
2013-07-27,57
2013-08-03,59
2013-08-10,62
2013-08-17,61
2013-08-24,58
2013-08-31,61
2013-09-07,59
2013-09-14,55
2013-09-21,61
2013-09-28,58
2013-10-05,59
2013-10-12,61
2013-10-19,65
2013-10-26,64
2013-11-02,65
2013-11-09,70
2013-11-16,74
2013-11-23,100
2013-11-30,54
2013-12-07,64
2013-12-14,69
2013-12-21,84
2013-12-28,81
2014-01-04,73
2014-01-11,67
2014-01-18,68
2014-01-25,71
2014-02-01,63
2014-02-08,60
2014-02-15,54
2014-02-22,58
2014-03-01,55
2014-03-08,57
2014-03-15,57
2014-03-22,60
2014-03-29,56
2014-04-05,54
2014-04-12,63
2014-04-19,49
2014-04-26,51
2014-05-03,51
2014-05-10,52
2014-05-17,50
2014-05-24,50
2014-05-31,50
2014-06-07,51
2014-06-14,51
2014-06-21,53
2014-06-28,59
2014-07-05,51
2014-07-12,56
2014-07-19,56
2014-07-26,56
2014-08-02,56
2014-08-09,53
2014-08-16,53
2014-08-23,56
2014-08-30,53
2014-09-06,53
2014-09-13,51
2014-09-20,54
2014-09-27,53
2014-10-04,56
2014-10-11,54
2014-10-18,55
2014-10-25,57
2014-11-01,56
2014-11-08,60
2014-11-15,65
2014-11-22,82
2014-11-29,51
2014-12-06,57
2014-12-13,62
2014-12-20,77
2014-12-27,70
2015-01-03,65
2015-01-10,62
2015-01-17,62
2015-01-24,61
2015-01-31,55
2015-02-07,54
2015-02-14,57
2015-02-21,53
2015-02-28,53
2015-03-07,50
2015-03-14,48
2015-03-21,49
2015-03-28,51
2015-04-04,44
2015-04-11,43
2015-04-18,44
2015-04-25,44
2015-05-02,43
2015-05-09,42
2015-05-16,45
2015-05-23,44
2015-05-30,46
2015-06-06,48
2015-06-13,47
2015-06-20,47
2015-06-27,55
2015-07-04,50
2015-07-11,47
2015-07-18,47
2015-07-25,52
2015-08-01,48
2015-08-08,48
2015-08-15,49
2015-08-22,47
2015-08-29,47
2015-09-05,50
2015-09-12,47
2015-09-19,48
2015-09-26,48
2015-10-03,52
2015-10-10,53
2015-10-17,49
2015-10-24,54
2015-10-31,52
2015-11-07,51
2015-11-14,59
2015-11-21,79
2015-11-28,44
2015-12-05,48
2015-12-12,54
2015-12-19,77
2015-12-26,64
2016-01-02,59
2016-01-09,57
2016-01-16,64
2016-01-23,56
2016-01-30,59
2016-02-06,52
2016-02-13,50
2016-02-20,49
2016-02-27,47
2016-03-05,46
2016-03-12,45
2016-03-19,52
2016-03-26,44
2016-04-02,45
2016-04-09,45
2016-04-16,45
2016-04-23,42
2016-04-30,44
2016-05-07,41
2016-05-14,44
2016-05-21,43
2016-05-28,43
2016-06-04,41
2016-06-11,41
2016-06-18,43
2016-06-25,47
2016-07-02,45
2016-07-09,44
2016-07-16,43
2016-07-23,46
2016-07-30,43
2016-08-06,43
2016-08-13,44
2016-08-20,40
2016-08-27,42
2016-09-03,41
2016-09-10,41
2016-09-17,43
2016-09-24,44
2016-10-01,43
2016-10-08,45
2016-10-15,45
2016-10-22,44
2016-10-29,41
2016-11-05,44
2016-11-12,51
2016-11-19,72
2016-11-26,40
2016-12-03,47
2016-12-10,47
2016-12-17,58
2016-12-24,56
2016-12-31,59
