Search Term,recipe
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,35
2008-12-06,42
2008-12-13,51
2008-12-20,80
2008-12-27,51
2009-01-03,36
2009-01-10,36
2009-01-17,36
2009-01-24,39
2009-01-31,34
2009-02-07,36
2009-02-14,32
2009-02-21,33
2009-02-28,33
2009-03-07,34
2009-03-14,35
2009-03-21,31
2009-03-28,31
2009-04-04,41
2009-04-11,32
2009-04-18,30
2009-04-25,31
2009-05-02,33
2009-05-09,32
2009-05-16,33
2009-05-23,37
2009-05-30,37
2009-06-06,36
2009-06-13,39
2009-06-20,37
2009-06-27,43
2009-07-04,37
2009-07-11,39
2009-07-18,41
2009-07-25,40
2009-08-01,40
2009-08-08,39
2009-08-15,39
2009-08-22,37
2009-08-29,39
2009-09-05,44
2009-09-12,39
2009-09-19,40
2009-09-26,41
2009-10-03,43
2009-10-10,45
2009-10-17,43
2009-10-24,47
2009-10-31,43
2009-11-07,44
2009-11-14,51
2009-11-21,91
2009-11-28,47
2009-12-05,52
2009-12-12,63
2009-12-19,94
2009-12-26,65
2010-01-02,46
2010-01-09,45
2010-01-16,44
2010-01-23,43
2010-01-30,46
2010-02-06,45
2010-02-13,43
2010-02-20,40
2010-02-27,37
2010-03-06,39
2010-03-13,41
2010-03-20,38
2010-03-27,46
2010-04-03,36
2010-04-10,36
2010-04-17,35
2010-04-24,36
2010-05-01,39
2010-05-08,38
2010-05-15,36
2010-05-22,36
2010-05-29,38
2010-06-05,35
2010-06-12,37
2010-06-19,38
2010-06-26,42
2010-07-03,42
2010-07-10,40
2010-07-17,38
2010-07-24,39
2010-07-31,38
2010-08-07,38
2010-08-14,39
2010-08-21,37
2010-08-28,37
2010-09-04,40
2010-09-11,36
2010-09-18,36
2010-09-25,39
2010-10-02,37
2010-10-09,40
2010-10-16,42
2010-10-23,43
2010-10-30,42
2010-11-06,45
2010-11-13,48
2010-11-20,84
2010-11-27,42
2010-12-04,46
2010-12-11,54
2010-12-18,88
2010-12-25,59
2011-01-01,48
2011-01-08,51
2011-01-15,51
2011-01-22,49
2011-01-29,53
2011-02-05,46
2011-02-12,45
2011-02-19,43
2011-02-26,42
2011-03-05,43
2011-03-12,45
2011-03-19,40
2011-03-26,41
2011-04-02,38
2011-04-09,41
2011-04-16,51
2011-04-23,41
2011-04-30,42
2011-05-07,38
2011-05-14,41
2011-05-21,41
2011-05-28,42
2011-06-04,41
2011-06-11,45
2011-06-18,43
2011-06-25,47
2011-07-02,54
2011-07-09,46
2011-07-16,46
2011-07-23,47
2011-07-30,46
2011-08-06,45
2011-08-13,47
2011-08-20,45
2011-08-27,45
2011-09-03,47
2011-09-10,46
2011-09-17,46
2011-09-24,47
2011-10-01,48
2011-10-08,46
2011-10-15,49
2011-10-22,52
2011-10-29,51
2011-11-05,53
2011-11-12,60
2011-11-19,97
2011-11-26,48
2011-12-03,58
2011-12-10,66
2011-12-17,98
2011-12-24,70
2011-12-31,55
2012-01-07,56
2012-01-14,53
2012-01-21,50
2012-01-28,52
2012-02-04,50
2012-02-11,52
2012-02-18,49
2012-02-25,47
2012-03-03,45
2012-03-10,48
2012-03-17,43
2012-03-24,43
2012-03-31,54
2012-04-07,48
2012-04-14,44
2012-04-21,44
2012-04-28,46
2012-05-05,47
2012-05-12,46
2012-05-19,50
2012-05-26,51
2012-06-02,49
2012-06-09,50
2012-06-16,51
2012-06-23,51
2012-06-30,57
2012-07-07,51
2012-07-14,52
2012-07-21,54
2012-07-28,52
2012-08-04,50
2012-08-11,50
2012-08-18,55
2012-08-25,53
2012-09-01,53
2012-09-08,49
2012-09-15,52
2012-09-22,51
2012-09-29,52
2012-10-06,54
2012-10-13,52
2012-10-20,53
2012-10-27,53
2012-11-03,51
2012-11-10,60
2012-11-17,100
2012-11-24,49
2012-12-01,54
2012-12-08,63
2012-12-15,77
2012-12-22,96
2012-12-29,69
